window,nominalFElo,nominalFEhi,source,nEvaluated,nUniqueObjectives,nTuplesExclusive,nexclND,exclusiveNDSharePct,WHVG,WHVGSharePct,hvAll,nndAll,emptyWindow,life_GENERATED,life_DESCENDANT,life_IMPROVING_DESCENDANT,life_MERGE_POOL,life_PDDR_SELECTED,life_WORKING_POPULATION,life_PERSONAL_ARCHIVE,life_QG_TEACHER,life_QP_TEACHER,life_QP_ACTION
11,250000,275000,GLOBAL_CFVF,15000,14124,14121,224,81.45454545454545,0.09603138094735675,12.879066840288912,0.7456392775829597,275,False,15000,15000,4058,536,245,245,0,521,0,0
11,250000,275000,CATA,541,537,536,3,1.0909090909090908,0.0005494993517437541,0.07369506519626937,0.7456392775829597,275,False,541,541,158,94,5,5,0,1,0,0
11,250000,275000,INHERITED_LS,9459,4876,4874,48,17.454545454545453,0.009810287750418811,1.3156881679060048,0.7456392775829597,275,False,9459,9459,2244,74,42,42,0,78,0,0
11,250000,275000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7456392775829597,275,False,0,0,0,0,0,0,0,0,0,0
12,275000,300000,GLOBAL_CFVF,15586,15059,15056,281,92.73927392739274,0.10112374487944509,14.610240803909656,0.6921429033009824,303,False,15586,15586,3944,724,325,325,0,602,0,0
12,275000,300000,CATA,556,554,552,2,0.6600660066006601,2.1180290423750137e-06,0.0003060103675517968,0.6921429033009824,303,False,556,556,79,138,17,17,0,0,0,0
12,275000,300000,INHERITED_LS,8858,4598,4597,20,6.600660066006601,0.011719150536132594,1.693169211190547,0.6921429033009824,303,False,8858,8858,1367,104,58,58,0,22,0,0
12,275000,300000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.6921429033009824,303,False,0,0,0,0,0,0,0,0,0,0
13,300000,325000,GLOBAL_CFVF,14720,14321,14318,238,85.61151079136691,0.1029101922911928,13.241145273470817,0.7772000847795064,278,False,14720,14720,5383,559,262,262,0,553,0,0
13,300000,325000,CATA,534,534,532,1,0.3597122302158273,1.2110937977150016e-05,0.0015582780051530641,0.7772000847795064,278,False,534,534,183,117,8,8,0,0,0,0
13,300000,325000,INHERITED_LS,9746,5097,5096,39,14.028776978417266,0.010408444966458874,1.3392233441935066,0.7772000847795064,278,False,9746,9746,2029,71,30,30,0,39,0,0
13,300000,325000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7772000847795064,278,False,0,0,0,0,0,0,0,0,0,0
14,325000,350000,GLOBAL_CFVF,14694,13852,13849,223,87.79527559055119,0.0990689567463372,11.82594557233532,0.8377254583184559,254,False,14694,14694,5582,377,175,175,0,531,0,0
14,325000,350000,CATA,538,537,534,1,0.3937007874015748,1.586981200230042e-06,0.0001894392947560108,0.8377254583184559,254,False,538,538,163,71,3,3,0,0,0,0
14,325000,350000,INHERITED_LS,9768,5406,5406,30,11.811023622047244,0.007164882037719367,0.8552780587689486,0.8377254583184559,254,False,9768,9768,2092,47,22,22,0,53,0,0
14,325000,350000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8377254583184559,254,False,0,0,0,0,0,0,0,0,0,0
15,350000,375000,GLOBAL_CFVF,15000,14112,14110,238,87.82287822878229,0.13590499268754752,16.530959367572155,0.8221240501875808,271,False,15000,15000,3854,553,251,251,0,550,0,0
15,350000,375000,CATA,535,535,533,1,0.36900369003690037,3.59836030972005e-06,0.0004376906756223743,0.8221240501875808,271,False,535,535,79,93,8,8,0,0,0,0
15,350000,375000,INHERITED_LS,9465,5152,5152,32,11.808118081180812,0.012033058253281825,1.463654815904764,0.8221240501875808,271,False,9465,9465,207,86,41,41,0,50,0,0
15,350000,375000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8221240501875808,271,False,0,0,0,0,0,0,0,0,0,0
16,375000,400000,GLOBAL_CFVF,11164,10933,10930,213,81.29770992366412,0.10514475587149064,13.690777325913077,0.7679969761284409,262,False,11164,11164,2531,540,245,245,0,357,0,0
16,375000,400000,CATA,364,364,364,1,0.3816793893129771,0.0006647986740245804,0.0865626681729797,0.7679969761284409,262,False,364,364,75,99,5,5,0,0,0,0
16,375000,400000,INHERITED_LS,13472,7222,7219,48,18.3206106870229,0.011819554782517838,1.5390105885704841,0.7679969761284409,262,False,13472,13472,2883,103,50,50,0,91,0,0
16,375000,400000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7679969761284409,262,False,0,0,0,0,0,0,0,0,0,0
17,400000,425000,GLOBAL_CFVF,13836,13452,13450,253,90.0355871886121,0.07454079690438964,8.781419553181149,0.8488467775963007,281,False,13836,13836,3221,368,169,169,0,465,0,0
17,400000,425000,CATA,532,532,532,4,1.4234875444839858,0.00028503509148025685,0.0335790980190085,0.8488467775963007,281,False,532,532,91,75,6,6,0,0,0,0
17,400000,425000,INHERITED_LS,10632,5680,5678,24,8.540925266903914,0.011985024384239207,1.411918464033931,0.8488467775963007,281,False,10632,10632,1056,67,25,25,0,87,0,0
17,400000,425000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8488467775963007,281,False,0,0,0,0,0,0,0,0,0,0
18,425000,450000,GLOBAL_CFVF,10000,9586,9585,219,86.56126482213439,0.12750383052136594,17.656431158987264,0.7221381794160904,253,False,10000,10000,2520,365,166,166,0,368,0,0
18,425000,450000,CATA,351,347,347,0,0.0,0.0,0.0,0.7221381794160904,253,False,351,351,69,64,10,10,0,0,0,0
18,425000,450000,INHERITED_LS,14649,8333,8332,34,13.438735177865613,0.013075619474218647,1.8106810921964254,0.7221381794160904,253,False,14649,14649,1452,68,24,24,0,32,0,0
18,425000,450000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7221381794160904,253,False,0,0,0,0,0,0,0,0,0,0
19,450000,475000,GLOBAL_CFVF,10000,9888,9887,201,84.10041841004184,0.12071298821495136,15.410204207194733,0.7833315288488698,239,False,10000,10000,3816,366,167,167,0,319,0,0
19,450000,475000,CATA,344,344,344,0,0.0,0.0,0.0,0.7833315288488698,239,False,344,344,124,91,21,21,0,0,0,0
19,450000,475000,INHERITED_LS,14656,8966,8965,38,15.899581589958158,0.008226459357318472,1.0501887201460551,0.7833315288488698,239,False,14656,14656,1289,68,12,12,0,81,0,0
19,450000,475000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7833315288488698,239,False,0,0,0,0,0,0,0,0,0,0
20,475000,500000,GLOBAL_CFVF,10000,9556,9550,273,86.94267515923566,0.08029155984386682,11.449452401288596,0.7012698688963525,314,False,10000,10000,1615,536,238,238,0,383,0,0
20,475000,500000,CATA,355,354,350,6,1.910828025477707,1.591919950338916e-05,0.0022700532575914813,0.7012698688963525,314,False,355,355,32,148,43,43,0,1,0,0
20,475000,500000,INHERITED_LS,14645,9268,9266,35,11.146496815286625,0.014152200198809806,2.0180818863759704,0.7012698688963525,314,False,14645,14645,2154,90,19,19,0,16,0,0
20,475000,500000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7012698688963525,314,False,0,0,0,0,0,0,0,0,0,0
