window,source,hard_nEvaluated,normal_nEvaluated,hard_nUniqueObjectives,normal_nUniqueObjectives,hard_nTuplesExclusive,normal_nTuplesExclusive,hard_nexclND,normal_nexclND,hard_exclusiveNDSharePct,normal_exclusiveNDSharePct,deficit_exclusiveNDSharePp,hard_WHVGSharePct,normal_WHVGSharePct,deficit_WHVGSharePp,qualify_WHVGShare,qualify_ExclusiveNDShare
16,CATA,465,364,457,364,413,364,0,1,0.0,0.3816793893129771,0.3816793893129771,0.0,0.0865626681729797,0.0865626681729797,False,False
16,INHERITED_LS,13371,13472,6351,7222,6351,7219,42,48,21.98952879581152,18.3206106870229,-3.6689181087886205,0.4677104880421412,1.5390105885704841,1.071300100528343,False,False
16,PARENT_CARRYOVER,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
17,GLOBAL_CFVF,13836,13836,12833,13452,12760,13450,140,253,76.92307692307692,90.0355871886121,13.112510265535178,19.984343620050467,8.781419553181149,-11.202924066869318,False,True
17,CATA,688,532,677,532,604,532,6,4,3.2967032967032965,1.4234875444839858,-1.8732157522193107,0.021905063739208606,0.0335790980190085,0.011674034279799891,False,False
17,INHERITED_LS,10476,10632,5099,5680,5099,5678,35,24,19.23076923076923,8.540925266903914,-10.689843963865316,0.4615075645610324,1.411918464033931,0.9504108994728986,False,False
17,PARENT_CARRYOVER,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
18,GLOBAL_CFVF,10000,10000,9294,9586,9248,9585,119,219,75.31645569620254,86.56126482213439,11.244809125931852,16.190344304604103,17.656431158987264,1.4660868543831604,False,True
18,CATA,491,351,480,347,434,347,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
18,INHERITED_LS,14509,14649,7404,8333,7404,8332,39,34,24.68354430379747,13.438735177865613,-11.244809125931855,0.715063624880112,1.8106810921964254,1.0956174673163135,False,False
18,PARENT_CARRYOVER,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19,GLOBAL_CFVF,10000,10000,9238,9888,9176,9887,123,201,61.19402985074627,84.10041841004184,22.90638855929557,11.623762273195934,15.410204207194733,3.7864419339987982,True,True
19,CATA,483,344,470,344,409,344,2,0,0.9950248756218906,0.0,-0.9950248756218906,0.0020825206152785495,0.0,-0.0020825206152785495,False,False
19,INHERITED_LS,14517,14656,7776,8966,7774,8965,73,38,36.318407960199,15.899581589958158,-20.418826370240843,1.5814416370652191,1.0501887201460551,-0.531252916919164,False,False
19,PARENT_CARRYOVER,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
20,GLOBAL_CFVF,10000,10000,9524,9556,9462,9550,156,273,72.22222222222223,86.94267515923566,14.720452937013434,13.142860082887161,11.449452401288596,-1.6934076815985648,False,True
20,CATA,497,355,483,354,421,350,1,6,0.46296296296296297,1.910828025477707,1.447865062514744,0.0015841081118588055,0.0022700532575914813,0.0006859451457326758,False,False
20,INHERITED_LS,14503,14645,8712,9268,8712,9266,59,35,27.314814814814813,11.146496815286625,-16.16831799952819,0.9887931756846673,2.0180818863759704,1.0292887106913031,False,False
20,PARENT_CARRYOVER,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
