observedFE,source,candidateFingerprint,Cmax,TEC,TWC,parentLineageId
89,INITIAL_POPULATION,59316034ea2190fad97f9b26c5c11ab85a1b9062881a54e4c0d0275a727c8f9d,1010.9860046862726,134390.0596463735,430360.91196612234,-1
90,INITIAL_POPULATION,4e46d47b58e4ef6ac09d36ad82a45d14e44c7f47dceae820768e3bd5f8fc18f2,988.7997009634735,135756.04988735248,450764.3343167816,-1
91,INITIAL_POPULATION,fe4f7b6438446ae1d246dad798f8c6f49d1ea4bffc4c98d5ecc1b6d921baf0f3,993.12599134188,133125.27917616116,410950.1742285326,-1
92,INITIAL_POPULATION,d36cb86e2d7f826e9e05a8ce6f83fb59619385d1c18a804780726d59bd815156,999.5268566372558,133575.02654473114,410148.5016709658,-1
93,INITIAL_POPULATION,81ca0c1d58a04829f32e470101a8aa22b5c2b846acb4e1e5566e3bb0adfeb2ff,1094.2258418084414,137893.0297004705,478299.12671319034,-1
94,INITIAL_POPULATION,b98d5eecd3ffc7c995677ed9e8c51e3eb3181e196f15ddf0f1a5dfeb49fc3e65,1130.2644458193495,137046.7110815719,479998.25493785157,-1
95,INITIAL_POPULATION,d5c3464708b69020525c4ae901fb827d2dd15bbd50dd558269490df58d83a1f9,1248.9039743078506,135105.51647801197,450017.25152779993,-1
96,INITIAL_POPULATION,06ed31e42c74cd8bd5ac71b1ba4695ae19eed9b775cd5048a11d2466fd43af3d,1025.7980073970057,134937.6865198489,435610.33427311585,-1
97,INITIAL_POPULATION,27feba1ccc9f41aa057d6008fcac1542b74ba72402900556cd427c7394622fe1,1445.5162604388022,131099.01477333315,448245.90788229124,-1
98,INITIAL_POPULATION,94d3693d0bc7d51175b0bb56fa03e569fdf6a63c1f5572ffff94f357981b57bb,1186.9986035551985,130039.39511333845,411234.3269448272,-1
99,INITIAL_POPULATION,cee887234714a5c67eb130e871b2a89186106b910ec6ea16634a63e34a9e88a4,1041.3185102845687,136909.56579496714,435959.1965185686,-1
100,INITIAL_POPULATION,7cf763cb87d691d314e4f4488fdb7f800a68c7f7032a7de0eba7a5da746934e3,1201.4699872119281,134328.6714852971,398800.6493698241,-1
101,GLOBAL_CFVF,2da8a7d01ec2ba332c8a81a51d28f802cbe7aaaacb1c08770692003a00581fd3,980.6987962073364,133376.25385974644,444344.3737422703,-1
102,GLOBAL_CFVF,41754fae592976ebc13e1352e64ee883d871a5788aec03f7b5720cca43e192ad,1016.7998943246661,134531.20548603332,415958.43885865295,-1
103,GLOBAL_CFVF,d7ae84d98eb57f779b03b28991ef60087330e00cec11bb3814735f5b7b048378,961.4292040963853,132808.6487715508,443673.61117821466,-1
104,GLOBAL_CFVF,6a0c76c77576e725f7a00dfd651b2f6a41012e675a354ee154c24e2bbc8a4d27,1083.657216076784,134847.38124352173,448982.604603452,-1
105,GLOBAL_CFVF,79a67ec3c4430ed60d5752ebcacbfebb51e209568d82b1afb965b20c99c63aa3,1065.0830392378607,133269.33094685446,441587.0703585042,-1
106,GLOBAL_CFVF,8476b2a4a5d2a8ddda487e97117c1c530a8a012b2d414174ff0e8424f07b9f59,1191.8340465586782,134311.56608952166,453339.89660425513,-1
107,GLOBAL_CFVF,bd6979b1a4bb47f29b6eeb1c7b66e9b6ed8566c10bef0a0c8028fca8cbd25172,1141.986443194833,135059.62218701516,446134.39904030587,-1
