runId,arm,treatmentIndex,mixture,instance,seed,population,maxFEs,requiredPddr,requiredOrder,status
H034,T2,11,25/25/25/25,20_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H035,T2,11,25/25/25/25,20_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H036,T2,11,25/25/25/25,50_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H037,T2,11,25/25/25/25,50_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H038,T2,11,25/25/25/25,50_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H039,T2,11,25/25/25/25,50_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H040,T2,11,25/25/25/25,50_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H041,T2,11,25/25/25/25,100_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H042,T2,11,25/25/25/25,100_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H043,T2,11,25/25/25/25,100_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H044,T2,11,25/25/25/25,100_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H045,T2,11,25/25/25/25,100_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H046,T3,9,20/40/30/10,20_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H047,T3,9,20/40/30/10,20_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H048,T3,9,20/40/30/10,20_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H049,T3,9,20/40/30/10,20_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H050,T3,9,20/40/30/10,20_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H051,T3,9,20/40/30/10,50_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H052,T3,9,20/40/30/10,50_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H053,T3,9,20/40/30/10,50_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H054,T3,9,20/40/30/10,50_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H055,T3,9,20/40/30/10,50_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H056,T3,9,20/40/30/10,100_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H057,T3,9,20/40/30/10,100_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H058,T3,9,20/40/30/10,100_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H059,T3,9,20/40/30/10,100_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H060,T3,9,20/40/30/10,100_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
