runId,sourceRunId,reused,instance,instanceSha256,matrix,label,seed,status,reason,configurationSha256,initialPopulationSha256,fullEvaluations,wallClockMillis,cpuNanos,cfvfRepairs,caTaEvaluations,illegalSolutions,Fmax,Favg,FE,VarFw,highFatigueRatio,longestContinuousWork,totalNaturalRecovery,loadImbalance,frontSize
"20_2_3_1|CONTROL|B2P|20260809","20_2_3_1|FV|FV3|20260809",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B2P",20260809,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FV|FV3|20260809","a416deffa6802b0cca8228aa93b3f0850c3d2897cd15bc02dbb6c9ac3cfbf1ac","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,174,171875000,0,0,0,0.99999091071305650,0.67327501810708370,34.230936609175300,0.053769485176353630,0.067723984666891990,192.43044028051008,432.39870649825247,0.52095405505706750,88
"20_2_3_1|CONTROL|B2P|20260810","20_2_3_1|FV|FV3|20260810",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B2P",20260810,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FV|FV3|20260810","420b5f3102677475db64c72033fe4b3c2ae5435e01f51c01d279882ceb56d0a1","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,191,187500000,0,0,0,0.99997760499536490,0.66637521631194700,39.790986174896510,0.048423089235953724,0.073562516077206260,212.82264315114963,491.14093731413340,0.52706065653105350,71
"20_2_3_1|FM|FM0|20260808","20_2_3_1|FM|FM0|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM0",20260808,COMPLETED,"MAX_FES_REACHED","b16fc30bbeaa49f95bcfcc722239c2dc6ce89cb654e4a9e5425521b31b5561a7","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,156,156250000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7
"20_2_3_1|FM|FM0|20260809","20_2_3_1|FM|FM0|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM0",20260809,COMPLETED,"MAX_FES_REACHED","dd2f60fb13ba65ad7eb9cc28fa078b07c3828f91d413c9fa87bc6cdd0ac0d504","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,144,140625000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,22
"20_2_3_1|FM|FM0|20260810","20_2_3_1|FM|FM0|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM0",20260810,COMPLETED,"MAX_FES_REACHED","b01810a2b5f69fd5922920a906a184198cf9e694326c959a85819b433c5ff2d3","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,97,93750000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15
"20_2_3_1|FM|FM1|20260808","20_2_3_1|FM|FM1|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM1",20260808,COMPLETED,"MAX_FES_REACHED","afbf768d56c6afd97bd41af6c28bf2f4534bf2322f24fec08f4a613897a0f996","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,134,140625000,0,0,0,0.99995922578219890,0.75636853067277800,73.301184785492840,0.12687202731138653,0.14013390921733238,233.81024613381825,0.0000000000000000,0.55044185593085870,18
"20_2_3_1|FM|FM1|20260809","20_2_3_1|FM|FM1|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM1",20260809,COMPLETED,"MAX_FES_REACHED","cdff7a076660c2f5ad2df2d3ea95140285de9b569063e586f4765454674196e1","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,126,125000000,0,0,0,0.99995421158960600,0.75666865121809150,73.652257508676910,0.13814861637227036,0.14246926551646070,213.12406549572435,0.0000000000000000,0.52393316963150000,54
"20_2_3_1|FM|FM1|20260810","20_2_3_1|FM|FM1|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM1",20260810,COMPLETED,"MAX_FES_REACHED","b3f8734cd1bcfb2c24a0f1003d44c086c4cf7cb9c73d4b966bf64421ec6d20e9","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,113,125000000,0,0,0,0.99998699965012030,0.75564390076526210,78.789907977800640,0.14438597024149827,0.13490890037358486,258.27430940261430,0.0000000000000000,0.56950368726385300,46
"20_2_3_1|FM|FM2|20260808","20_2_3_1|FM|FM2|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM2",20260808,COMPLETED,"MAX_FES_REACHED","18cd4384109c8551da0f5905cd6d27b13e02533b01fad04e1c864eda30f37772","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,128,125000000,0,0,0,0.99997903888215710,0.68530836019410280,54.055930342170320,0.058114505763119130,0.094100047444215560,234.96091638175932,336.62013176915895,0.54908678104182020,74
"20_2_3_1|FM|FM2|20260809","20_2_3_1|FM|FM2|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM2",20260809,COMPLETED,"MAX_FES_REACHED","b335ea990d9d0622c0de6190747a7446212d6763f9ac11dd1752a66da2656248","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,133,125000000,0,0,0,0.99988736107987250,0.68672721524240700,46.575114835789314,0.057225517031753340,0.098499864902108960,203.14756999951118,286.49407966005070,0.46965185539949140,32
"20_2_3_1|FM|FM2|20260810","20_2_3_1|FM|FM2|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM2",20260810,COMPLETED,"MAX_FES_REACHED","86ec19f75cf5f8d391555f68d18f18765f00750cdec657790f70a78c831ecade","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,131,125000000,0,0,0,0.99996164339977530,0.67699682072662000,43.839065906769754,0.052114205782188420,0.090070540951261520,221.33368920647780,385.29681942320065,0.49092217659275640,46
"20_2_3_1|FM|FM3|20260808","20_2_3_1|FM|FM3|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM3",20260808,COMPLETED,"MAX_FES_REACHED","f0ea98efae4d62a353bbcc04d3b04e85c4b061a5cefa297995c2e116e24cc6b9","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,123,125000000,0,0,0,0.99994069672388860,0.67574678751959560,47.966584897622850,0.053616943452745280,0.094402230006979770,235.32631376853900,350.96515371401637,0.51911573895272860,47
"20_2_3_1|FM|FM3|20260809","20_2_3_1|FM|FM3|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM3",20260809,COMPLETED,"MAX_FES_REACHED","b3b331b777cf7aa4051686aced19e936c54a2061e200b4c5d1a733cde5dd047b","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,137,140625000,0,0,0,0.99997128479502410,0.68147801315359540,52.840371348256380,0.054990192883444367,0.094173502926767300,226.22128851917003,378.40626020910304,0.55392589312992420,48
"20_2_3_1|FM|FM3|20260810","20_2_3_1|FM|FM3|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM3",20260810,COMPLETED,"MAX_FES_REACHED","ff21ea4a349a5d916efce65b0d33b2e1c776a1f55478d3038eb9a0b841029084","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,121,125000000,0,0,0,0.99987335650268290,0.66467239683141290,41.102059263484210,0.049903693215341210,0.082416716231071000,200.27073712486450,408.19693481101310,0.50691848072385180,52
"20_2_3_1|FULL|B0|20260808","20_2_3_1|FULL|B0|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B0",20260808,COMPLETED,"MAX_FES_REACHED","648b7ead3b1523ef65f914af6dbbf6484db8e39ad87ab018e31196257d64c4e9","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,147,140625000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
"20_2_3_1|FULL|B0|20260809","20_2_3_1|FULL|B0|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B0",20260809,COMPLETED,"MAX_FES_REACHED","d4e118644b2ec8a0c53a9dce896e45307f1b3e6895d2219c05c91dc04a0c972a","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,128,125000000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8
"20_2_3_1|FULL|B0|20260810","20_2_3_1|FULL|B0|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B0",20260810,COMPLETED,"MAX_FES_REACHED","2195be1ac942c6f295e9aa6894b8b24a6a2dc52e317895dd78053fe6f41f658c","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,108,109375000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,12
"20_2_3_1|FULL|B1|20260808","20_2_3_1|FM|FM3|20260808",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B1",20260808,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FM|FM3|20260808","f0ea98efae4d62a353bbcc04d3b04e85c4b061a5cefa297995c2e116e24cc6b9","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,123,125000000,0,0,0,0.99994069672388860,0.67574678751959560,47.966584897622850,0.053616943452745280,0.094402230006979770,235.32631376853900,350.96515371401637,0.51911573895272860,47
"20_2_3_1|FULL|B1|20260809","20_2_3_1|FM|FM3|20260809",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B1",20260809,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FM|FM3|20260809","b3b331b777cf7aa4051686aced19e936c54a2061e200b4c5d1a733cde5dd047b","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,137,140625000,0,0,0,0.99997128479502410,0.68147801315359540,52.840371348256380,0.054990192883444367,0.094173502926767300,226.22128851917003,378.40626020910304,0.55392589312992420,48
"20_2_3_1|FULL|B1|20260810","20_2_3_1|FM|FM3|20260810",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B1",20260810,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FM|FM3|20260810","ff21ea4a349a5d916efce65b0d33b2e1c776a1f55478d3038eb9a0b841029084","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,121,125000000,0,0,0,0.99987335650268290,0.66467239683141290,41.102059263484210,0.049903693215341210,0.082416716231071000,200.27073712486450,408.19693481101310,0.50691848072385180,52
"20_2_3_1|FULL|B2|20260808","20_2_3_1|FULL|B2|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B2",20260808,COMPLETED,"MAX_FES_REACHED","afd233378d20703e7aaae8a0e598f8168249abd5d80e8d20a194606f6f56dc6b","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,206,187500000,0,0,0,0.99997913589196200,0.66728046959491880,48.324564012054680,0.052108803094014820,0.083833350836259440,225.83407981651303,439.43925484787945,0.57234912974533300,69
"20_2_3_1|FULL|B2|20260809","20_2_3_1|FULL|B2|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B2",20260809,COMPLETED,"MAX_FES_REACHED","6e024e028fae9d5df23fb55331eca894ef391eac84b79abb79dc09eaefdb408b","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,161,171875000,0,0,0,0.99999508411998150,0.68884050287827110,45.853405333143700,0.052539861286184514,0.078445624880744120,217.09099524819210,455.23076320944483,0.57732027512116620,62
"20_2_3_1|FULL|B2|20260810","20_2_3_1|FULL|B2|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B2",20260810,COMPLETED,"MAX_FES_REACHED","8c68762e3a3a86d557d2733222c1970ef9d5016adf6cb077613cb3cf6c43671c","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,160,171875000,0,0,0,0.99996392869011120,0.68105190909392570,46.960046626710570,0.054611276936551780,0.084407954584292640,219.72005106888625,436.31834431473150,0.56436733888762040,49
"20_2_3_1|FULL|B3|20260808","20_2_3_1|FULL|B3|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B3",20260808,COMPLETED,"MAX_FES_REACHED","9583cbb8d154a91144f92e494231b9de05fb99f305076cdc73c9d0d172ec3048","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,239,250000000,0,0,0,0.99998227764306260,0.67285359574444870,45.656747896036290,0.050067096482632900,0.087996386670939000,217.38751085053140,410.50317987277780,0.50052473502996050,70
"20_2_3_1|FULL|B3|20260809","20_2_3_1|FULL|B3|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B3",20260809,COMPLETED,"MAX_FES_REACHED","9360b7e86e065cb7e996e86e7f5a840f5ec2bb682158bacc047b9163c3458f8a","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,233,218750000,0,0,0,0.99999091071305650,0.67327501810708370,34.230936609175300,0.053769485176353630,0.067723984666891990,192.43044028051008,432.39870649825247,0.52095405505706750,88
"20_2_3_1|FULL|B3|20260810","20_2_3_1|FULL|B3|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B3",20260810,COMPLETED,"MAX_FES_REACHED","594390490376bea2be275d20366d7ea024a264f219eda9d1c3aa5224a94a3826","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,244,218750000,0,0,0,0.99997760499536490,0.66637521631194700,39.790986174896510,0.048423089235953724,0.073562516077206260,212.82264315114963,491.14093731413340,0.52706065653105350,71
"20_2_3_1|FULL|B4|20260808","20_2_3_1|FULL|B4|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B4",20260808,COMPLETED,"MAX_FES_REACHED","11682d1c37452a95d7f20329527a57217db1da6b4f2f0e7ce1bd249d36992261","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,301,281250000,0,0,0,0.99991493920411820,0.69982612862063350,61.288570627958950,0.056514745740693165,0.11227006557013200,235.39957868321620,254.10312435303115,0.55264833403801200,77
"20_2_3_1|FULL|B4|20260809","20_2_3_1|FULL|B4|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B4",20260809,COMPLETED,"MAX_FES_REACHED","98d0b8dbd13d14ca66ff05aecab2988ca004f4266d0f5b6767d186328203767d","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,310,312500000,0,0,0,0.99991848513834690,0.67311348052393520,42.471474755854075,0.055126635434986304,0.085904604281139600,223.88667650477774,403.71968046553420,0.46153860781219636,53
"20_2_3_1|FULL|B4|20260810","20_2_3_1|FULL|B4|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B4",20260810,COMPLETED,"MAX_FES_REACHED","1661ee6e2e4d423f6b70c4afcbbf814b1cb1d06f8b41de156943581388b32650","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,304,296875000,0,0,0,0.99987711210999080,0.69441903858796270,42.431333862065514,0.043974953003467280,0.076544379358899630,219.70561362143974,529.06738459147140,0.55828224650504850,58
"20_2_3_1|FULL|B5|20260808","20_2_3_1|FV|FV-Full|20260808",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B5",20260808,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FV|FV-Full|20260808","c6763d8bcbbb815514e4ee79642077d9e11e0a4e9f6919819eec3add71349fda","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,284,281250000,0,0,0,0.99995539390047480,0.67992966901422680,47.563193191791140,0.053187478717846120,0.099020232138286380,226.98930505227338,315.72379408049824,0.49669835113042204,54
"20_2_3_1|FULL|B5|20260809","20_2_3_1|FV|FV-Full|20260809",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B5",20260809,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FV|FV-Full|20260809","851e04479830a9dbc9b1bd747ef4fbc952644d99a5f6e40a3993826bd5192e5a","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,302,312500000,0,0,0,0.99996686512978890,0.66457719120414850,38.057077090762820,0.050567565665755690,0.078173157083792200,211.33300673841026,422.88492113374747,0.48180265670101263,85
"20_2_3_1|FULL|B5|20260810","20_2_3_1|FV|FV-Full|20260810",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B5",20260810,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FV|FV-Full|20260810","8702a1f377affa5c9a8ff156f42865e66f5e71ee416d2c1fe422168701b5215b","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,273,250000000,0,0,0,0.99997264868281290,0.69224806086985700,45.679376980952550,0.053748216752634456,0.087872769506068190,213.11036155053657,316.37734907904400,0.54366998939316260,65
"20_2_3_1|FULL|B6|20260808","20_2_3_1|VNS|V1|20260808",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B6",20260808,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|VNS|V1|20260808","25ec860c96581fb30cc0c1309eacfa554e6a9523be12c26c9b64c1ac3380d7a1","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,126,125000000,0,1700,0,0.99998387689698000,0.65850521838899910,51.817458749858620,0.050413348846341760,0.086810603258708110,257.92099296316644,420.57709825735276,0.56593970962124900,40
"20_2_3_1|FULL|B6|20260809","20_2_3_1|VNS|V1|20260809",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B6",20260809,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|VNS|V1|20260809","e60d5780d5a11049fb90f2e841a702f03ccf6798f603dce1b59e3e512d924656","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,96,93750000,0,1700,0,0.99996286511190090,0.66627033241722070,50.236626795290114,0.055618367224199170,0.081791847829298560,236.12674337149260,349.19762928331380,0.53099417203473690,30
"20_2_3_1|FULL|B6|20260810","20_2_3_1|VNS|V1|20260810",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B6",20260810,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|VNS|V1|20260810","b0e0df5d78abcc54b948b57a1230d48ff55bf14006bd894cbcdfb8e65f8db33c","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,101,93750000,0,1700,0,0.99993650914659200,0.66305130276609280,46.030137658871530,0.050836228797529796,0.094358031754767170,235.55423634250096,374.74147164505354,0.52519066315707530,21
"20_2_3_1|FULL|B7|20260808","20_2_3_1|VNS|V5|20260808",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B7",20260808,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|VNS|V5|20260808","7c222bd8d41ffce0dda816c406ebd5f7225ad573ab7ba55e47955e2be069fbce","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,177,171875000,0,1500,0,0.99997936853479450,0.65619743597761050,49.897523420031860,0.047586529259566274,0.089193955346668600,238.07568411956026,480.45837243908840,0.52037911814207580,33
