matrix,label,mechanism,configurationKey,registryStatus,reason,population,maxFEs,physicalSubswarmSizes
"VNS","V2","V1 plus Need-aware factory selection","V2","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"VNS","V3","V2 plus context-free Test-and-Apply","V3","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"VNS","V4","V3 plus context without FAT/cost credit","V4","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"VNS","V5","V4 plus cost credit without FAT","V5","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"VNS","V-Full","V5 plus FAT fatigue context","V-Full","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FULL","B0","strict author direct derivation","B0","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FULL","B1","B0R plus complete fatigue decoder","B1","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FULL","B2","B1Q plus complete CFVF","B2","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FULL","B3","B2P plus lineage personal archive","B3","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FULL","B4","B3 plus synchronous Q-pbest/Q-gbest","B4","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FULL","B5","B4 plus block-frozen dual Q","B5","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FULL","B6","B5 plus fixed-order O1-O13","B6","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FULL","B7","B6 plus contextual Test-and-Apply without FAT","B7","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FULL","FULL","all approved modules including FAT context","FULL","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"CONTROL","B0R","B0 with replayable ZhangBo random bridge","B0R","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"CONTROL","B0C","B0R with fixed SUT and explicit first-stage MA/WA, fatigue disabled","B0C","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"CONTROL","B1Q","B1 plus restored original Q-gbest","B1Q","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"CONTROL","B2P","B2 plus evaluated-after-offspring PDDR","B2P","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
