run_id,seed,arm,variant,approx_count,pfref_count,pfref_sha256,hv,igd
A3-seed-20260816,20260816,A3,full,267,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.46404655625306424,0.3192334121748567
A3-seed-20260817,20260817,A3,full,240,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.6190662283613175,0.19399688023688966
A3-seed-20260818,20260818,A3,full,229,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.5932405062092196,0.20810893283271797
A3-seed-20260819,20260819,A3,full,214,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.4819398562004807,0.3329609222008769
A4-seed-20260808,20260808,A4,full,550,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.6835754221284276,0.16253453692923914
A4-seed-20260809,20260809,A4,full,267,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.5782465527555252,0.22572171502287527
A4-seed-20260810,20260810,A4,full,700,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.6893942040712353,0.143146723860579
A4-seed-20260811,20260811,A4,full,219,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.62061059694133,0.18224977070212353
A4-seed-20260812,20260812,A4,full,873,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.8268858788505926,0.16325249002824177
A4-seed-20260813,20260813,A4,full,448,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.6197114418174744,0.19356237615424438
A4-seed-20260814,20260814,A4,full,258,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.522851242878611,0.2712019024836914
A4-seed-20260815,20260815,A4,full,387,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.6787531960628824,0.1717634838565338
A4-seed-20260816,20260816,A4,full,729,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.5541374117421418,0.2517540671765357
A4-seed-20260817,20260817,A4,full,443,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.7814201761550106,0.11437160130155558
A4-seed-20260818,20260818,A4,full,531,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.6294405737745632,0.19426804024013966
A4-seed-20260819,20260819,A4,full,283,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.5011225143941462,0.24891631838810843
