seed,arm,run_path,large_events_present,large_events_zip_bytes,large_events_members,qp_raw_events_present,q_table_raw_present,personal_archive_log_present,cmax_records,cmax_generated_rows,cmax_entered_rows,cmax_pddr_retained_rows,cmax_personal_archive_rows,cmax_global_archive_rows,cmax_next_round_survival_rows,passive_archive_rows,dscr_event_rows,dscr_teacher_use_rows,cmax_best_generated,cmax_best_global
20260814,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260814/A3,True,832755,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,103,103,103,13,13,30,0,480,6392,3200,703.738387225664,704.823425119956
20260815,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260815/A2,True,1077296,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,52,52,52,2,0,24,0,706,7192,3600,799.57743364009,799.57743364009
20260815,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260815/A3,True,949109,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,66,66,66,9,9,26,0,654,6792,3400,741.574103487701,741.574103487701
20260816,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260816/A2,True,934398,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,69,69,69,5,0,32,0,562,6792,3400,731.553176447905,731.553176447905
20260816,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260816/A3,True,989152,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,83,83,83,7,8,20,0,845,6792,3400,721.900092044176,721.900092044176
20260817,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260817/A2,True,810087,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,63,63,63,5,0,25,0,395,6392,3200,724.09114413592,724.09114413592
20260817,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260817/A3,True,898526,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,102,102,102,7,7,22,0,751,6792,3400,712.226118504173,730.735433646818
20260818,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260818/A2,True,948483,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,76,76,76,5,0,29,0,421,6392,3200,720.110609289688,720.110609289688
20260818,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260818/A3,True,843327,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,68,68,68,6,6,20,0,440,6792,3400,753.682144477568,759.991647886852
20260819,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260819/A2,True,976720,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,54,54,54,2,0,13,0,529,6392,3200,771.149229126211,772.181464112373
20260819,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260819/A3,True,1093595,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,69,69,69,6,6,13,0,363,6392,3200,784.528083263011,805.963088545385
