instance,seed,mixture,HV,IGD,Spacing,C_forward,C_reverse,frontSize
50_2_3_1,20260822,10/60/20/10,0.748666476477369,0.1331252823800895,0.017979439027095732,4.41306266548985E-4,1.0,504
50_2_3_1,20260823,10/60/20/10,0.8583102165142973,0.10445657079368371,0.011959970023072057,0.0088261253309797,1.0,546
50_2_3_1,20260824,10/60/20/10,0.8700955475411414,0.10602338554868442,0.01246387372878495,0.04060017652250662,1.0,569
100_2_3_1,20260822,15/25/30/30,0.7559748194401301,0.17203444190662498,0.017934259465842713,0.0,1.0,624
100_2_3_1,20260823,15/25/30/30,0.7175971827468498,0.1758369422949178,0.015333835015269534,0.0,1.0,523
100_2_3_1,20260824,15/25/30/30,0.686906297716483,0.2813499438663898,0.014555055805031504,0.02835873803615739,1.0,270
20_2_3_1,20260822,15/25/30/30,0.8050608201920795,0.08299384286194864,0.023930017924716263,0.028585040495474036,1.0,479
20_2_3_1,20260823,15/25/30/30,0.8471220053672641,0.06471838476851548,0.015327531008226538,0.008099094807050978,1.0,664
20_2_3_1,20260824,15/25/30/30,0.8748578482921483,0.05502876947975526,0.019347136775136494,0.0281086231538828,1.0,512
50_2_3_1,20260822,15/25/30/30,0.7701702471016036,0.12942082506113253,0.01840686032090055,0.011032656663724626,1.0,554
50_2_3_1,20260823,15/25/30/30,0.8623173278716088,0.0751915185534094,0.014687203113577477,0.0088261253309797,1.0,724
50_2_3_1,20260824,15/25/30/30,0.8346929275834387,0.12320441670622456,0.01359370397708883,0.0,1.0,487
100_2_3_1,20260822,15/55/15/15,0.8261579602050432,0.12819865685069615,0.011980644151245485,0.34207727756114853,1.0,1355
100_2_3_1,20260823,15/55/15/15,0.5826977079502265,0.33737121131368697,0.026361548457763784,0.002835873803615739,1.0,269
100_2_3_1,20260824,15/55/15/15,0.6280887454600634,0.32111685085905917,0.011962692386580017,0.023750443105281814,1.0,458
20_2_3_1,20260822,15/55/15/15,0.8736153071765804,0.0721431478102706,0.016784336981220265,0.007146260123868509,1.0,552
20_2_3_1,20260823,15/55/15/15,0.8892208586618969,0.05889210901710462,0.015886901491372535,0.0033349213911386373,1.0,639
20_2_3_1,20260824,15/55/15/15,0.8891661828789248,0.049732327614469204,0.013979717417726484,0.023820867079561697,1.0,584
50_2_3_1,20260822,15/55/15/15,0.8476003056190627,0.09121214799370565,0.014975694540782174,0.003971756398940865,1.0,668
50_2_3_1,20260823,15/55/15/15,0.8401878083042423,0.08938876133267887,0.012944602348576665,4.41306266548985E-4,1.0,554
50_2_3_1,20260824,15/55/15/15,0.8426007514093534,0.09728816141089953,0.015960023542179274,0.0,1.0,666
100_2_3_1,20260822,20/40/20/20,0.4973142557839687,0.36883948169421205,0.017281468116810354,0.0,1.0,214
100_2_3_1,20260823,20/40/20/20,0.668942537841697,0.25998151742207193,0.015461394785021966,0.0,1.0,223
100_2_3_1,20260824,20/40/20/20,0.6309101383059874,0.28288351178312304,0.01315065405970483,0.0,1.0,584
20_2_3_1,20260822,20/40/20/20,0.8357114880072792,0.06508522326124117,0.02046844009904596,0.0014292520247737017,1.0,536
20_2_3_1,20260823,20/40/20/20,0.888183899886053,0.05707564576523101,0.016011795280109053,0.027632205812291567,1.0,639
20_2_3_1,20260824,20/40/20/20,0.9134282132098532,0.042137741540932534,0.01756064426303336,0.04954740352548833,1.0,752
50_2_3_1,20260822,20/40/20/20,0.7986701567982258,0.10839408919050843,0.013230300469642636,0.06266548984995587,1.0,493
50_2_3_1,20260823,20/40/20/20,0.791469276093707,0.11576300203801981,0.013907402160070262,0.0,1.0,657
50_2_3_1,20260824,20/40/20/20,0.8892900723245764,0.07564823005011004,0.014649299534971306,0.03265666372462489,1.0,665
100_2_3_1,20260822,20/40/30/10,0.6804783757323158,0.25715522207414715,0.015697023168220033,0.02162353775257001,1.0,417
100_2_3_1,20260823,20/40/30/10,0.6523064618480574,0.24933487434538693,0.019186354492771087,0.0,1.0,335
100_2_3_1,20260824,20/40/30/10,0.7750957391527805,0.17647183885060866,0.011229118152994766,0.1542006380716058,1.0,642
20_2_3_1,20260822,20/40/30/10,0.8510037334401397,0.06509313330129413,0.01632064073034474,4.764173415912339E-4,1.0,694
20_2_3_1,20260823,20/40/30/10,0.9002804558591828,0.0417812542166233,0.01388216221269525,0.2067651262505955,1.0,917
20_2_3_1,20260824,20/40/30/10,0.8828138134535289,0.05189678471225598,0.01568242002787175,0.02048594568842306,1.0,674
50_2_3_1,20260822,20/40/30/10,0.8629632512643941,0.0783694480184653,0.01379785490995364,0.018093556928508385,1.0,665
50_2_3_1,20260823,20/40/30/10,0.853814359622507,0.10586600204557305,0.016712537632179808,0.028684907325684024,1.0,513
50_2_3_1,20260824,20/40/30/10,0.8523158543047413,0.09519743710277587,0.01610846724371845,0.03662842012356576,1.0,635
