mixture,instance,seed,observedDeltaCmax,fittedDeltaCmax,residual,leaveOneTreatmentOutPrediction
20/40/20/20,100_2_3_1,20260823,0.0,0.0016598531877709197,-0.0016598531877709197,0.0038266856629647905
20/40/20/20,100_2_3_1,20260824,0.0,0.0016598531877709197,-0.0016598531877709197,0.0038266856629647905
20/40/20/20,20_2_3_1,20260822,0.0,0.0016598531877709197,-0.0016598531877709197,0.0038266856629647905
20/40/20/20,20_2_3_1,20260823,0.0,0.0016598531877709197,-0.0016598531877709197,0.0038266856629647905
20/40/20/20,20_2_3_1,20260824,0.0,0.0016598531877709197,-0.0016598531877709197,0.0038266856629647905
20/40/20/20,50_2_3_1,20260822,0.0,0.0016598531877709197,-0.0016598531877709197,0.0038266856629647905
20/40/20/20,50_2_3_1,20260823,0.0,0.0016598531877709197,-0.0016598531877709197,0.0038266856629647905
20/40/20/20,50_2_3_1,20260824,0.0,0.0016598531877709197,-0.0016598531877709197,0.0038266856629647905
20/40/30/10,100_2_3_1,20260822,4.1366351173634805E-4,-0.014692563157464936,0.015106226669201283,-0.013559246039772408
20/40/30/10,100_2_3_1,20260823,-0.03581952772971809,-0.014692563157464936,-0.021126964572253153,-0.013559246039772408
20/40/30/10,100_2_3_1,20260824,0.012742692513782284,-0.014692563157464936,0.02743525567124722,-0.013559246039772408
20/40/30/10,20_2_3_1,20260822,0.02564500356616624,-0.014692563157464936,0.040337566723631174,-0.013559246039772408
20/40/30/10,20_2_3_1,20260823,-0.10442594252969935,-0.014692563157464936,-0.08973337937223441,-0.013559246039772408
20/40/30/10,20_2_3_1,20260824,-0.011054950932488195,-0.014692563157464936,0.0036376122249767405,-0.013559246039772408
20/40/30/10,50_2_3_1,20260822,-0.005810978303847909,-0.014692563157464936,0.008881584853617026,-0.013559246039772408
20/40/30/10,50_2_3_1,20260823,-0.01409869735994873,-0.014692563157464936,5.938657975162048E-4,-0.013559246039772408
20/40/30/10,50_2_3_1,20260824,-0.006478120563220335,-0.014692563157464936,0.0082144425942446,-0.013559246039772408
20/60/10/10,100_2_3_1,20260822,0.017294993927152766,0.0053684826111259935,0.011926511316026771,0.012453925767898232
20/60/10/10,100_2_3_1,20260823,-0.01380356068203206,0.0053684826111259935,-0.019172043293158053,0.012453925767898232
20/60/10/10,100_2_3_1,20260824,0.016598631246744447,0.0053684826111259935,0.011230148635618453,0.012453925767898232
20/60/10/10,20_2_3_1,20260822,0.050968722817225344,0.0053684826111259935,0.04560024020609935,0.012453925767898232
20/60/10/10,20_2_3_1,20260823,0.02461670995189788,0.0053684826111259935,0.019248227340771886,0.012453925767898232
20/60/10/10,20_2_3_1,20260824,-0.042614080799215116,0.0053684826111259935,-0.04798256341034111,0.012453925767898232
20/60/10/10,50_2_3_1,20260822,-0.04347641440938483,0.0053684826111259935,-0.04884489702051082,0.012453925767898232
20/60/10/10,50_2_3_1,20260823,-0.026104710540849382,0.0053684826111259935,-0.03147319315197537,0.012453925767898232
20/60/10/10,50_2_3_1,20260824,0.023280277994778904,0.0053684826111259935,0.01791179538365291,0.012453925767898232
25/25/25/25,100_2_3_1,20260822,-0.0941516402867526,0.0037950972932908056,-0.09794673758004341,-0.00205271941735162
25/25/25/25,100_2_3_1,20260823,0.009751824044403579,0.0037950972932908056,0.005956726751112773,-0.00205271941735162
25/25/25/25,100_2_3_1,20260824,0.02753437732024319,0.0037950972932908056,0.023739280026952383,-0.00205271941735162
25/25/25/25,20_2_3_1,20260822,0.060479100925586365,0.0037950972932908056,0.05668400363229556,-0.00205271941735162
25/25/25/25,20_2_3_1,20260823,0.05929142354326035,0.0037950972932908056,0.055496326249969544,-0.00205271941735162
25/25/25/25,20_2_3_1,20260824,-0.00356481652623824,0.0037950972932908056,-0.007359913819529046,-0.00205271941735162
25/25/25/25,50_2_3_1,20260822,-0.010924504438464386,0.0037950972932908056,-0.014719601731755192,-0.00205271941735162
25/25/25/25,50_2_3_1,20260823,0.003842781757642502,0.0037950972932908056,4.768446435169651E-5,-0.00205271941735162
25/25/25/25,50_2_3_1,20260824,0.03183279005345238,0.0037950972932908056,0.028037692760161576,-0.00205271941735162
30/30/10/30,100_2_3_1,20260822,0.014350756591044341,0.025078250105793152,-0.01072749351474881,0.05979911828242942
30/30/10/30,100_2_3_1,20260823,-0.005486685198988668,0.025078250105793152,-0.03056493530478182,0.05979911828242942
30/30/10/30,100_2_3_1,20260824,0.05107538020111581,0.025078250105793152,0.025997130095322656,0.05979911828242942
30/30/10/30,20_2_3_1,20260822,0.10309213611970586,0.025078250105793152,0.07801388601391271,0.05979911828242942
30/30/10/30,20_2_3_1,20260823,0.05451686157092214,0.025078250105793152,0.02943861146512899,0.05979911828242942
30/30/10/30,20_2_3_1,20260824,8.469894829131275E-4,0.025078250105793152,-0.024231260622880023,0.05979911828242942
30/30/10/30,50_2_3_1,20260822,-0.017971040173211675,0.025078250105793152,-0.04304929027900482,0.05979911828242942
30/30/10/30,50_2_3_1,20260823,-0.0015550185295820085,0.025078250105793152,-0.02663326863537516,0.05979911828242942
30/30/10/30,50_2_3_1,20260824,-8.343222370974014E-4,0.025078250105793152,-0.025912572342890555,0.05979911828242942
30/30/30/10,100_2_3_1,20260822,0.015719530968117623,0.009617172585024085,0.006102358383093538,0.02479649042407404
30/30/30/10,100_2_3_1,20260823,-0.009970898987015933,0.009617172585024085,-0.019588071572040018,0.02479649042407404
30/30/30/10,100_2_3_1,20260824,0.0026088652096633415,0.009617172585024085,-0.0070083073753607434,0.02479649042407404
30/30/30/10,20_2_3_1,20260822,0.0826987721288829,0.009617172585024085,0.07308159954385882,0.02479649042407404
30/30/30/10,20_2_3_1,20260823,0.058344231154317715,0.009617172585024085,0.04872705856929363,0.02479649042407404
30/30/30/10,20_2_3_1,20260824,-0.028688378878151937,0.009617172585024085,-0.03830555146317602,0.02479649042407404
30/30/30/10,50_2_3_1,20260822,-0.028372264215102007,0.009617172585024085,-0.03798943680012609,0.02479649042407404
30/30/30/10,50_2_3_1,20260823,-0.035286857945061374,0.009617172585024085,-0.04490403053008546,0.02479649042407404
30/30/30/10,50_2_3_1,20260824,0.005159255409265349,0.009617172585024085,-0.004457917175758736,0.02479649042407404
30/50/10/10,100_2_3_1,20260822,0.022500377121879748,0.025633282589392473,-0.0031329054675127248,0.004702118987587994
30/50/10/10,100_2_3_1,20260823,3.658792152373778E-4,0.025633282589392473,-0.025267403374155097,0.004702118987587994
30/50/10/10,100_2_3_1,20260824,0.0558963625115537,0.025633282589392473,0.030263079922161228,0.004702118987587994
30/50/10/10,20_2_3_1,20260822,0.10008563722062239,0.025633282589392473,0.07445235463122991,0.004702118987587994
30/50/10/10,20_2_3_1,20260823,0.04818704735921741,0.025633282589392473,0.022553764769824937,0.004702118987587994
30/50/10/10,20_2_3_1,20260824,0.02762538105209106,0.025633282589392473,0.001992098462698589,0.004702118987587994
30/50/10/10,50_2_3_1,20260822,0.0038538972633703457,0.025633282589392473,-0.021779385326022128,0.004702118987587994
30/50/10/10,50_2_3_1,20260823,0.0022217807473476417,0.025633282589392473,-0.02341150184204483,0.004702118987587994
30/50/10/10,50_2_3_1,20260824,0.007531648997889499,0.025633282589392473,-0.018101633591502974,0.004702118987587994
