instance,arm,seed,cycle,fe,pool,target,nLT1,nEq1,nGt1,nND,selLT1,selEq1,selGt1,rejLT1,rejEq1,rejGt1,bpLT1,bpEq1,bpGt1
100_2_3_1,QGS,20260823,9,287091,300,100,96,0,204,96,96,0,4,0,0,200,96,0,4
100_2_3_1,QGS,20260823,10,318896,300,100,87,0,213,87,87,0,13,0,0,200,87,0,13
100_2_3_1,QGS,20260823,11,350705,300,100,95,1,204,96,95,1,4,0,0,200,95,1,4
100_2_3_1,QGS,20260823,12,382618,300,100,84,4,212,88,84,4,12,0,0,200,84,4,12
100_2_3_1,QGS,20260823,13,414520,300,100,78,22,200,100,78,22,0,0,0,200,78,22,0
100_2_3_1,QGS,20260823,14,446437,300,100,80,23,197,103,80,20,0,0,3,197,80,20,0
100_2_3_1,QGS,20260823,15,478303,300,100,87,16,197,103,87,13,0,0,3,197,87,13,0
100_2_3_1,QGS,20260823,16,500000,263,100,101,1,161,102,100,0,0,1,1,161,100,0,0
100_2_3_1,QGS,20260824,1,31896,300,100,29,0,271,29,29,0,71,0,0,200,29,0,71
100_2_3_1,QGS,20260824,2,63800,300,100,40,0,260,40,40,0,60,0,0,200,40,0,60
100_2_3_1,QGS,20260824,3,95747,300,100,46,0,254,46,46,0,54,0,0,200,46,0,54
100_2_3_1,QGS,20260824,4,127768,299,100,40,0,259,40,40,0,60,0,0,199,40,0,60
100_2_3_1,QGS,20260824,5,159760,299,100,63,5,231,68,63,5,32,0,0,199,63,5,32
100_2_3_1,QGS,20260824,6,191815,297,100,69,0,228,69,69,0,31,0,0,197,69,0,31
100_2_3_1,QGS,20260824,7,223721,299,100,57,0,242,57,57,0,43,0,0,199,57,0,43
100_2_3_1,QGS,20260824,8,255730,296,100,36,0,260,36,36,0,64,0,0,196,36,0,64
100_2_3_1,QGS,20260824,9,287791,300,100,65,0,235,65,65,0,35,0,0,200,65,0,35
100_2_3_1,QGS,20260824,10,319846,298,100,75,0,223,75,75,0,25,0,0,198,75,0,25
100_2_3_1,QGS,20260824,11,351995,296,100,51,0,245,51,51,0,49,0,0,196,51,0,49
100_2_3_1,QGS,20260824,12,384051,297,100,72,1,224,73,72,1,27,0,0,197,72,1,27
100_2_3_1,QGS,20260824,13,416071,296,100,85,10,201,95,85,10,5,0,0,196,85,10,5
100_2_3_1,QGS,20260824,14,448018,298,100,79,0,219,79,79,0,21,0,0,198,79,0,21
100_2_3_1,QGS,20260824,15,480079,296,100,78,0,218,78,78,0,22,0,0,196,78,0,22
100_2_3_1,QGS,20260824,16,500000,256,100,73,1,182,74,73,1,26,0,0,156,73,1,26
100_2_3_1,BASE,20260822,1,6767,293,100,11,0,282,11,11,0,89,0,0,193,11,0,89
100_2_3_1,BASE,20260822,2,13435,291,100,29,0,262,29,29,0,71,0,0,191,29,0,71
100_2_3_1,BASE,20260822,3,20106,281,100,29,0,252,29,29,0,71,0,0,181,29,0,71
100_2_3_1,BASE,20260822,4,26781,269,100,35,0,234,35,35,0,65,0,0,169,35,0,65
100_2_3_1,BASE,20260822,5,33462,277,100,49,0,228,49,49,0,51,0,0,177,49,0,51
100_2_3_1,BASE,20260822,6,40149,255,100,54,8,193,62,54,8,38,0,0,155,54,8,38
100_2_3_1,BASE,20260822,7,46844,256,100,76,0,180,76,76,0,24,0,0,156,76,0,24
100_2_3_1,BASE,20260822,8,53549,267,100,73,4,190,77,73,4,23,0,0,167,73,4,23
100_2_3_1,BASE,20260822,9,60264,269,100,100,4,165,104,100,0,0,0,4,165,100,0,0
100_2_3_1,BASE,20260822,10,66991,266,100,103,0,163,103,100,0,0,3,0,163,100,0,0
100_2_3_1,BASE,20260822,11,73732,264,100,100,1,163,101,100,0,0,0,1,163,100,0,0
100_2_3_1,BASE,20260822,12,80488,260,100,104,0,156,104,100,0,0,4,0,156,100,0,0
100_2_3_1,BASE,20260822,13,87260,253,100,67,0,186,67,67,0,33,0,0,153,67,0,33
100_2_3_1,BASE,20260822,14,94049,255,100,89,1,165,90,89,1,10,0,0,155,89,1,10
100_2_3_1,BASE,20260822,15,100858,261,100,102,1,158,103,100,0,0,2,1,158,100,0,0
100_2_3_1,BASE,20260822,16,107687,267,100,80,0,187,80,80,0,20,0,0,167,80,0,20
100_2_3_1,BASE,20260822,17,114539,277,100,84,0,193,84,84,0,16,0,0,177,84,0,16
100_2_3_1,BASE,20260822,18,121415,281,100,71,1,209,72,71,1,28,0,0,181,71,1,28
100_2_3_1,BASE,20260822,19,128316,283,100,104,0,179,104,100,0,0,4,0,179,100,0,0
100_2_3_1,BASE,20260822,20,135245,264,100,102,0,162,102,100,0,0,2,0,162,100,0,0
100_2_3_1,BASE,20260822,21,142203,269,100,83,2,184,85,83,2,15,0,0,169,83,2,15
100_2_3_1,BASE,20260822,22,149192,260,100,81,1,178,82,81,1,18,0,0,160,81,1,18
100_2_3_1,BASE,20260822,23,156214,256,100,88,2,166,90,88,2,10,0,0,156,88,2,10
100_2_3_1,BASE,20260822,24,163271,271,100,92,0,179,92,92,0,8,0,0,171,92,0,8
100_2_3_1,BASE,20260822,25,170366,257,100,91,0,166,91,91,0,9,0,0,157,91,0,9
100_2_3_1,BASE,20260822,26,177500,260,100,99,1,160,100,99,1,0,0,0,160,99,1,0
100_2_3_1,BASE,20260822,27,184676,255,100,101,0,154,101,100,0,0,1,0,154,100,0,0
100_2_3_1,BASE,20260822,28,191896,262,100,97,1,164,98,97,1,2,0,0,162,97,1,2
100_2_3_1,BASE,20260822,29,199163,267,100,91,1,175,92,91,1,8,0,0,167,91,1,8
100_2_3_1,BASE,20260822,30,206480,252,100,97,1,154,98,97,1,2,0,0,152,97,1,2
100_2_3_1,BASE,20260822,31,213849,263,100,98,0,165,98,98,0,2,0,0,163,98,0,2
100_2_3_1,BASE,20260822,32,221274,254,100,103,0,151,103,100,0,0,3,0,151,100,0,0
100_2_3_1,BASE,20260822,33,228758,254,100,102,0,152,102,100,0,0,2,0,152,100,0,0
100_2_3_1,BASE,20260822,34,236304,250,100,97,0,153,97,97,0,3,0,0,150,97,0,3
100_2_3_1,BASE,20260822,35,243916,253,100,98,0,155,98,98,0,2,0,0,153,98,0,2
100_2_3_1,BASE,20260822,36,251598,254,100,93,0,161,93,93,0,7,0,0,154,93,0,7
100_2_3_1,BASE,20260822,37,259354,241,100,89,1,151,90,89,1,10,0,0,141,89,1,10
100_2_3_1,BASE,20260822,38,267188,258,100,92,0,166,92,92,0,8,0,0,158,92,0,8
100_2_3_1,BASE,20260822,39,275106,266,100,100,0,166,100,100,0,0,0,0,166,100,0,0
100_2_3_1,BASE,20260822,40,283112,267,100,105,0,162,105,100,0,0,5,0,162,100,0,0
100_2_3_1,BASE,20260822,41,291213,258,100,96,0,162,96,96,0,4,0,0,158,96,0,4
100_2_3_1,BASE,20260822,42,299414,254,100,104,0,150,104,100,0,0,4,0,150,100,0,0
100_2_3_1,BASE,20260822,43,307723,249,100,98,0,151,98,98,0,2,0,0,149,98,0,2
100_2_3_1,BASE,20260822,44,316147,255,100,90,0,165,90,90,0,10,0,0,155,90,0,10
100_2_3_1,BASE,20260822,45,324694,259,100,77,2,180,79,77,2,21,0,0,159,77,2,21
100_2_3_1,BASE,20260822,46,333373,250,100,72,0,178,72,72,0,28,0,0,150,72,0,28
100_2_3_1,BASE,20260822,47,342194,253,100,74,0,179,74,74,0,26,0,0,153,74,0,26
100_2_3_1,BASE,20260822,48,351168,261,100,63,0,198,63,63,0,37,0,0,161,63,0,37
100_2_3_1,BASE,20260822,49,360308,268,100,79,0,189,79,79,0,21,0,0,168,79,0,21
100_2_3_1,BASE,20260822,50,369628,269,100,84,0,185,84,84,0,16,0,0,169,84,0,16
100_2_3_1,BASE,20260822,51,379143,268,100,102,0,166,102,100,0,0,2,0,166,100,0,0
100_2_3_1,BASE,20260822,52,388872,268,100,107,0,161,107,100,0,0,7,0,161,100,0,0
100_2_3_1,BASE,20260822,53,398836,264,100,111,0,153,111,100,0,0,11,0,153,100,0,0
100_2_3_1,BASE,20260822,54,409059,269,100,106,0,163,106,100,0,0,6,0,163,100,0,0
100_2_3_1,BASE,20260822,55,419570,277,100,101,0,176,101,100,0,0,1,0,176,100,0,0
100_2_3_1,BASE,20260822,56,430402,275,100,109,0,166,109,100,0,0,9,0,166,100,0,0
100_2_3_1,BASE,20260822,57,441595,269,100,115,0,154,115,100,0,0,15,0,154,100,0,0
100_2_3_1,BASE,20260822,58,453199,270,100,105,0,165,105,100,0,0,5,0,165,100,0,0
100_2_3_1,BASE,20260822,59,465273,269,100,122,1,146,123,100,0,0,22,1,146,100,0,0
100_2_3_1,BASE,20260822,60,477894,280,100,118,0,162,118,100,0,0,18,0,162,100,0,0
100_2_3_1,BASE,20260822,61,491160,271,100,112,0,159,112,100,0,0,12,0,159,100,0,0
100_2_3_1,BASE,20260822,62,500000,264,100,107,0,157,107,100,0,0,7,0,157,100,0,0
100_2_3_1,BASE,20260823,1,6767,289,100,10,0,279,10,10,0,90,0,0,189,10,0,90
100_2_3_1,BASE,20260823,2,13435,269,100,12,0,257,12,12,0,88,0,0,169,12,0,88
100_2_3_1,BASE,20260823,3,20106,239,100,14,1,224,15,14,1,85,0,0,139,14,1,85
100_2_3_1,BASE,20260823,4,26781,246,100,37,0,209,37,37,0,63,0,0,146,37,0,63
100_2_3_1,BASE,20260823,5,33462,240,100,19,0,221,19,19,0,81,0,0,140,19,0,81
100_2_3_1,BASE,20260823,6,40149,238,100,38,0,200,38,38,0,62,0,0,138,38,0,62
100_2_3_1,BASE,20260823,7,46844,243,100,51,0,192,51,51,0,49,0,0,143,51,0,49
100_2_3_1,BASE,20260823,8,53549,235,100,79,1,155,80,79,1,20,0,0,135,79,1,20
100_2_3_1,BASE,20260823,9,60264,238,100,60,0,178,60,60,0,40,0,0,138,60,0,40
100_2_3_1,BASE,20260823,10,66991,248,100,72,0,176,72,72,0,28,0,0,148,72,0,28
100_2_3_1,BASE,20260823,11,73732,234,100,73,2,159,75,73,2,25,0,0,134,73,2,25
100_2_3_1,BASE,20260823,12,80488,238,100,73,0,165,73,73,0,27,0,0,138,73,0,27
100_2_3_1,BASE,20260823,13,87260,243,100,92,0,151,92,92,0,8,0,0,143,92,0,8
100_2_3_1,BASE,20260823,14,94049,253,100,92,0,161,92,92,0,8,0,0,153,92,0,8
100_2_3_1,BASE,20260823,15,100858,240,100,98,0,142,98,98,0,2,0,0,140,98,0,2
100_2_3_1,BASE,20260823,16,107687,236,100,90,4,142,94,90,4,6,0,0,136,90,4,6
100_2_3_1,BASE,20260823,17,114539,239,100,83,1,155,84,83,1,16,0,0,139,83,1,16
100_2_3_1,BASE,20260823,18,121415,234,100,90,1,143,91,90,1,9,0,0,134,90,1,9
100_2_3_1,BASE,20260823,19,128316,235,100,93,5,137,98,93,5,2,0,0,135,93,5,2
100_2_3_1,BASE,20260823,20,135245,231,100,106,3,122,109,100,0,0,6,3,122,100,0,0
100_2_3_1,BASE,20260823,21,142203,246,100,91,0,155,91,91,0,9,0,0,146,91,0,9
100_2_3_1,BASE,20260823,22,149192,237,100,112,0,125,112,100,0,0,12,0,125,100,0,0
100_2_3_1,BASE,20260823,23,156214,238,100,100,0,138,100,100,0,0,0,0,138,100,0,0
100_2_3_1,BASE,20260823,24,163271,247,100,87,0,160,87,87,0,13,0,0,147,87,0,13
100_2_3_1,BASE,20260823,25,170366,238,100,102,2,134,104,100,0,0,2,2,134,100,0,0
100_2_3_1,BASE,20260823,26,177500,261,100,113,0,148,113,100,0,0,13,0,148,100,0,0
100_2_3_1,BASE,20260823,27,184676,248,100,107,0,141,107,100,0,0,7,0,141,100,0,0
100_2_3_1,BASE,20260823,28,191896,233,100,86,1,146,87,86,1,13,0,0,133,86,1,13
100_2_3_1,BASE,20260823,29,199163,262,100,79,0,183,79,79,0,21,0,0,162,79,0,21
100_2_3_1,BASE,20260823,30,206480,257,100,91,0,166,91,91,0,9,0,0,157,91,0,9
100_2_3_1,BASE,20260823,31,213849,245,100,98,4,143,102,98,2,0,0,2,143,98,2,0
100_2_3_1,BASE,20260823,32,221274,253,100,98,0,155,98,98,0,2,0,0,153,98,0,2
100_2_3_1,BASE,20260823,33,228758,254,100,104,0,150,104,100,0,0,4,0,150,100,0,0
100_2_3_1,BASE,20260823,34,236304,241,100,104,0,137,104,100,0,0,4,0,137,100,0,0
100_2_3_1,BASE,20260823,35,243916,250,100,115,0,135,115,100,0,0,15,0,135,100,0,0
100_2_3_1,BASE,20260823,36,251598,255,100,109,1,145,110,100,0,0,9,1,145,100,0,0
100_2_3_1,BASE,20260823,37,259354,245,100,103,0,142,103,100,0,0,3,0,142,100,0,0
100_2_3_1,BASE,20260823,38,267188,256,100,111,0,145,111,100,0,0,11,0,145,100,0,0
100_2_3_1,BASE,20260823,39,275106,261,100,105,0,156,105,100,0,0,5,0,156,100,0,0
100_2_3_1,BASE,20260823,40,283112,249,100,102,1,146,103,100,0,0,2,1,146,100,0,0
100_2_3_1,BASE,20260823,41,291213,261,100,113,3,145,116,100,0,0,13,3,145,100,0,0
100_2_3_1,BASE,20260823,42,299414,250,100,110,0,140,110,100,0,0,10,0,140,100,0,0
100_2_3_1,BASE,20260823,43,307723,261,100,102,0,159,102,100,0,0,2,0,159,100,0,0
100_2_3_1,BASE,20260823,44,316147,254,100,108,0,146,108,100,0,0,8,0,146,100,0,0
100_2_3_1,BASE,20260823,45,324694,255,100,106,0,149,106,100,0,0,6,0,149,100,0,0
100_2_3_1,BASE,20260823,46,333373,257,100,108,0,149,108,100,0,0,8,0,149,100,0,0
100_2_3_1,BASE,20260823,47,342194,254,100,96,1,157,97,96,1,3,0,0,154,96,1,3
100_2_3_1,BASE,20260823,48,351168,268,100,106,0,162,106,100,0,0,6,0,162,100,0,0
100_2_3_1,BASE,20260823,49,360308,259,100,105,1,153,106,100,0,0,5,1,153,100,0,0
100_2_3_1,BASE,20260823,50,369628,261,100,108,1,152,109,100,0,0,8,1,152,100,0,0
100_2_3_1,BASE,20260823,51,379143,254,100,97,0,157,97,97,0,3,0,0,154,97,0,3
100_2_3_1,BASE,20260823,52,388872,277,100,112,1,164,113,100,0,0,12,1,164,100,0,0
100_2_3_1,BASE,20260823,53,398836,272,100,109,1,162,110,100,0,0,9,1,162,100,0,0
100_2_3_1,BASE,20260823,54,409059,264,100,108,0,156,108,100,0,0,8,0,156,100,0,0
100_2_3_1,BASE,20260823,55,419570,268,100,106,1,161,107,100,0,0,6,1,161,100,0,0
100_2_3_1,BASE,20260823,56,430402,260,100,110,1,149,111,100,0,0,10,1,149,100,0,0
100_2_3_1,BASE,20260823,57,441595,273,100,95,0,178,95,95,0,5,0,0,173,95,0,5
100_2_3_1,BASE,20260823,58,453199,261,100,112,0,149,112,100,0,0,12,0,149,100,0,0
100_2_3_1,BASE,20260823,59,465273,282,100,102,0,180,102,100,0,0,2,0,180,100,0,0
100_2_3_1,BASE,20260823,60,477894,265,100,90,0,175,90,90,0,10,0,0,165,90,0,10
100_2_3_1,BASE,20260823,61,491160,275,100,106,0,169,106,100,0,0,6,0,169,100,0,0
100_2_3_1,BASE,20260823,62,500000,261,100,101,0,160,101,100,0,0,1,0,160,100,0,0
100_2_3_1,BASE,20260824,1,6767,279,100,16,0,263,16,16,0,84,0,0,179,16,0,84
100_2_3_1,BASE,20260824,2,13435,302,100,34,0,268,34,34,0,66,0,0,202,34,0,66
100_2_3_1,BASE,20260824,3,20106,291,100,42,0,249,42,42,0,58,0,0,191,42,0,58
100_2_3_1,BASE,20260824,4,26781,281,100,56,1,224,57,56,1,43,0,0,181,56,1,43
100_2_3_1,BASE,20260824,5,33462,285,100,48,1,236,49,48,1,51,0,0,185,48,1,51
100_2_3_1,BASE,20260824,6,40149,284,100,41,1,242,42,41,1,58,0,0,184,41,1,58
100_2_3_1,BASE,20260824,7,46844,263,100,70,0,193,70,70,0,30,0,0,163,70,0,30
100_2_3_1,BASE,20260824,8,53549,273,100,63,0,210,63,63,0,37,0,0,173,63,0,37
100_2_3_1,BASE,20260824,9,60264,276,100,62,0,214,62,62,0,38,0,0,176,62,0,38
100_2_3_1,BASE,20260824,10,66991,282,100,45,0,237,45,45,0,55,0,0,182,45,0,55
100_2_3_1,BASE,20260824,11,73732,276,100,39,0,237,39,39,0,61,0,0,176,39,0,61
100_2_3_1,BASE,20260824,12,80488,281,100,63,0,218,63,63,0,37,0,0,181,63,0,37
100_2_3_1,BASE,20260824,13,87260,283,100,57,0,226,57,57,0,43,0,0,183,57,0,43
100_2_3_1,BASE,20260824,14,94049,282,100,70,0,212,70,70,0,30,0,0,182,70,0,30
100_2_3_1,BASE,20260824,15,100858,278,100,103,2,173,105,100,0,0,3,2,173,100,0,0
100_2_3_1,BASE,20260824,16,107687,277,100,102,0,175,102,100,0,0,2,0,175,100,0,0
100_2_3_1,BASE,20260824,17,114539,274,100,111,0,163,111,100,0,0,11,0,163,100,0,0
100_2_3_1,BASE,20260824,18,121415,284,100,101,0,183,101,100,0,0,1,0,183,100,0,0
100_2_3_1,BASE,20260824,19,128316,266,100,105,0,161,105,100,0,0,5,0,161,100,0,0
100_2_3_1,BASE,20260824,20,135245,267,100,108,0,159,108,100,0,0,8,0,159,100,0,0
100_2_3_1,BASE,20260824,21,142203,259,100,112,0,147,112,100,0,0,12,0,147,100,0,0
100_2_3_1,BASE,20260824,22,149192,283,100,118,2,163,120,100,0,0,18,2,163,100,0,0
100_2_3_1,BASE,20260824,23,156214,280,100,107,1,172,108,100,0,0,7,1,172,100,0,0
100_2_3_1,BASE,20260824,24,163271,281,100,106,0,175,106,100,0,0,6,0,175,100,0,0
100_2_3_1,BASE,20260824,25,170366,282,100,102,0,180,102,100,0,0,2,0,180,100,0,0
100_2_3_1,BASE,20260824,26,177500,281,100,100,0,181,100,100,0,0,0,0,181,100,0,0
100_2_3_1,BASE,20260824,27,184676,269,100,106,0,163,106,100,0,0,6,0,163,100,0,0
100_2_3_1,BASE,20260824,28,191896,272,100,102,0,170,102,100,0,0,2,0,170,100,0,0
100_2_3_1,BASE,20260824,29,199163,271,100,112,0,159,112,100,0,0,12,0,159,100,0,0
100_2_3_1,BASE,20260824,30,206480,271,100,107,0,164,107,100,0,0,7,0,164,100,0,0
100_2_3_1,BASE,20260824,31,213849,273,100,106,2,165,108,100,0,0,6,2,165,100,0,0
100_2_3_1,BASE,20260824,32,221274,275,100,117,0,158,117,100,0,0,17,0,158,100,0,0
100_2_3_1,BASE,20260824,33,228758,264,100,108,0,156,108,100,0,0,8,0,156,100,0,0
100_2_3_1,BASE,20260824,34,236304,273,100,101,0,172,101,100,0,0,1,0,172,100,0,0
100_2_3_1,BASE,20260824,35,243916,272,100,114,0,158,114,100,0,0,14,0,158,100,0,0
100_2_3_1,BASE,20260824,36,251598,260,100,108,0,152,108,100,0,0,8,0,152,100,0,0
100_2_3_1,BASE,20260824,37,259354,283,100,109,0,174,109,100,0,0,9,0,174,100,0,0
100_2_3_1,BASE,20260824,38,267188,279,100,120,0,159,120,100,0,0,20,0,159,100,0,0
100_2_3_1,BASE,20260824,39,275106,283,100,108,0,175,108,100,0,0,8,0,175,100,0,0
100_2_3_1,BASE,20260824,40,283112,273,100,109,0,164,109,100,0,0,9,0,164,100,0,0
100_2_3_1,BASE,20260824,41,291213,281,100,104,0,177,104,100,0,0,4,0,177,100,0,0
100_2_3_1,BASE,20260824,42,299414,275,100,110,0,165,110,100,0,0,10,0,165,100,0,0
100_2_3_1,BASE,20260824,43,307723,274,100,112,0,162,112,100,0,0,12,0,162,100,0,0
100_2_3_1,BASE,20260824,44,316147,281,100,98,0,183,98,98,0,2,0,0,181,98,0,2
100_2_3_1,BASE,20260824,45,324694,285,100,108,0,177,108,100,0,0,8,0,177,100,0,0
100_2_3_1,BASE,20260824,46,333373,271,100,114,0,157,114,100,0,0,14,0,157,100,0,0
100_2_3_1,BASE,20260824,47,342194,272,100,105,0,167,105,100,0,0,5,0,167,100,0,0
100_2_3_1,BASE,20260824,48,351168,277,100,117,0,160,117,100,0,0,17,0,160,100,0,0
100_2_3_1,BASE,20260824,49,360308,276,100,120,0,156,120,100,0,0,20,0,156,100,0,0
100_2_3_1,BASE,20260824,50,369628,268,100,110,0,158,110,100,0,0,10,0,158,100,0,0
100_2_3_1,BASE,20260824,51,379143,288,100,110,0,178,110,100,0,0,10,0,178,100,0,0
100_2_3_1,BASE,20260824,52,388872,289,100,110,0,179,110,100,0,0,10,0,179,100,0,0
100_2_3_1,BASE,20260824,53,398836,286,100,110,0,176,110,100,0,0,10,0,176,100,0,0
100_2_3_1,BASE,20260824,54,409059,269,100,111,0,158,111,100,0,0,11,0,158,100,0,0
100_2_3_1,BASE,20260824,55,419570,278,100,117,0,161,117,100,0,0,17,0,161,100,0,0
100_2_3_1,BASE,20260824,56,430402,277,100,111,0,166,111,100,0,0,11,0,166,100,0,0
100_2_3_1,BASE,20260824,57,441595,290,100,106,0,184,106,100,0,0,6,0,184,100,0,0
100_2_3_1,BASE,20260824,58,453199,285,100,107,0,178,107,100,0,0,7,0,178,100,0,0
100_2_3_1,BASE,20260824,59,465273,293,100,119,0,174,119,100,0,0,19,0,174,100,0,0
100_2_3_1,BASE,20260824,60,477894,299,100,118,0,181,118,100,0,0,18,0,181,100,0,0
100_2_3_1,BASE,20260824,61,491160,289,100,113,0,176,113,100,0,0,13,0,176,100,0,0
100_2_3_1,BASE,20260824,62,500000,278,100,110,0,168,110,100,0,0,10,0,168,100,0,0
20_2_3_1,QGS,20260822,1,29322,300,100,36,0,264,36,36,0,64,0,0,200,36,0,64
20_2_3_1,QGS,20260822,2,58109,300,100,74,0,226,74,74,0,26,0,0,200,74,0,26
20_2_3_1,QGS,20260822,3,86784,300,100,107,0,193,107,100,0,0,7,0,193,100,0,0
20_2_3_1,QGS,20260822,4,115581,300,100,88,0,212,88,88,0,12,0,0,200,88,0,12
20_2_3_1,QGS,20260822,5,144442,299,100,115,0,184,115,100,0,0,15,0,184,100,0,0
20_2_3_1,QGS,20260822,6,173139,300,100,84,1,215,85,84,1,15,0,0,200,84,1,15
20_2_3_1,QGS,20260822,7,201531,300,100,100,0,200,100,100,0,0,0,0,200,100,0,0
20_2_3_1,QGS,20260822,8,229607,300,100,110,3,187,113,100,0,0,10,3,187,100,0,0
20_2_3_1,QGS,20260822,9,258480,300,100,103,0,197,103,100,0,0,3,0,197,100,0,0
20_2_3_1,QGS,20260822,10,287142,300,100,113,0,187,113,100,0,0,13,0,187,100,0,0
20_2_3_1,QGS,20260822,11,315447,300,100,108,2,190,110,100,0,0,8,2,190,100,0,0
20_2_3_1,QGS,20260822,12,344194,300,100,122,3,175,125,100,0,0,22,3,175,100,0,0
20_2_3_1,QGS,20260822,13,372726,300,100,104,1,195,105,100,0,0,4,1,195,100,0,0
20_2_3_1,QGS,20260822,14,400901,300,100,110,1,189,111,100,0,0,10,1,189,100,0,0
20_2_3_1,QGS,20260822,15,429245,300,100,99,5,196,104,99,1,0,0,4,196,99,1,0
20_2_3_1,QGS,20260822,16,457995,300,100,117,0,183,117,100,0,0,17,0,183,100,0,0
20_2_3_1,QGS,20260822,17,486786,300,100,118,1,181,119,100,0,0,18,1,181,100,0,0
20_2_3_1,QGS,20260822,18,500000,234,100,113,2,119,115,100,0,0,13,2,119,100,0,0
20_2_3_1,QGS,20260823,1,29545,300,100,42,0,258,42,42,0,58,0,0,200,42,0,58
20_2_3_1,QGS,20260823,2,58947,300,100,76,0,224,76,76,0,24,0,0,200,76,0,24
20_2_3_1,QGS,20260823,3,88035,300,100,88,1,211,89,88,1,11,0,0,200,88,1,11
20_2_3_1,QGS,20260823,4,117030,300,100,84,0,216,84,84,0,16,0,0,200,84,0,16
20_2_3_1,QGS,20260823,5,146236,300,100,113,0,187,113,100,0,0,13,0,187,100,0,0
20_2_3_1,QGS,20260823,6,175379,300,100,117,2,181,119,100,0,0,17,2,181,100,0,0
20_2_3_1,QGS,20260823,7,204629,300,100,104,0,196,104,100,0,0,4,0,196,100,0,0
20_2_3_1,QGS,20260823,8,233067,300,100,98,0,202,98,98,0,2,0,0,200,98,0,2
20_2_3_1,QGS,20260823,9,261818,300,100,109,0,191,109,100,0,0,9,0,191,100,0,0
20_2_3_1,QGS,20260823,10,291126,300,100,94,0,206,94,94,0,6,0,0,200,94,0,6
20_2_3_1,QGS,20260823,11,319879,300,100,91,3,206,94,91,3,6,0,0,200,91,3,6
20_2_3_1,QGS,20260823,12,349240,300,100,89,2,209,91,89,2,9,0,0,200,89,2,9
20_2_3_1,QGS,20260823,13,377832,300,100,103,5,192,108,100,0,0,3,5,192,100,0,0
20_2_3_1,QGS,20260823,14,407142,300,100,106,2,192,108,100,0,0,6,2,192,100,0,0
20_2_3_1,QGS,20260823,15,436469,300,100,111,1,188,112,100,0,0,11,1,188,100,0,0
20_2_3_1,QGS,20260823,16,465618,300,100,102,0,198,102,100,0,0,2,0,198,100,0,0
20_2_3_1,QGS,20260823,17,494766,300,100,103,0,197,103,100,0,0,3,0,197,100,0,0
20_2_3_1,QGS,20260823,18,500000,202,100,99,3,100,102,99,1,0,0,2,100,99,1,0
