sequence,job,stage,field,manualValue,javaValue,absoluteError,status
2,4,1,workerCost,11,11,0,PASS
2,4,1,lambda,0.025000000000000001,0.025000000000000000,0,PASS
2,4,1,muCurrentStage,0.040000000000000001,0.040000000000000000,0,PASS
2,4,1,recoveryMu,0.040000000000000001,0.040000000000000000,0,PASS
2,4,1,r,0.29999999999999999,0.30000000000000000,0,PASS
2,4,1,delta,17.312340490667562,17.312340490667562,0,PASS
2,4,1,baseProcessing,7,7.0000000000000000,0,PASS
2,4,1,baseSetup,1,1.0000000000000000,0,PASS
2,4,1,baseAT,8,8.0000000000000000,0,PASS
2,4,1,fatigueMultiplier,1,1.0000000000000000,0,PASS
2,4,1,actualProcessing,7,7.0000000000000000,0,PASS
2,4,1,actualSetup,1,1.0000000000000000,0,PASS
2,4,1,actualAT,8,8.0000000000000000,0,PASS
2,4,1,end,18,18.000000000000000,0,PASS
2,4,1,fatigueAfter,0.18126924692201815,0.18126924692201815,0,PASS
2,4,1,machineIdle,0,0.0000000000000000,0,PASS
2,4,1,energy,48,48.000000000000000,0,PASS
2,4,1,cost,88,88.000000000000000,0,PASS
2,4,1,safeThresholdExceeded,false,false,,PASS
3,5,1,sequence,3,3,0,PASS
3,5,1,job,5,5,0,PASS
3,5,1,stage,1,1,0,PASS
3,5,1,factory,1,1,0,PASS
3,5,1,machine,2,2,0,PASS
3,5,1,worker,2,2,0,PASS
3,5,1,predecessorCompletion,0,0.0000000000000000,0,PASS
3,5,1,machineAvailableBefore,0,0.0000000000000000,0,PASS
3,5,1,workerAvailableBefore,18,18.000000000000000,0,PASS
3,5,1,start,18,18.000000000000000,0,PASS
3,5,1,recoveryDuration,0,0.0000000000000000,0,PASS
3,5,1,fatigueBeforeRecovery,0.18126924692201815,0.18126924692201815,0,PASS
3,5,1,fatigueAtStart,0.18126924692201815,0.18126924692201815,0,PASS
3,5,1,ST,5,5,0,PASS
3,5,1,SUT,1,1,0,PASS
3,5,1,machineSpeed,1.25,1.2500000000000000,0,PASS
3,5,1,machinePower,8,8,0,PASS
3,5,1,workerEfficiency,1,1.0000000000000000,0,PASS
3,5,1,workerCost,11,11,0,PASS
3,5,1,lambda,0.025000000000000001,0.025000000000000000,0,PASS
3,5,1,muCurrentStage,0.040000000000000001,0.040000000000000000,0,PASS
3,5,1,recoveryMu,0.040000000000000001,0.040000000000000000,0,PASS
3,5,1,r,0.29999999999999999,0.30000000000000000,0,PASS
3,5,1,delta,17.312340490667562,17.312340490667562,0,PASS
3,5,1,baseProcessing,4,4.0000000000000000,0,PASS
3,5,1,baseSetup,1,1.0000000000000000,0,PASS
3,5,1,baseAT,5,5.0000000000000000,0,PASS
3,5,1,fatigueMultiplier,1.0721013507906485,1.0721013507906485,0,PASS
3,5,1,actualProcessing,4.288405403162594,4.2884054031625940,0,PASS
3,5,1,actualSetup,1.0721013507906485,1.0721013507906485,0,PASS
3,5,1,actualAT,5.3605067539532421,5.3605067539532420,0,PASS
3,5,1,end,23.360506753953242,23.360506753953242,0,PASS
3,5,1,fatigueAfter,0.28395528929245051,0.28395528929245050,0,PASS
3,5,1,machineIdle,0,0.0000000000000000,0,PASS
3,5,1,energy,42.884054031625936,42.884054031625936,0,PASS
3,5,1,cost,58.965574293485659,58.965574293485660,0,PASS
3,5,1,safeThresholdExceeded,false,false,,PASS
4,3,2,sequence,4,4,0,PASS
4,3,2,job,3,3,0,PASS
4,3,2,stage,2,2,0,PASS
4,3,2,factory,1,1,0,PASS
4,3,2,machine,1,1,0,PASS
4,3,2,worker,4,4,0,PASS
4,3,2,predecessorCompletion,10,10.000000000000000,0,PASS
4,3,2,machineAvailableBefore,0,0.0000000000000000,0,PASS
4,3,2,workerAvailableBefore,0,0.0000000000000000,0,PASS
4,3,2,start,10,10.000000000000000,0,PASS
4,3,2,recoveryDuration,0,0.0000000000000000,0,PASS
4,3,2,fatigueBeforeRecovery,0,0.0000000000000000,0,PASS
4,3,2,fatigueAtStart,0,0.0000000000000000,0,PASS
4,3,2,ST,5,5,0,PASS
4,3,2,SUT,1,1,0,PASS
4,3,2,machineSpeed,1,1.0000000000000000,0,PASS
4,3,2,machinePower,7,7,0,PASS
4,3,2,workerEfficiency,1.2,1.2000000000000000,0,PASS
4,3,2,workerCost,12,12,0,PASS
4,3,2,lambda,0.021999999999999999,0.022000000000000000,0,PASS
4,3,2,muCurrentStage,0.050000000000000003,0.050000000000000000,0,PASS
4,3,2,recoveryMu,0.050000000000000003,0.050000000000000000,0,PASS
4,3,2,r,0.29999999999999999,0.30000000000000000,0,PASS
4,3,2,delta,19.67311419394041,19.673114193940410,0,PASS
4,3,2,baseProcessing,4.166666666666667,4.1666666666666670,0,PASS
4,3,2,baseSetup,0.83333333333333337,0.83333333333333340,0,PASS
4,3,2,baseAT,5,5.0000000000000000,0,PASS
4,3,2,fatigueMultiplier,1,1.0000000000000000,0,PASS
4,3,2,actualProcessing,4.166666666666667,4.1666666666666670,0,PASS
4,3,2,actualSetup,0.83333333333333337,0.83333333333333340,0,PASS
4,3,2,actualAT,5,5.0000000000000000,0,PASS
4,3,2,end,15,15.000000000000000,0,PASS
4,3,2,fatigueAfter,0.10416586470347174,0.10416586470347174,0,PASS
4,3,2,machineIdle,0,0.0000000000000000,0,PASS
4,3,2,energy,35,35.000000000000000,0,PASS
4,3,2,cost,60,60.000000000000000,0,PASS
4,3,2,safeThresholdExceeded,false,false,,PASS
5,4,2,sequence,5,5,0,PASS
5,4,2,job,4,4,0,PASS
5,4,2,stage,2,2,0,PASS
5,4,2,factory,1,1,0,PASS
5,4,2,machine,2,2,0,PASS
5,4,2,worker,4,4,0,PASS
5,4,2,predecessorCompletion,18,18.000000000000000,0,PASS
5,4,2,machineAvailableBefore,0,0.0000000000000000,0,PASS
5,4,2,workerAvailableBefore,15,15.000000000000000,0,PASS
5,4,2,start,18,18.000000000000000,0,PASS
5,4,2,recoveryDuration,3,3.0000000000000000,0,PASS
5,4,2,fatigueBeforeRecovery,0.10416586470347174,0.10416586470347174,0,PASS
5,4,2,fatigueAtStart,0.089656390621491514,0.089656390621491510,0,PASS
5,4,2,ST,9,9,0,PASS
5,4,2,SUT,2,2,0,PASS
5,4,2,machineSpeed,1.25,1.2500000000000000,0,PASS
5,4,2,machinePower,9,9,0,PASS
5,4,2,workerEfficiency,1.2,1.2000000000000000,0,PASS
5,4,2,workerCost,12,12,0,PASS
5,4,2,lambda,0.021999999999999999,0.022000000000000000,0,PASS
5,4,2,muCurrentStage,0.050000000000000003,0.050000000000000000,0,PASS
5,4,2,recoveryMu,0.050000000000000003,0.050000000000000000,0,PASS
5,4,2,r,0.29999999999999999,0.30000000000000000,0,PASS
5,4,2,delta,19.67311419394041,19.673114193940410,0,PASS
5,4,2,baseProcessing,6,6.0000000000000000,0,PASS
5,4,2,baseSetup,1.6666666666666667,1.6666666666666667,0,PASS
5,4,2,baseAT,7.666666666666667,7.6666666666666670,0,PASS
5,4,2,fatigueMultiplier,1.037161981317658,1.0371619813176580,0,PASS
5,4,2,actualProcessing,6.2229718879059481,6.2229718879059480,0,PASS
5,4,2,actualSetup,1.7286033021960967,1.7286033021960967,0,PASS
5,4,2,actualAT,7.9515751901020444,7.9515751901020440,0,PASS
5,4,2,end,25.951575190102044,25.951575190102044,0,PASS
5,4,2,fatigueAfter,0.23575572725951838,0.23575572725951838,0,PASS
5,4,2,machineIdle,0,0.0000000000000000,0,PASS
5,4,2,energy,71.564176710918403,71.564176710918400,0,PASS
5,4,2,cost,95.418902281224533,95.418902281224530,0,PASS
5,4,2,safeThresholdExceeded,false,false,,PASS
6,5,2,sequence,6,6,0,PASS
6,5,2,job,5,5,0,PASS
6,5,2,stage,2,2,0,PASS
6,5,2,factory,1,1,0,PASS
6,5,2,machine,1,1,0,PASS
6,5,2,worker,3,3,0,PASS
6,5,2,predecessorCompletion,23.360506753953242,23.360506753953242,0,PASS
6,5,2,machineAvailableBefore,15,15.000000000000000,0,PASS
6,5,2,workerAvailableBefore,0,0.0000000000000000,0,PASS
6,5,2,start,23.360506753953242,23.360506753953242,0,PASS
6,5,2,recoveryDuration,0,0.0000000000000000,0,PASS
6,5,2,fatigueBeforeRecovery,0,0.0000000000000000,0,PASS
6,5,2,fatigueAtStart,0,0.0000000000000000,0,PASS
6,5,2,ST,7,7,0,PASS
6,5,2,SUT,1,1,0,PASS
6,5,2,machineSpeed,1,1.0000000000000000,0,PASS
6,5,2,machinePower,7,7,0,PASS
6,5,2,workerEfficiency,1,1.0000000000000000,0,PASS
6,5,2,workerCost,10,10,0,PASS
6,5,2,lambda,0.017999999999999999,0.018000000000000000,0,PASS
6,5,2,muCurrentStage,0.059999999999999998,0.060000000000000000,0,PASS
6,5,2,recoveryMu,0.059999999999999998,0.060000000000000000,0,PASS
6,5,2,r,0.29999999999999999,0.30000000000000000,0,PASS
6,5,2,delta,24.044917348149394,24.044917348149394,0,PASS
6,5,2,baseProcessing,7,7.0000000000000000,0,PASS
6,5,2,baseSetup,1,1.0000000000000000,0,PASS
6,5,2,baseAT,8,8.0000000000000000,0,PASS
6,5,2,fatigueMultiplier,1,1.0000000000000000,0,PASS
6,5,2,actualProcessing,7,7.0000000000000000,0,PASS
6,5,2,actualSetup,1,1.0000000000000000,0,PASS
6,5,2,actualAT,8,8.0000000000000000,0,PASS
6,5,2,end,31.360506753953242,31.360506753953242,0,PASS
6,5,2,fatigueAfter,0.13411225194079499,0.13411225194079499,0,PASS
6,5,2,machineIdle,8.3605067539532421,8.3605067539532460,3.552713678800501e-15,PASS
6,5,2,energy,64.360506753953246,64.360506753953250,0,PASS
6,5,2,cost,163.60506753953243,163.60506753953243,0,PASS
6,5,2,safeThresholdExceeded,false,false,,PASS
7,1,1,sequence,7,7,0,PASS
7,1,1,job,1,1,0,PASS
7,1,1,stage,1,1,0,PASS
7,1,1,factory,2,2,0,PASS
7,1,1,machine,1,1,0,PASS
7,1,1,worker,1,1,0,PASS
7,1,1,predecessorCompletion,0,0.0000000000000000,0,PASS
7,1,1,machineAvailableBefore,0,0.0000000000000000,0,PASS
7,1,1,workerAvailableBefore,0,0.0000000000000000,0,PASS
7,1,1,start,0,0.0000000000000000,0,PASS
7,1,1,recoveryDuration,0,0.0000000000000000,0,PASS
7,1,1,fatigueBeforeRecovery,0,0.0000000000000000,0,PASS
7,1,1,fatigueAtStart,0,0.0000000000000000,0,PASS
7,1,1,ST,10,10,0,PASS
7,1,1,SUT,2,2,0,PASS
7,1,1,machineSpeed,1,1.0000000000000000,0,PASS
7,1,1,machinePower,6,6,0,PASS
7,1,1,workerEfficiency,1,1.0000000000000000,0,PASS
7,1,1,workerCost,10,10,0,PASS
7,1,1,lambda,0.021000000000000001,0.021000000000000000,0,PASS
7,1,1,muCurrentStage,0.050000000000000003,0.050000000000000000,0,PASS
7,1,1,recoveryMu,0.050000000000000003,0.050000000000000000,0,PASS
7,1,1,r,0.29999999999999999,0.30000000000000000,0,PASS
7,1,1,delta,20.609929155556618,20.609929155556618,0,PASS
7,1,1,baseProcessing,10,10.000000000000000,0,PASS
7,1,1,baseSetup,2,2.0000000000000000,0,PASS
7,1,1,baseAT,12,12.000000000000000,0,PASS
7,1,1,fatigueMultiplier,1,1.0000000000000000,0,PASS
7,1,1,actualProcessing,10,10.000000000000000,0,PASS
7,1,1,actualSetup,2,2.0000000000000000,0,PASS
7,1,1,actualAT,12,12.000000000000000,0,PASS
7,1,1,end,12,12.000000000000000,0,PASS
7,1,1,fatigueAfter,0.22275526193105386,0.22275526193105386,0,PASS
7,1,1,machineIdle,0,0.0000000000000000,0,PASS
7,1,1,energy,72,72.000000000000000,0,PASS
7,1,1,cost,120,120.00000000000000,0,PASS
7,1,1,safeThresholdExceeded,false,false,,PASS
8,2,1,sequence,8,8,0,PASS
8,2,1,job,2,2,0,PASS
8,2,1,stage,1,1,0,PASS
8,2,1,factory,2,2,0,PASS
8,2,1,machine,1,1,0,PASS
8,2,1,worker,1,1,0,PASS
8,2,1,predecessorCompletion,0,0.0000000000000000,0,PASS
8,2,1,machineAvailableBefore,12,12.000000000000000,0,PASS
8,2,1,workerAvailableBefore,12,12.000000000000000,0,PASS
8,2,1,start,12,12.000000000000000,0,PASS
8,2,1,recoveryDuration,0,0.0000000000000000,0,PASS
8,2,1,fatigueBeforeRecovery,0.22275526193105386,0.22275526193105386,0,PASS
8,2,1,fatigueAtStart,0.22275526193105386,0.22275526193105386,0,PASS
8,2,1,ST,6,6,0,PASS
8,2,1,SUT,1,1,0,PASS
8,2,1,machineSpeed,1,1.0000000000000000,0,PASS
8,2,1,machinePower,6,6,0,PASS
8,2,1,workerEfficiency,1,1.0000000000000000,0,PASS
8,2,1,workerCost,10,10,0,PASS
8,2,1,lambda,0.021000000000000001,0.021000000000000000,0,PASS
8,2,1,muCurrentStage,0.050000000000000003,0.050000000000000000,0,PASS
8,2,1,recoveryMu,0.050000000000000003,0.050000000000000000,0,PASS
8,2,1,r,0.29999999999999999,0.30000000000000000,0,PASS
8,2,1,delta,20.609929155556618,20.609929155556618,0,PASS
8,2,1,baseProcessing,6,6.0000000000000000,0,PASS
8,2,1,baseSetup,1,1.0000000000000000,0,PASS
8,2,1,baseAT,7,7.0000000000000000,0,PASS
8,2,1,fatigueMultiplier,1.0870407019286981,1.0870407019286980,0,PASS
8,2,1,actualProcessing,6.5222442115721879,6.5222442115721880,0,PASS
8,2,1,actualSetup,1.0870407019286981,1.0870407019286980,0,PASS
8,2,1,actualAT,7.6092849135008862,7.6092849135008860,0,PASS
8,2,1,end,19.609284913500886,19.609284913500886,0,PASS
8,2,1,fatigueAfter,0.33753992241299968,0.33753992241299970,0,PASS
8,2,1,machineIdle,0,0.0000000000000000,0,PASS
8,2,1,energy,45.655709481005317,45.655709481005320,0,PASS
8,2,1,cost,76.092849135008862,76.092849135008860,0,PASS
8,2,1,safeThresholdExceeded,false,false,,PASS
9,1,2,sequence,9,9,0,PASS
9,1,2,job,1,1,0,PASS
9,1,2,stage,2,2,0,PASS
9,1,2,factory,2,2,0,PASS
9,1,2,machine,1,1,0,PASS
9,1,2,worker,4,4,0,PASS
9,1,2,predecessorCompletion,12,12.000000000000000,0,PASS
9,1,2,machineAvailableBefore,0,0.0000000000000000,0,PASS
9,1,2,workerAvailableBefore,0,0.0000000000000000,0,PASS
9,1,2,start,12,12.000000000000000,0,PASS
9,1,2,recoveryDuration,0,0.0000000000000000,0,PASS
9,1,2,fatigueBeforeRecovery,0,0.0000000000000000,0,PASS
9,1,2,fatigueAtStart,0,0.0000000000000000,0,PASS
9,1,2,ST,6,6,0,PASS
9,1,2,SUT,1,1,0,PASS
9,1,2,machineSpeed,1.1000000000000001,1.1000000000000000,0,PASS
9,1,2,machinePower,7,7,0,PASS
9,1,2,workerEfficiency,1.1499999999999999,1.1500000000000000,0,PASS
9,1,2,workerCost,12,12,0,PASS
9,1,2,lambda,0.023,0.023000000000000000,0,PASS
9,1,2,muCurrentStage,0.050000000000000003,0.050000000000000000,0,PASS
9,1,2,recoveryMu,0.050000000000000003,0.050000000000000000,0,PASS
9,1,2,r,0.29999999999999999,0.30000000000000000,0,PASS
9,1,2,delta,18.817761402899524,18.817761402899524,0,PASS
9,1,2,baseProcessing,4.7430830039525693,4.7430830039525690,0,PASS
9,1,2,baseSetup,0.86956521739130443,0.86956521739130440,0,PASS
9,1,2,baseAT,5.612648221343874,5.6126482213438740,0,PASS
9,1,2,fatigueMultiplier,1,1.0000000000000000,0,PASS
9,1,2,actualProcessing,4.7430830039525693,4.7430830039525690,0,PASS
9,1,2,actualSetup,0.86956521739130443,0.86956521739130440,0,PASS
9,1,2,actualAT,5.612648221343874,5.6126482213438740,0,PASS
9,1,2,end,17.612648221343875,17.612648221343875,0,PASS
9,1,2,fatigueAfter,0.12110593754654357,0.12110593754654357,0,PASS
9,1,2,machineIdle,0,0.0000000000000000,0,PASS
9,1,2,energy,39.288537549407117,39.288537549407120,0,PASS
9,1,2,cost,67.351778656126484,67.351778656126480,0,PASS
9,1,2,safeThresholdExceeded,false,false,,PASS
10,2,2,sequence,10,10,0,PASS
10,2,2,job,2,2,0,PASS
10,2,2,stage,2,2,0,PASS
10,2,2,factory,2,2,0,PASS
10,2,2,machine,2,2,0,PASS
10,2,2,worker,4,4,0,PASS
10,2,2,predecessorCompletion,19.609284913500886,19.609284913500886,0,PASS
10,2,2,machineAvailableBefore,0,0.0000000000000000,0,PASS
10,2,2,workerAvailableBefore,17.612648221343875,17.612648221343875,0,PASS
10,2,2,start,19.609284913500886,19.609284913500886,0,PASS
10,2,2,recoveryDuration,1.9966366921570113,1.9966366921570113,0,PASS
10,2,2,fatigueBeforeRecovery,0.12110593754654357,0.12110593754654357,0,PASS
10,2,2,fatigueAtStart,0.10959961315073387,0.10959961315073388,1.3877787807814457e-17,PASS
10,2,2,ST,8,8,0,PASS
10,2,2,SUT,2,2,0,PASS
10,2,2,machineSpeed,1.25,1.2500000000000000,0,PASS
10,2,2,machinePower,8,8,0,PASS
10,2,2,workerEfficiency,1.1499999999999999,1.1500000000000000,0,PASS
10,2,2,workerCost,12,12,0,PASS
10,2,2,lambda,0.023,0.023000000000000000,0,PASS
10,2,2,muCurrentStage,0.050000000000000003,0.050000000000000000,0,PASS
10,2,2,recoveryMu,0.050000000000000003,0.050000000000000000,0,PASS
10,2,2,r,0.29999999999999999,0.30000000000000000,0,PASS
10,2,2,delta,18.817761402899524,18.817761402899524,0,PASS
10,2,2,baseProcessing,5.5652173913043477,5.5652173913043480,0,PASS
10,2,2,baseSetup,1.7391304347826089,1.7391304347826089,0,PASS
10,2,2,baseAT,7.304347826086957,7.3043478260869570,0,PASS
10,2,2,fatigueMultiplier,1.0450117569385144,1.0450117569385144,0,PASS
10,2,2,actualProcessing,5.8157176038317324,5.8157176038317320,0,PASS
10,2,2,actualSetup,1.8174117511974166,1.8174117511974166,0,PASS
10,2,2,actualAT,7.6331293550291495,7.6331293550291495,0,PASS
10,2,2,end,27.242414268530034,27.242414268530034,0,PASS
10,2,2,fatigueAfter,0.25296707589965572,0.25296707589965570,0,PASS
10,2,2,machineIdle,0,0.0000000000000000,0,PASS
10,2,2,energy,61.065034840233196,61.065034840233196,0,PASS
10,2,2,cost,91.597552260349801,91.597552260349800,0,PASS
10,2,2,safeThresholdExceeded,false,false,,PASS
