checkpointTargetFE,checkpointObservedFE,overshootFE,frontType,candidateFingerprint,Cmax,TEC,TWC
25000,25000,0,checkpoint-decision-front,763eee28c2080284e3c4e82355324c611a67a070aae5c9fa5280f733fe5d61ee,603.6484945273057,21927.31972337451,33949.00807639905
25000,25000,0,checkpoint-decision-front,a95683310200e4eac77fc156352054ea281cc7335c87a4ca327f7d5d1016faac,382.1527701022883,22841.86165455063,40412.59531448509
25000,25000,0,checkpoint-decision-front,e37955921fe9cc8465e4a2b2918e1597e3e445adb9254c9487c3815096cb9bad,355.72274539117615,22745.602818545194,41385.638108749496
25000,25000,0,checkpoint-decision-front,4c06ad0df92161f5fc489963b7158bae55fb5fbf66f9b5910101267407b6924a,816.483091175759,21662.869499094028,34559.79445981072
25000,25000,0,checkpoint-decision-front,bce26b51dc894bf8eb64f67e6e392e957fea39813768f8b1443218f92a630ba8,603.6527757387437,21893.857408648484,34089.83750859571
25000,25000,0,checkpoint-decision-front,bdb924befc194f7730b644fda3a0bafb4987b7a95064b4294b8498c2d07afa3c,355.91962496449605,22784.350169773705,41100.19614807819
25000,25000,0,checkpoint-decision-front,505b86ba3999b9083a4f37283a9fcf3ed7bbecae58701b450d0a32ff5b791362,603.6527758420322,21892.534789908295,34124.439160002425
25000,25000,0,checkpoint-decision-front,a46cfb81bb98f78c2ba1d24f7ee1aea60089e629ede2d35ed647aa41c3579010,340.1108752872946,22955.552166809604,42441.29362916062
25000,25000,0,checkpoint-decision-front,a9bed6fb4601fe0210cab488154d28c08714b297a5204120aaa346f3ef22b05e,824.3362667300618,21551.40654400168,35239.19588545916
25000,25000,0,checkpoint-decision-front,32429f6d1629294543f9751d9581d0bf01fd83b426c581a61a0bdb363ad90345,348.31059804354936,22885.776494643527,41357.264183773885
25000,25000,0,checkpoint-decision-front,2979c5d919552961479b0d3a975f3170dcf62ed3732a5fa350e79f809566ddb4,452.89402311048053,22856.943868219543,39152.74472975834
25000,25000,0,checkpoint-decision-front,050999fe2a36cf304fddba89087d2a059e9e8adef4cb981abd2980ee9411d1b7,829.0131123502719,21659.952156146705,34668.62576979208
25000,25000,0,checkpoint-decision-front,b4d8a7ec5ec58eadcdfdc30039c8789eb1ce6dab64784e414bbcd237e1ae2ce2,729.4218226450134,21810.082186521802,34109.685634866226
25000,25000,0,checkpoint-decision-front,ddafdb37db7d4327d1b804c1d649f4e407c689ed41bb6d2a9de14c792e1c7e43,365.545918912489,22882.567318681376,40838.22297589263
25000,25000,0,checkpoint-decision-front,db30e84292db1d44c028887245bb0c94d5dfa5b5813a06d1eedd7fbd8289035e,750.5895464365951,21793.56846039579,34288.42525593619
25000,25000,0,checkpoint-decision-front,575334fb9f6c634e88369a16067db7bd290543d4e5b2a0f148dc224e9586a7de,373.051373528064,22712.440914823615,40886.76351372543
25000,25000,0,checkpoint-decision-front,ca0f1526622df610b793d05ad68019bb7774f31a2c852c872a96bf4b14dc696c,722.9436204696651,21620.350865397748,34749.2272365156
25000,25000,0,checkpoint-decision-front,3077a86f02b66a3496c2642c4ea94e3ef0a2c810810659b121f49055412e2ed4,603.6527758420322,21898.12112695839,33811.03534519808
25000,25000,0,checkpoint-decision-front,83047640f71c44669128ee2084e347136ea74f0f2baef3112856d783b3ec8209,603.6527757387437,21903.620740729522,33817.85336346829
25000,25000,0,checkpoint-decision-front,719fafee89eaf4bd0036f56b360cfaadbc3d4c6beef1bbf8543f3a6bb80bda12,345.6886933402262,22946.658915632037,42071.16544571899
25000,25000,0,checkpoint-decision-front,20e4e60d30641a21ecaab594f468f75125bfe646f9d1b9a6367ead33cc4012b1,594.8711363588554,21936.430910362957,34021.52205063151
25000,25000,0,checkpoint-decision-front,33f36e21fe23953a61962d0c99b7e0b43b49aa0394b3d7952672d90bcbc28d4b,610.0040558281662,21953.39557718506,33576.33579316205
25000,25000,0,checkpoint-decision-front,1d2a7bf377ef6dcd58954e627759345bb17f379a9edc266140f988bb281bb3ca,611.1229197118163,21783.971850039223,34438.891067994206
25000,25000,0,checkpoint-decision-front,2d12f025ffffd8111be36b523ab53db2f5187d2a947838141002e76da1ac3d47,332.6455534177377,23167.769313726552,41346.550730995084
25000,25000,0,checkpoint-decision-front,2c9d2cec9a2558502843fcaf9ff7fd98f02c6c8582454ab02b5a60cde70a60c1,337.9982756170649,23114.97752212673,43363.455870061196
25000,25000,0,checkpoint-decision-front,68b1e1e7b8f614448d4e0bf7a0d0300e75aaaae0c61012ae3f26ccdf12def1ff,589.080620174638,22075.21243002333,33704.23269746535
25000,25000,0,checkpoint-decision-front,295fbfa6223d522c7befa56b5a6d9625e5d5cfdb72fd3424db3d1ef7cf7d4931,625.1706551139413,22139.254355771263,33506.02664271758
25000,25000,0,checkpoint-decision-front,7d10ea7ae99dbfdc711b117f7ef42633e3ef9c44384da2316fda94ea2e2ce392,388.51948817021935,23328.035568448708,39774.77394881144
