seed,runDir,arm,cycle,fe,cmaxGap,tecGap,twcGap,workingSize,archiveSize,firstRepLossFE,firstCmaxGapExpandFE,firstTecGapExpandFE,firstTwcGapExpandFE,firstNndGE90FE,firstNndGT100FE
20260903,A4_BUDGET_AWARE_CATA,A4,1,6775,0.0,1017.5496390431799,3467.1902383812703,100,35,13491,,,,,
20260903,A4_BUDGET_AWARE_CATA,A4,2,13491,1.7332375589352296,775.3390794304869,8487.949670540576,100,65,13491,13491,,13491,,
20260903,A4_BUDGET_AWARE_CATA,A4,3,20281,1.7332375589352296,0.0,3770.2278232457465,100,74,13491,13491,,13491,,
20260903,A4_BUDGET_AWARE_CATA,A4,4,27182,2.1172693152664124,1099.7767416738643,4792.62643247901,100,116,13491,13491,27182,13491,,
20260903,A4_BUDGET_AWARE_CATA,A4,5,34238,0.0,771.2792559186637,2061.595831345883,100,164,13491,13491,27182,13491,,
20260903,A4_BUDGET_AWARE_CATA,A4,6,41501,0.0,1226.6171757262782,3155.7593573514605,100,219,13491,13491,27182,13491,,
20260903,A4_BUDGET_AWARE_CATA,A4,7,49036,0.0,230.78134527645307,4365.711555006274,100,218,13491,13491,27182,13491,,
20260903,A4_BUDGET_AWARE_CATA,A4,8,56932,0.0,770.3205969350092,1150.3904166038847,100,232,13491,13491,27182,13491,,
20260903,A4_BUDGET_AWARE_CATA,A4,9,65313,0.0,396.98508462343307,2600.6681933977525,100,233,13491,13491,27182,13491,,
20260903,A4_BUDGET_AWARE_CATA,A4,10,74366,0.0,644.7598446532502,3711.263189292047,100,253,13491,13491,27182,13491,,
20260903,A4_BUDGET_AWARE_CATA,A4,11,84405,1.768834791286281,157.88240019557998,3424.4430418495904,100,277,13491,13491,27182,13491,,
20260903,A4_BUDGET_AWARE_CATA,A4,12,96025,5.570080503054214,381.745672021294,3424.4430418495904,100,287,13491,13491,27182,13491,,
