slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
56,740,"5,4,8,3,1,6,9,7,2,0","0,0,1,1,1,0,1,0,0,0","0,0,1,1,0,1,0,1,1,0","0,1,0,0,1,0,1,0,0,1",63.154013258304860,2056.4385161054520,2774.0842546379445,"[5, 4, 8, 3, 1, 6, 9, 7, 2, 0]|[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]|[0, 0, 1, 1, 0, 1, 0, 1, 1, 0]|[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
57,745,"3,4,8,5,1,2,0,9,6,7","0,1,1,1,1,1,0,1,1,0","0,1,1,1,0,0,0,0,0,0","0,0,0,0,1,1,1,1,1,0",72.304973504068240,1965.3072946439784,3319.8264683327590,"[3, 4, 8, 5, 1, 2, 0, 9, 6, 7]|[0, 1, 1, 1, 1, 1, 0, 1, 1, 0]|[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]|[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
58,753,"6,2,8,3,9,4,0,1,5,7","0,1,1,1,1,0,0,1,1,0","0,0,1,0,0,0,0,0,1,0","0,1,0,1,1,1,1,1,0,0",64.176639241985140,1962.2942070701833,3340.6032408366736,"[6, 2, 8, 3, 9, 4, 0, 1, 5, 7]|[0, 1, 1, 1, 1, 0, 0, 1, 1, 0]|[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]|[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
59,749,"3,6,1,2,5,4,0,8,9,7","0,1,1,1,0,1,0,1,0,0","1,0,0,0,0,1,0,1,1,1","0,1,1,1,1,0,1,0,0,0",54.825754267000400,2022.3891134661346,2948.3673273185186,"[3, 6, 1, 2, 5, 4, 0, 8, 9, 7]|[0, 1, 1, 1, 0, 1, 0, 1, 0, 0]|[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]|[0, 1, 1, 1, 1, 0, 1, 0, 0, 0]"
60,755,"3,1,8,4,9,6,7,0,5,2","0,1,1,1,1,0,1,0,0,0","0,0,1,1,0,1,0,0,0,0","0,1,0,0,1,0,1,1,1,0",56.609834253986804,2005.2171850912391,3028.1101272668140,"[3, 1, 8, 4, 9, 6, 7, 0, 5, 2]|[0, 1, 1, 1, 1, 0, 1, 0, 0, 0]|[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]|[0, 1, 0, 0, 1, 0, 1, 1, 1, 0]"
61,761,"6,4,8,2,9,5,0,1,3,7","0,1,1,1,1,0,0,1,1,0","0,1,1,0,0,0,0,0,0,0","0,0,0,1,1,1,1,1,1,0",68.050465510161740,1952.5736603220380,3358.9505694041472,"[6, 4, 8, 2, 9, 5, 0, 1, 3, 7]|[0, 1, 1, 1, 1, 0, 0, 1, 1, 0]|[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]|[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
62,757,"6,8,0,4,5,2,3,1,9,7","0,1,0,1,0,1,0,1,0,0","0,1,0,1,1,0,0,0,1,1","1,0,0,0,0,1,1,1,0,0",69.700688161944270,2035.5439287103575,2900.7443123392960,"[6, 8, 0, 4, 5, 2, 3, 1, 9, 7]|[0, 1, 0, 1, 0, 1, 0, 1, 0, 0]|[0, 1, 0, 1, 1, 0, 0, 0, 1, 1]|[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
63,764,"3,1,2,5,4,8,0,6,9,7","0,1,1,0,1,1,0,1,0,0","1,0,0,0,1,1,0,1,1,1","0,1,1,1,0,0,1,0,0,0",56.166242501320170,2029.6441611476441,2926.8332318995000,"[3, 1, 2, 5, 4, 8, 0, 6, 9, 7]|[0, 1, 1, 0, 1, 1, 0, 1, 0, 0]|[1, 0, 0, 0, 1, 1, 0, 1, 1, 1]|[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]"
64,765,"3,1,2,5,4,8,0,6,9,7","0,1,1,0,1,1,0,0,0,0","1,0,0,1,1,1,0,0,1,1","0,1,1,0,0,0,1,1,0,0",52.631068580926350,2072.0300799439015,2826.2002327712120,"[3, 1, 2, 5, 4, 8, 0, 6, 9, 7]|[0, 1, 1, 0, 1, 1, 0, 0, 0, 0]|[1, 0, 0, 1, 1, 1, 0, 0, 1, 1]|[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]"
65,786,"3,1,6,2,5,9,8,4,0,7","0,1,1,1,0,1,1,0,1,0","0,0,1,0,0,0,1,0,1,1","0,1,0,1,1,1,0,1,0,0",52.675196882814630,2006.7717809341640,2950.0763461499590,"[3, 1, 6, 2, 5, 9, 8, 4, 0, 7]|[0, 1, 1, 1, 0, 1, 1, 0, 1, 0]|[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]|[0, 1, 0, 1, 1, 1, 0, 1, 0, 0]"
66,776,"3,6,5,0,4,1,2,8,9,7","0,1,0,1,1,1,0,1,0,0","0,0,0,0,1,0,0,1,1,1","0,1,1,1,0,1,1,0,0,0",50.277946386851050,2020.4764150850528,2949.8609743450050,"[3, 6, 5, 0, 4, 1, 2, 8, 9, 7]|[0, 1, 0, 1, 1, 1, 0, 1, 0, 0]|[0, 0, 0, 0, 1, 0, 0, 1, 1, 1]|[0, 1, 1, 1, 0, 1, 1, 0, 0, 0]"
67,765,"3,1,4,6,7,8,0,2,9,5","0,1,1,0,0,1,1,0,0,0","1,0,1,0,1,1,0,0,1,1","0,1,0,1,0,0,1,1,0,0",57.242618812873190,2075.2347898027490,2777.5628507367232,"[3, 1, 4, 6, 7, 8, 0, 2, 9, 5]|[0, 1, 1, 0, 0, 1, 1, 0, 0, 0]|[1, 0, 1, 0, 1, 1, 0, 0, 1, 1]|[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
68,755,"3,1,8,4,9,5,0,7,6,2","0,1,1,1,1,0,0,1,0,0","0,0,1,1,0,0,0,0,1,0","0,1,0,0,1,1,1,1,0,0",56.620675116086570,2003.7874592667638,3014.3785638536756,"[3, 1, 8, 4, 9, 5, 0, 7, 6, 2]|[0, 1, 1, 1, 1, 0, 0, 1, 0, 0]|[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]|[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]"
69,789,"3,1,5,6,4,0,2,8,9,7","0,1,0,0,1,1,1,1,0,0","0,0,0,0,1,0,0,1,1,1","0,1,1,1,0,1,1,0,0,0",53.331341015749140,2018.5620902234339,2949.1127498570886,"[3, 1, 5, 6, 4, 0, 2, 8, 9, 7]|[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]|[0, 0, 0, 0, 1, 0, 0, 1, 1, 1]|[0, 1, 1, 1, 0, 1, 1, 0, 0, 0]"
70,813,"6,1,4,5,3,0,2,8,9,7","0,1,1,0,0,1,1,1,1,0","0,0,1,1,0,0,0,1,1,0","0,1,0,0,1,1,1,0,0,0",61.383769988839106,2000.1833706498956,3012.4353241443423,"[6, 1, 4, 5, 3, 0, 2, 8, 9, 7]|[0, 1, 1, 0, 0, 1, 1, 1, 1, 0]|[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]|[0, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
