campaign,comparison,instance,seed,arm,actualFE,utilizationRate,HV,IGD,Cmax,TEC,TWC,frontSize,sourceFile
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_5_3_1,20260904,A4,500000,1.0,0.6868045774788305,0.1148183074014313,766.00984589189,114068.7232532051,290056.8320370037,332,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_5_3_1,20260905,A2,500000,1.0,0.8218242348570441,0.05018443864028053,782.0194021551329,110254.658096021,286005.04205418704,307,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-A2-A4-MULTIINSTANCE-CONFIRMATION,A2_vs_A4,100_5_3_1,20260905,A4,500000,1.0,0.5871875276185462,0.13677827045880786,767.9445942918469,113745.08145537856,306064.7658793923,383,docs/evidence/V35-A2-A4-MULTIINSTANCE-CONFIRMATION/06-remote-analysis-import/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260808,A0,500000,1.0,0.5918270709149718,0.18303817402884623,697.1710801310456,49444.35952734234,85167.07165170865,305,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260808,A1,500000,1.0,0.5098857077975775,0.24782680190304143,697.7026308048271,50395.850469533725,89431.05408248544,299,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260808,A2,500000,1.0,0.7813633003515554,0.10603998057885969,727.4173204483659,47062.92849313914,87916.96100502672,202,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260808,A3,500000,1.0,0.6056051526512681,0.2799609824514417,738.6190646035155,45335.65212182398,94354.24613500392,323,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260808,A4,500000,1.0,0.6835754221284276,0.16253453692923922,738.8038407881089,48637.143393006685,87606.65401063845,550,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260809,A0,500000,1.0,0.4501601138717228,0.3013558259773047,677.5547092179258,48074.22850357389,89459.96704046015,190,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260809,A1,500000,1.0,0.6617862035202882,0.1520563570268116,774.818862861607,50095.28802070141,85103.00546282636,446,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260809,A2,500000,1.0,0.5284660828352501,0.25596894103557005,740.3806222845868,48547.285705169605,91356.32074919278,160,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260809,A3,495301,0.990602,0.5804714278025951,0.21467664171054915,715.3835078945181,45767.43957017598,89488.52300134802,201,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260809,A4,500000,1.0,0.5782465527555252,0.22572171502287477,711.7433472036624,46987.85698716533,91436.17890436953,267,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260810,A0,500000,1.0,0.3101645900937289,0.3960591745406916,751.0578156911621,52046.50819090664,94013.1022113045,183,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260810,A1,500000,1.0,0.3434184328856711,0.37324233301756365,733.4135189647635,50987.4470455955,94773.29745673119,203,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260810,A2,500000,1.0,0.6750103408091448,0.16344484708484838,741.4647580532434,46986.09544369837,82406.19976534467,239,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260810,A3,495590,0.99118,0.4927348484721741,0.2632140424557042,707.5337673131486,46120.629679465295,90560.43254278488,186,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260810,A4,500000,1.0,0.6893942040712353,0.14314672386057872,686.2055877014197,47663.660689219265,81353.73281144115,700,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260811,A0,500000,1.0,0.49797409206584076,0.2677381261547768,795.8125996185531,49458.693915817355,90347.53580505814,110,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260811,A1,500000,1.0,0.35500339754821564,0.3254072633382949,720.6781865137427,53393.7519890276,86017.5932558798,362,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260811,A2,500000,1.0,0.33268132126454963,0.4104431833038774,759.8176699082105,47275.05177409495,93175.92808292,74,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260811,A3,500000,1.0,0.44549592449099484,0.30392348576247874,705.9622045954211,47424.338565256316,91323.90729007524,209,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260811,A4,500000,1.0,0.62061059694133,0.18224977070212367,718.214776376112,47872.56879631388,87140.3147210323,219,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260812,A0,500000,1.0,0.3906038055588389,0.31514831381300595,734.693632116714,51641.87176029224,89254.75387815159,147,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260812,A1,500000,1.0,0.5614290587140508,0.20725118026360026,710.369506409898,49596.26726306436,87386.59656503343,208,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260812,A2,500000,1.0,0.7172173614369387,0.20028954138896543,719.263567293186,45378.88859756074,88732.51550982695,188,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260812,A3,500000,1.0,0.5143031748331718,0.28610720454588484,735.500767370874,45762.29986752793,91065.06894951288,169,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260812,A4,500000,1.0,0.8268858788505926,0.16325249002824146,722.1094675430551,47096.50418287895,87457.38785152473,873,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260813,A0,500000,1.0,0.4923814209107038,0.2556667502831663,773.2181274387916,49092.95440248148,88001.02240386324,246,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260813,A1,500000,1.0,0.5508582460331322,0.2079535852322098,684.4574346727613,49689.739998376994,84957.99197309138,241,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260813,A2,500000,1.0,0.6366008698463984,0.18632873346794784,710.0553420136339,47902.004685137996,90312.41743226186,181,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
