algorithm,seed,HV,IGD,Spacing,C_A_R,C_R_A,frontSize,minCmax,minTEC,minTWC
NSGA_II_F,20260825,0.8624493750405275,0.08729567349492827,0.026583864796074677,0.010416666666666666,1.0,183,205.6877545465997,8536.642044647331,12543.055982299178
SPEA2_F,20260825,0.8681233079017284,0.08926960721778719,0.03979444984979264,0.008333333333333333,1.0,100,214.91622209866603,8631.783652160617,12466.784435513884
ZHANGBO_A4,20260826,0.6920862620074086,0.1894178181590558,0.03815835982625544,0.0,1.0,134,201.32728636958814,8592.17812550038,12915.943427079565
HMOPSO_QGS_F,20260826,0.5215631962823096,0.3276001515671862,0.04388641445351358,0.0,1.0,89,183.73252301899586,8889.701376958037,12726.315144850014
HMOPSO_QLS_F,20260826,0.9593809473421049,0.058094303570106524,0.018575145631587842,0.16458333333333333,1.0,205,175.4200591334005,8546.589641847462,12473.54293201292
MOPSO_F,20260826,0.9240932213906802,0.06747273879484042,0.02478058394531887,0.03333333333333333,1.0,200,186.86576374630462,8508.512367230815,12416.898377336063
MOPSODS_DE_F,20260826,0.9213812183542436,0.07424093673467974,0.02831038927229067,0.025,1.0,211,178.91709150894835,8406.991238613477,12497.863046326605
MOHEADE_F,20260826,0.7182199139713631,0.16093476620844296,0.03518252170572857,0.0,1.0,113,215.57862303742192,8776.085131823682,12699.651687029122
NSGA_II_F,20260826,0.8628330103152881,0.08645000618132904,0.03162589596337545,0.004166666666666667,1.0,184,204.0118766046522,8534.524702461513,12564.249574669191
SPEA2_F,20260826,0.8184109043656035,0.10463578790412434,0.033250512671981064,0.0,1.0,100,207.19647957392155,8613.200526867666,12555.996590170624
