window,role,nEvaluated,minCmax,minTEC,minTWC
15,G4_BALANCED,6314,801.4013030927,114338.12222214916,310893.4056353692
16,G1_CMAX,15683,775.8178339026814,118269.59245662739,325665.5920599587
16,G2_TEC,2318,930.7542715848782,114177.61200935944,309085.25415603514
16,G3_TWC,2308,1001.5715045674862,114392.92991624083,309122.78330600564
16,G4_BALANCED,4691,812.3859110468353,114708.45677187869,309785.4848850353
17,G1_CMAX,13373,779.035515621961,117699.64715168008,325885.62387562357
17,G2_TEC,2894,1065.8550299132921,114061.53557825071,308724.42349976284
17,G3_TWC,2911,953.2377481192295,114335.74730419088,308597.4461317567
17,G4_BALANCED,5822,816.2967675909305,114378.77322073074,308897.7208172718
18,G1_CMAX,15929,771.9407552358342,117905.68532526659,315831.28389545274
18,G2_TEC,2088,1018.4716864177301,114254.4244532031,309129.28775463195
18,G3_TWC,2091,982.5224264023241,114180.48970142954,309735.6332640957
18,G4_BALANCED,4892,815.3073224644838,114342.67766904994,310542.7529019791
19,G1_CMAX,14304,777.9684214777894,116844.84398622782,322920.08118723345
19,G2_TEC,2085,1062.772957430346,114230.78398669482,308885.806066132
19,G3_TWC,2086,970.6576172725145,114239.69774476564,308441.01780393755
19,G4_BALANCED,6525,822.0505082948126,114677.21508046659,308771.5685533469
20,G1_CMAX,12044,783.2851039743197,118133.96454491696,322679.97842801875
20,G2_TEC,2086,1007.484448852563,113858.2152135067,308908.56950338674
20,G3_TWC,2082,979.2284610001664,114062.92571141268,308324.2498344345
20,G4_BALANCED,8788,811.9205154905874,114182.88337756487,311050.0844860665
