window,nominalFElo,nominalFEhi,source,nEvaluated,nUniqueObjectives,nTuplesExclusive,nexclND,exclusiveNDSharePct,WHVG,WHVGSharePct,hvAll,nndAll,emptyWindow,life_GENERATED,life_DESCENDANT,life_IMPROVING_DESCENDANT,life_MERGE_POOL,life_PDDR_SELECTED,life_WORKING_POPULATION,life_PERSONAL_ARCHIVE,life_QG_TEACHER,life_QP_TEACHER,life_QP_ACTION
3,50000,75000,INHERITED_LS,5782,2704,2701,18,7.346938775510204,0.0012266103561408004,0.15164722110450732,0.8088577866491103,245,False,5782,5782,4163,68,40,40,0,0,0,0
3,50000,75000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8088577866491103,245,False,0,0,0,0,0,0,0,0,0,0
4,75000,100000,GLOBAL_CFVF,18732,18451,18373,199,90.45454545454545,0.144720591615499,18.540632994457315,0.7805590653715163,220,False,18732,18732,2654,505,201,201,0,690,0,0
4,75000,100000,CATA,1085,1071,994,4,1.8181818181818181,1.2719939015859438e-05,0.0016295934004437235,0.7805590653715163,220,False,1085,1085,80,208,57,57,0,0,0,0
4,75000,100000,INHERITED_LS,5183,2330,2329,16,7.2727272727272725,0.0012344664024454,0.1581515681786158,0.7805590653715163,220,False,5183,5183,79,54,41,41,0,58,0,0
4,75000,100000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7805590653715163,220,False,0,0,0,0,0,0,0,0,0,0
5,100000,125000,GLOBAL_CFVF,18585,18052,17991,255,91.39784946236558,0.14173852168966772,17.470911117337863,0.8112829419011157,279,False,18585,18585,825,657,254,254,0,649,0,0
5,100000,125000,CATA,734,726,666,3,1.075268817204301,0.0008221744600076519,0.10134250549888472,0.8112829419011157,279,False,734,734,0,261,79,79,0,2,0,0
5,100000,125000,INHERITED_LS,5681,2619,2618,19,6.810035842293907,0.0005365008785946923,0.0661299345623471,0.8112829419011157,279,False,5681,5681,0,78,55,55,0,93,0,0
5,100000,125000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8112829419011157,279,False,0,0,0,0,0,0,0,0,0,0
6,125000,150000,GLOBAL_CFVF,17223,16549,16460,254,97.6923076923077,0.12675523232419716,16.368679507198472,0.7743766518762487,260,False,17223,17223,2135,680,284,284,0,563,0,0
6,125000,150000,CATA,938,922,833,0,0.0,0.0,0.0,0.7743766518762487,260,False,938,938,87,224,60,60,0,1,0,0
6,125000,150000,INHERITED_LS,6839,3216,3215,5,1.9230769230769231,0.0002174840851958404,0.028085051979407562,0.7743766518762487,260,False,6839,6839,129,81,48,48,0,128,0,0
6,125000,150000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7743766518762487,260,False,0,0,0,0,0,0,0,0,0,0
7,150000,175000,GLOBAL_CFVF,18826,18192,18131,175,88.38383838383838,0.09018075091417888,11.671211663221454,0.7726768523816442,198,False,18826,18826,1632,502,198,198,0,594,0,0
7,150000,175000,CATA,731,711,650,3,1.5151515151515151,4.2416826768310045e-05,0.0054895946005846345,0.7726768523816442,198,False,731,731,21,186,62,62,0,0,0,0
7,150000,175000,INHERITED_LS,5443,2553,2553,18,9.090909090909092,0.005950760488757534,0.7701486682842035,0.7726768523816442,198,False,5443,5443,596,61,40,40,0,158,0,0
7,150000,175000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7726768523816442,198,False,0,0,0,0,0,0,0,0,0,0
8,175000,200000,GLOBAL_CFVF,16203,15777,15684,180,83.33333333333333,0.11538318016782889,15.751709577665016,0.7325121098692382,216,False,16203,16203,1542,663,265,265,0,491,0,0
8,175000,200000,CATA,991,972,879,7,3.240740740740741,0.0004941124607173997,0.06745451086202581,0.7325121098692382,216,False,991,991,33,272,79,79,0,2,0,0
8,175000,200000,INHERITED_LS,7806,3793,3793,26,12.037037037037036,0.0015271728318198008,0.20848431189655262,0.7325121098692382,216,False,7806,7806,237,87,56,56,0,155,0,0
8,175000,200000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7325121098692382,216,False,0,0,0,0,0,0,0,0,0,0
9,200000,225000,GLOBAL_CFVF,17889,17530,17461,163,85.78947368421052,0.1261096258567983,16.782283503882425,0.7514449736689528,190,False,17889,17889,3300,499,203,203,0,590,0,0
9,200000,225000,CATA,714,700,633,5,2.6315789473684212,0.0007508580511270679,0.09992189414229238,0.7514449736689528,190,False,714,714,125,188,55,55,0,1,0,0
9,200000,225000,INHERITED_LS,6397,2962,2960,21,11.052631578947368,0.001627920553940565,0.21663869092000093,0.7514449736689528,190,False,6397,6397,2153,74,42,42,0,125,0,0
9,200000,225000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7514449736689528,190,False,0,0,0,0,0,0,0,0,0,0
10,225000,250000,GLOBAL_CFVF,16274,14950,14870,176,78.57142857142857,0.11941421108545691,14.790083890273163,0.8073937373944903,224,False,16274,16274,733,532,220,220,0,560,0,0
10,225000,250000,CATA,1011,990,910,5,2.232142857142857,0.00016866736346388134,0.020890348246715585,0.8073937373944903,224,False,1011,1011,48,153,37,37,0,1,0,0
10,225000,250000,INHERITED_LS,7715,3305,3305,42,18.75,0.001657729087204629,0.20531854663057256,0.8073937373944903,224,False,7715,7715,725,65,43,43,0,87,0,0
10,225000,250000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.8073937373944903,224,False,0,0,0,0,0,0,0,0,0,0
11,250000,275000,GLOBAL_CFVF,15000,13664,13603,137,83.03030303030303,0.12001417508562273,17.116187019630832,0.701173543780379,165,False,15000,15000,4447,519,214,214,0,452,0,0
11,250000,275000,CATA,670,654,594,2,1.2121212121212122,0.00025759180689122196,0.036737239899613874,0.701173543780379,165,False,670,670,161,151,35,35,0,1,0,0
11,250000,275000,INHERITED_LS,9330,4339,4337,22,13.333333333333334,0.005792942269518764,0.826178101114041,0.701173543780379,165,False,9330,9330,687,82,51,51,0,147,0,0
11,250000,275000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.701173543780379,165,False,0,0,0,0,0,0,0,0,0,0
12,275000,300000,GLOBAL_CFVF,15586,14936,14849,143,82.65895953757226,0.14868639384144877,20.707882090120506,0.7180183525981412,173,False,15586,15586,3047,683,284,284,0,463,0,0
12,275000,300000,CATA,718,700,613,2,1.1560693641618498,5.282461696953789e-07,7.357000942718611e-05,0.7180183525981412,173,False,718,718,80,216,42,42,0,2,0,0
12,275000,300000,INHERITED_LS,8696,4190,4188,27,15.606936416184972,0.0020910821866928497,0.29122962931606033,0.7180183525981412,173,False,8696,8696,621,117,74,74,0,159,0,0
12,275000,300000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7180183525981412,173,False,0,0,0,0,0,0,0,0,0,0
13,300000,325000,GLOBAL_CFVF,14720,13782,13722,178,80.9090909090909,0.11208650440143308,14.530951524144326,0.7713638313030808,220,False,14720,14720,2151,499,190,190,0,486,0,0
13,300000,325000,CATA,720,703,644,8,3.6363636363636362,0.00017794753214506187,0.023069208708483443,0.7713638313030808,220,False,720,720,60,158,55,55,0,0,0,0
13,300000,325000,INHERITED_LS,9560,4633,4632,32,14.545454545454545,0.004891468013239364,0.6341324048051497,0.7713638313030808,220,False,9560,9560,2678,95,55,55,0,106,0,0
13,300000,325000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7713638313030808,220,False,0,0,0,0,0,0,0,0,0,0
14,325000,350000,GLOBAL_CFVF,14694,14085,14024,151,78.23834196891191,0.12142938354508215,17.859676919581073,0.6799080638012485,193,False,14694,14694,3447,334,130,130,0,464,0,0
14,325000,350000,CATA,656,647,589,1,0.5181347150259067,2.210946172254147e-06,0.00032518310782977467,0.6799080638012485,193,False,656,656,111,105,32,32,0,0,0,0
14,325000,350000,INHERITED_LS,9650,4508,4505,40,20.72538860103627,0.002224558946200106,0.3271852570423979,0.6799080638012485,193,False,9650,9650,599,63,38,38,0,120,0,0
14,325000,350000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.6799080638012485,193,False,0,0,0,0,0,0,0,0,0,0
15,350000,375000,GLOBAL_CFVF,15000,14170,14099,148,81.76795580110497,0.11666271669297001,16.217083340097762,0.7193816190394365,181,False,15000,15000,2850,497,190,190,0,466,0,0
15,350000,375000,CATA,722,701,630,2,1.1049723756906078,5.7263709349775205e-05,0.00796012962163772,0.7193816190394365,181,False,722,722,58,151,51,51,0,0,0,0
15,350000,375000,INHERITED_LS,9278,4595,4595,30,16.574585635359117,0.011277458866970624,1.5676601359413374,0.7193816190394365,181,False,9278,9278,2254,103,59,59,0,134,0,0
15,350000,375000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7193816190394365,181,False,0,0,0,0,0,0,0,0,0,0
16,375000,400000,GLOBAL_CFVF,11164,10406,10362,149,78.01047120418848,0.11922160155897588,16.508454297675137,0.7221851265370477,191,False,11164,11164,2066,486,169,169,0,338,0,0
16,375000,400000,CATA,465,457,413,0,0.0,0.0,0.0,0.7221851265370477,191,False,465,465,54,172,66,66,0,0,0,0
16,375000,400000,INHERITED_LS,13371,6351,6351,42,21.98952879581152,0.003377735579894181,0.4677104880421412,0.7221851265370477,191,False,13371,13371,341,113,65,65,0,110,0,0
16,375000,400000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7221851265370477,191,False,0,0,0,0,0,0,0,0,0,0
17,400000,425000,GLOBAL_CFVF,13836,12833,12760,140,76.92307692307692,0.14480307928357816,19.984343620050467,0.7245826134529431,182,False,13836,13836,1318,323,125,125,0,423,0,0
17,400000,425000,CATA,688,677,604,6,3.2967032967032965,0.0001587202833200907,0.021905063739208606,0.7245826134529431,182,False,688,688,61,102,35,35,0,0,0,0
17,400000,425000,INHERITED_LS,10476,5099,5099,35,19.23076923076923,0.003344003572579357,0.4615075645610324,0.7245826134529431,182,False,10476,10476,2493,79,40,40,0,129,0,0
17,400000,425000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7245826134529431,182,False,0,0,0,0,0,0,0,0,0,0
18,425000,450000,GLOBAL_CFVF,10000,9294,9248,119,75.31645569620254,0.11443738717289853,16.190344304604103,0.7068249137873838,158,False,10000,10000,1064,323,125,125,0,306,0,0
18,425000,450000,CATA,491,480,434,0,0.0,0.0,0.0,0.7068249137873838,158,False,491,491,42,102,35,35,0,1,0,0
18,425000,450000,INHERITED_LS,14509,7404,7404,39,24.68354430379747,0.005054247850083793,0.715063624880112,0.7068249137873838,158,False,14509,14509,2914,87,40,40,0,93,0,0
18,425000,450000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7068249137873838,158,False,0,0,0,0,0,0,0,0,0,0
19,450000,475000,GLOBAL_CFVF,10000,9238,9176,123,61.19402985074627,0.08611689619429197,11.623762273195934,0.7408693860926172,201,False,10000,10000,1863,326,132,132,0,325,0,0
19,450000,475000,CATA,483,470,409,2,0.9950248756218906,1.5428757697666384e-05,0.0020825206152785495,0.7408693860926172,201,False,483,483,54,105,39,39,0,0,0,0
19,450000,475000,INHERITED_LS,14517,7776,7774,73,36.318407960199,0.011716416947938124,1.5814416370652191,0.7408693860926172,201,False,14517,14517,736,86,29,29,0,75,0,0
19,450000,475000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7408693860926172,201,False,0,0,0,0,0,0,0,0,0,0
20,475000,500000,GLOBAL_CFVF,10000,9524,9462,156,72.22222222222223,0.09577844648860312,13.142860082887161,0.7287488863501845,216,False,10000,10000,2683,486,179,179,0,331,0,0
20,475000,500000,CATA,497,483,421,1,0.46296296296296297,1.154417022375398e-05,0.0015841081118588055,0.7287488863501845,216,False,497,497,97,146,59,59,0,0,0,0
20,475000,500000,INHERITED_LS,14503,8712,8712,59,27.314814814814813,0.0072058192561086365,0.9887931756846673,0.7287488863501845,216,False,14503,14503,1273,130,62,62,0,69,0,0
20,475000,500000,PARENT_CARRYOVER,0,0,0,0,0.0,0.0,0.0,0.7287488863501845,216,False,0,0,0,0,0,0,0,0,0,0
