instance,arm,seed,checkpointTargetFE,observedFullFrontSize,decisionFrontSize,HV,IGD,Spacing,C_front_vs_PFref,C_PFref_vs_front,minCmax,minTEC,minTWC
50_2_3_1,C0,20260918,200000,588,480,0.9598398599945663,0.08691552153014111,0.022449070362202228,0.19246298788694483,1.0,319.64992596239597,20965.852597024743,33147.50510407954
50_2_3_1,C2,20260916,50000,208,154,0.9570455208863682,0.07774004555584069,0.036950975188375985,0.23880597014925373,1.0,332.07159407247696,21043.631233515232,33426.50861285427
50_2_3_1,C2,20260916,100000,336,235,1.0261816638852974,0.07396582907812328,0.028147167705051296,0.27105666156202146,1.0,332.07159407247696,20957.94923118049,33426.50861285427
50_2_3_1,C2,20260916,150000,326,226,0.9608698349636049,0.08910730086484063,0.02747987778524649,0.18266666666666667,1.0,332.07159407247696,20919.925139613,33246.95794103547
50_2_3_1,C2,20260916,200000,372,261,0.9779896282746318,0.1029451379548946,0.02459024205119553,0.11440107671601615,1.0,332.07159407247696,20885.186658168772,33150.67196814475
50_2_3_1,C2,20260917,50000,358,332,0.7766364454836232,0.15329332483674823,0.026271942389771454,0.007462686567164179,1.0,320.28039345869064,20959.12663149383,35266.423081772075
50_2_3_1,C2,20260917,100000,406,367,0.8579357678978102,0.13753944432721654,0.02399326945665037,0.0030627871362940277,1.0,320.28039345869064,20959.12663149383,35123.57921367908
50_2_3_1,C2,20260917,150000,437,309,0.8358273688685585,0.12549590807825703,0.025419439764180346,0.029333333333333333,1.0,316.925992038194,20932.84649159114,34977.23598824301
50_2_3_1,C2,20260917,200000,440,341,0.8933243493549325,0.12152280196430176,0.02246771296448451,0.05114401076716016,1.0,316.925992038194,20890.81514430385,34917.397666294455
50_2_3_1,C2,20260918,50000,304,217,0.7207449382349737,0.17523458995023855,0.04131371041828554,0.009950248756218905,1.0,319.8143971043498,21029.891988242452,35300.10164776421
50_2_3_1,C2,20260918,100000,307,245,0.9059180974410395,0.11327195161826319,0.02662803788674718,0.042879019908116385,1.0,319.56200726431143,20985.88793494649,34644.971765794835
50_2_3_1,C2,20260918,150000,244,206,0.887245879076666,0.10076476063411059,0.03118269364880929,0.068,1.0,319.56200726431143,20931.1004741725,34280.09815932237
50_2_3_1,C2,20260918,200000,307,247,0.8876021115054671,0.1112066704418553,0.02769503263368578,0.06864064602960969,1.0,319.56200726431143,20909.180944853786,34260.975443031755
50_2_3_1,C3,20260916,50000,295,217,0.9076909941114305,0.08714346157742961,0.028571201605311916,0.21393034825870647,1.0,326.29677396392685,21128.791150898123,33536.63698044657
50_2_3_1,C3,20260916,100000,417,306,0.9866852257915177,0.09582536367698684,0.023159934115364378,0.10413476263399694,1.0,326.29677396392685,21056.02999854065,33451.94195941542
50_2_3_1,C3,20260916,150000,497,365,0.918247097834538,0.10757960444068472,0.024961394828918643,0.12,1.0,326.29677396392685,20992.899172066253,32983.31236584637
50_2_3_1,C3,20260916,200000,431,325,0.9810617029723533,0.11597374808059857,0.023016272015617067,0.09152086137281291,1.0,326.29677396392685,20795.524741717058,32418.467921437696
50_2_3_1,C3,20260917,50000,304,292,0.7499869928051257,0.15831985370008334,0.026989778186083332,0.004975124378109453,1.0,322.4758058732434,20959.12663149383,35542.75413025185
50_2_3_1,C3,20260917,100000,498,452,0.8334760185286698,0.1589273856536664,0.020471868331605296,0.004594180704441042,1.0,319.6555599170748,20934.590415913997,35000.24651848449
50_2_3_1,C3,20260917,150000,546,439,0.7757388399240798,0.1553255131409436,0.020597873592058377,0.004,1.0,319.6555599170748,20851.31391939636,34966.35188867983
50_2_3_1,C3,20260917,200000,738,551,0.8661939267664757,0.14059886501899607,0.016909185891400235,0.08075370121130551,1.0,319.6555599170748,20792.969342530618,34912.398889558775
50_2_3_1,C3,20260918,50000,398,307,0.7676948684266064,0.17717524923151184,0.030885204160262685,0.01990049751243781,1.0,324.3558332150043,21001.712190211358,34888.05619782027
50_2_3_1,C3,20260918,100000,348,252,0.9311216434742451,0.13240900525631402,0.027657806193284687,0.026033690658499236,1.0,322.29706473941036,21001.712190211358,34035.743188876426
50_2_3_1,C3,20260918,150000,344,252,0.9130118301844058,0.0995365379934756,0.02681956965636222,0.076,1.0,317.50007997554223,20975.123861858923,33878.68570565411
50_2_3_1,C3,20260918,200000,444,324,0.9684749007942683,0.08004273723181914,0.019547288830400456,0.17765814266487215,1.0,317.50007997554223,20956.334626665583,33435.7467048643
100_5_3_1,C0,20260916,50000,271,232,0.7255878895663816,0.09150282464872796,0.02533502095199911,0.10967741935483871,1.0,776.6231494081535,115692.16552171274,313453.0213620926
100_5_3_1,C0,20260916,100000,508,233,0.6990333796226768,0.08956212871668685,0.019828050798771642,0.24536082474226803,1.0,769.1588166187895,114278.26069797436,309016.7467368478
100_5_3_1,C0,20260916,150000,400,253,0.6951214730167714,0.10718891849278318,0.017787381907464726,0.18440779610194902,1.0,769.0664179985137,113685.96376480072,307483.70549198345
100_5_3_1,C0,20260916,200000,624,291,0.6205242336402337,0.13985609999008783,0.017945404657735562,0.1668711656441718,1.0,768.943026654921,113338.36092202316,307334.3185981078
100_5_3_1,C0,20260917,50000,262,200,0.7645147951734207,0.0633550966481958,0.022673077735453143,0.2032258064516129,1.0,787.5552864127941,115377.8637620947,309915.4927225806
100_5_3_1,C0,20260917,100000,377,302,0.708699377615996,0.09601515378011273,0.016968404221676718,0.06391752577319587,1.0,770.9509784890686,114039.14582788134,298822.38547512144
100_5_3_1,C0,20260917,150000,379,342,0.69871152858484,0.0863572217149725,0.019380965780666358,0.025487256371814093,1.0,767.647487981021,113817.72829739106,298354.00212075154
100_5_3_1,C0,20260917,200000,526,373,0.667934082310748,0.08641830809588083,0.013094060053301793,0.04785276073619632,1.0,767.647487981021,113544.42912053943,294789.7378452943
100_5_3_1,C0,20260918,50000,186,151,0.7039206450963043,0.1208508945696119,0.01745861838973673,0.1032258064516129,1.0,772.1253203135598,118611.53468717364,306792.7515478089
100_5_3_1,C0,20260918,100000,385,266,0.6494444680476681,0.11752980878505882,0.015475774284981068,0.06804123711340206,1.0,768.9069476723255,116466.36696531714,300747.55748978304
100_5_3_1,C0,20260918,150000,444,318,0.695773794913905,0.09680185491404389,0.013374314129942107,0.07496251874062969,1.0,767.8722026444482,114460.7140637986,296019.224646196
100_5_3_1,C0,20260918,200000,477,356,0.6363240735478066,0.09506536093907665,0.01398360607316437,0.05766871165644172,1.0,767.8722026444482,113881.3178313587,295614.3296539285
100_5_3_1,C2,20260916,50000,252,166,0.6945396563785793,0.1144234419150956,0.022300511196754347,0.2645161290322581,1.0,776.6231494081535,116277.22439768384,317171.1653985516
100_5_3_1,C2,20260916,100000,373,245,0.657176177154591,0.0994786970455161,0.020386284346073716,0.14845360824742268,1.0,776.6231494081535,114184.72981799922,313246.861616598
100_5_3_1,C2,20260916,150000,424,332,0.7223738584645504,0.07077424203561175,0.017739911580819893,0.11244377811094453,1.0,776.6231494081535,112788.13875398564,303849.06173771457
100_5_3_1,C2,20260916,200000,466,368,0.7446870079351491,0.057399729113516436,0.020241592315648236,0.24294478527607363,1.0,776.6231494081535,110709.24116905447,295389.3449172095
100_5_3_1,C2,20260917,50000,253,185,0.781161119721801,0.05819497801120863,0.020975602629265556,0.36451612903225805,1.0,787.8554821866366,115593.47407163549,309915.4927225806
100_5_3_1,C2,20260917,100000,368,283,0.6720749488603608,0.10720615751847187,0.01875340352240617,0.01443298969072165,1.0,782.2590619204798,114287.27886425497,305862.9763325523
100_5_3_1,C2,20260917,150000,393,284,0.6538797692825322,0.1060144585637041,0.018332361337486457,0.05847076461769116,1.0,776.3645821733652,113702.09265156425,304418.3886401864
100_5_3_1,C2,20260917,200000,431,279,0.6074197228416042,0.11567423366102773,0.017404680058726966,0.05644171779141104,1.0,776.3645821733652,113403.30845845398,302366.16489491385
100_5_3_1,C2,20260918,50000,330,208,0.6494705678856506,0.1183101186175468,0.018697375555038583,0.00967741935483871,1.0,775.0179016105723,118807.23427483332,309388.88584087323
100_5_3_1,C2,20260918,100000,467,288,0.5969368822637935,0.1434709994035874,0.01534218556766898,0.002061855670103093,1.0,775.0179016105723,117299.15510556631,301963.3450821152
100_5_3_1,C2,20260918,150000,475,340,0.6365070572207974,0.13306388990344364,0.015338609563312485,0.01199400299850075,1.0,763.4916650214194,115716.9549376819,294846.47765416524
100_5_3_1,C2,20260918,200000,448,320,0.5970688635765017,0.12600306978766107,0.015567800080353631,0.053987730061349694,1.0,763.4916650214194,115127.5394518039,293287.34174557996
100_5_3_1,C3,20260916,50000,252,167,0.6945396563785793,0.1144234419150956,0.022300511196754347,0.2645161290322581,1.0,776.6231494081535,116277.22439768384,317171.1653985516
100_5_3_1,C3,20260916,100000,348,260,0.6302960920456314,0.12250201533588038,0.020476830605117437,0.177319587628866,1.0,768.8947923180799,114647.29522583105,312375.09228227555
100_5_3_1,C3,20260916,150000,318,259,0.629753518415662,0.13035863056640346,0.02044793362021881,0.15592203898050974,1.0,768.8947923180799,114647.29522583105,310945.39786437334
100_5_3_1,C3,20260916,200000,486,346,0.5851580034251628,0.13937636454017222,0.016064201082341627,0.1411042944785276,1.0,768.8947923180799,114043.1996281387,308958.0799081018
100_5_3_1,C3,20260917,50000,255,188,0.7813264307818553,0.05791790490124992,0.02024333079652755,0.3741935483870968,1.0,787.8554821866366,115593.47407163549,309915.4927225806
100_5_3_1,C3,20260917,100000,341,242,0.7821133764470668,0.08469370641480231,0.02384809280833567,0.23917525773195877,1.0,777.4933747940527,113081.11565841487,298230.18471958494
100_5_3_1,C3,20260917,150000,440,321,0.7524326261306573,0.07941879411617504,0.021319116475864125,0.3193403298350825,1.0,759.1546023570241,112793.48046997044,295666.9948461059
100_5_3_1,C3,20260917,200000,555,373,0.7035066433324619,0.07868593426336741,0.018178706121614895,0.20245398773006135,1.0,759.1546023570241,112441.64222799272,292362.31830529927
100_5_3_1,C3,20260918,50000,237,188,0.663841362613707,0.12119980566043158,0.01806259296275691,0.08709677419354839,1.0,777.0245812440687,118248.78849216108,309849.38417334587
100_5_3_1,C3,20260918,100000,213,181,0.5901296023170257,0.13566135300339435,0.016759005348277824,0.04742268041237113,1.0,772.4938947025785,117753.98289149182,304797.708601531
100_5_3_1,C3,20260918,150000,472,302,0.5832233087301334,0.15553119649815977,0.012993118630614526,0.05997001499250375,1.0,763.5005690300541,117161.15804992933,303489.0231206571
100_5_3_1,C3,20260918,200000,642,405,0.5217836071451163,0.16512702668555174,0.013914063503429587,0.03190184049079755,1.0,763.5005690300541,116478.49305451754,303019.0543307296
