generatedByRunId,sourceJarSha256,configurationHash,instanceHash,seed,arm,telemetryMode,nominalCheckpointFE,actualSnapshotFE,overshootFE,generation,formalOuterCycle,qRound,frontType,unobservableReason,solutionFingerprint,Cmax,TEC,TWC,atomicBoundary
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,observedFullFront,NONE,ddc038ffd40ebf506da782d2bf65efb88bd97bc6fd2bece51df846b956fe9d92,864.3811484756039,130470.52779790646,375965.3621798239,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,observedFullFront,NONE,748d122a54b3a62572c4358a40d3fedb5c4306347ddff213389d21f21c47f9f4,872.7250978613966,130049.77624745815,371720.86653283355,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,observedFullFront,NONE,5954f9cc99417a3254f50183d50994146f28b3abd13b2a3a1ba02c3822e54677,875.6827700460608,129285.89972340318,372622.7720766802,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,observedFullFront,NONE,8985b0d8aa0f6f8e9b047c60d0b63b680abbecfe628bf712903f68597ee1421e,887.6162853443097,129009.81508091203,381668.7167072261,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,observedFullFront,NONE,1d37f95d1510b673935c79cb71a1d7b11cfe594a393af9fda1d2c3c54fb41288,888.0912942134233,128521.39949333086,371470.24363101705,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,observedFullFront,NONE,620ca90e94289d6f7690f639c6025bddce8278be76a5e22acb500981cd829ffb,895.244968370127,129209.28711168165,371252.8132469349,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,observedFullFront,NONE,daa5e7a596b4b39e9d00da9aaa31814462ec38b2213c2443303810730e7c37ef,896.6226443008475,128724.26407679394,357949.66374601977,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,observedFullFront,NONE,abbda146f901846ad2a9b2352fdc1ea5451366b4d279a930d798919495486659,901.3891660351064,128012.90820051121,390500.2983995684,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,observedFullFront,NONE,e9f891755085ebde7a6288eadeebbc77d29ff46abaeb99e53497d08c36bbb4e1,916.1471249728231,127597.60320609537,381023.7805063418,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
A4-2k-effective-5100-ON-final,723D24ED3021A01FACDA0231E3B142238E740FB18D025A4341748F2AF8D22E2F,abc6209eca696ea065f4a36b016b425f09a6de18f04d337a8ab528a676b05705,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,ON,2000,2000,0,1,1,18,observedFullFront,NONE,80ab67dce3b9d2092a63b0b4b6cd1213a535bd7dbba04366cb0593d64b2d9a12,916.1798506490937,127768.75843255929,355162.6990718625,COMPLETE_QG_QP_GLOBAL_OFFSPRING_BATCH
