algorithm,instance,seed,cycle,fe,pool,target,nLT1,nEq1,nGt1,nND,selLT1,selEq1,selGt1,rejLT1,rejEq1,rejGt1,bpLT1,bpEq1,bpGt1
BASE,20_2_3_1,20260824,23,156214,275,100,106,0,169,106,100,0,0,6,0,169,100,0,0
BASE,20_2_3_1,20260824,24,163271,289,100,108,0,181,108,100,0,0,8,0,181,100,0,0
BASE,20_2_3_1,20260824,25,170366,285,100,103,0,182,103,100,0,0,3,0,182,100,0,0
BASE,20_2_3_1,20260824,26,177500,292,100,110,0,182,110,100,0,0,10,0,182,100,0,0
BASE,20_2_3_1,20260824,27,184676,274,100,111,0,163,111,100,0,0,11,0,163,100,0,0
BASE,20_2_3_1,20260824,28,191896,277,100,115,0,162,115,100,0,0,15,0,162,100,0,0
BASE,20_2_3_1,20260824,29,199163,293,100,115,0,178,115,100,0,0,15,0,178,100,0,0
BASE,20_2_3_1,20260824,30,206480,284,100,110,0,174,110,100,0,0,10,0,174,100,0,0
BASE,20_2_3_1,20260824,31,213849,280,100,108,2,170,110,100,0,0,8,2,170,100,0,0
BASE,20_2_3_1,20260824,32,221274,278,100,109,0,169,109,100,0,0,9,0,169,100,0,0
BASE,20_2_3_1,20260824,33,228758,278,100,100,0,178,100,100,0,0,0,0,178,100,0,0
BASE,20_2_3_1,20260824,34,236304,275,100,107,0,168,107,100,0,0,7,0,168,100,0,0
BASE,20_2_3_1,20260824,35,243916,267,100,101,0,166,101,100,0,0,1,0,166,100,0,0
BASE,20_2_3_1,20260824,36,251598,288,100,111,0,177,111,100,0,0,11,0,177,100,0,0
BASE,20_2_3_1,20260824,37,259354,282,100,110,0,172,110,100,0,0,10,0,172,100,0,0
BASE,20_2_3_1,20260824,38,267188,272,100,108,0,164,108,100,0,0,8,0,164,100,0,0
BASE,20_2_3_1,20260824,39,275106,291,100,109,0,182,109,100,0,0,9,0,182,100,0,0
BASE,20_2_3_1,20260824,40,283112,293,100,104,0,189,104,100,0,0,4,0,189,100,0,0
BASE,20_2_3_1,20260824,41,291213,291,100,110,0,181,110,100,0,0,10,0,181,100,0,0
BASE,20_2_3_1,20260824,42,299414,301,100,107,0,194,107,100,0,0,7,0,194,100,0,0
BASE,20_2_3_1,20260824,43,307723,275,100,105,0,170,105,100,0,0,5,0,170,100,0,0
BASE,20_2_3_1,20260824,44,316147,279,100,106,0,173,106,100,0,0,6,0,173,100,0,0
BASE,20_2_3_1,20260824,45,324694,287,100,112,0,175,112,100,0,0,12,0,175,100,0,0
BASE,20_2_3_1,20260824,46,333373,278,100,108,0,170,108,100,0,0,8,0,170,100,0,0
BASE,20_2_3_1,20260824,47,342194,300,100,116,0,184,116,100,0,0,16,0,184,100,0,0
BASE,20_2_3_1,20260824,48,351168,294,100,108,0,186,108,100,0,0,8,0,186,100,0,0
BASE,20_2_3_1,20260824,49,360308,317,100,110,0,207,110,100,0,0,10,0,207,100,0,0
BASE,20_2_3_1,20260824,50,369628,299,100,112,0,187,112,100,0,0,12,0,187,100,0,0
BASE,20_2_3_1,20260824,51,379143,293,100,100,2,191,102,100,0,0,0,2,191,100,0,0
BASE,20_2_3_1,20260824,52,388872,277,100,100,2,175,102,100,0,0,0,2,175,99,1,0
BASE,20_2_3_1,20260824,53,398836,302,100,104,0,198,104,100,0,0,4,0,198,100,0,0
BASE,20_2_3_1,20260824,54,409059,294,100,107,0,187,107,100,0,0,7,0,187,100,0,0
BASE,20_2_3_1,20260824,55,419570,283,100,113,2,168,115,100,0,0,13,2,168,99,1,0
BASE,20_2_3_1,20260824,56,430402,314,100,112,0,202,112,100,0,0,12,0,202,100,0,0
BASE,20_2_3_1,20260824,57,441595,287,100,106,0,181,106,100,0,0,6,0,181,100,0,0
BASE,20_2_3_1,20260824,58,453199,301,100,113,0,188,113,100,0,0,13,0,188,100,0,0
BASE,20_2_3_1,20260824,59,465273,292,100,108,2,182,110,100,0,0,8,2,182,99,1,0
BASE,20_2_3_1,20260824,60,477894,294,100,114,0,180,114,100,0,0,14,0,180,100,0,0
BASE,20_2_3_1,20260824,61,491160,287,100,110,2,175,112,100,0,0,10,2,175,100,0,0
BASE,20_2_3_1,20260824,62,500000,283,100,125,0,158,125,100,0,0,25,0,158,100,0,0
QGS,100_2_3_1,20260822,1,31645,300,100,33,0,267,33,33,0,67,0,0,200,33,0,67
QGS,100_2_3_1,20260822,2,63415,300,100,40,0,260,40,40,0,60,0,0,200,40,0,60
QGS,100_2_3_1,20260822,3,95076,300,100,47,0,253,47,47,0,53,0,0,200,47,0,53
QGS,100_2_3_1,20260822,4,127028,300,100,52,0,248,52,52,0,48,0,0,200,52,0,48
QGS,100_2_3_1,20260822,5,158866,300,100,69,0,231,69,69,0,31,0,0,200,69,0,31
QGS,100_2_3_1,20260822,6,190741,300,100,70,0,230,70,70,0,30,0,0,200,70,0,30
QGS,100_2_3_1,20260822,7,222533,300,100,76,0,224,76,76,0,24,0,0,200,76,0,24
QGS,100_2_3_1,20260822,8,254363,299,100,92,0,207,92,92,0,8,0,0,199,92,0,8
QGS,100_2_3_1,20260822,9,286393,293,100,86,0,207,86,86,0,14,0,0,193,86,0,14
QGS,100_2_3_1,20260822,10,318234,297,100,100,5,192,105,100,0,0,0,5,192,98,2,0
QGS,100_2_3_1,20260822,11,350180,295,100,86,2,207,88,86,2,12,0,0,195,86,2,12
QGS,100_2_3_1,20260822,12,382207,295,100,98,2,195,100,98,2,0,0,0,195,98,2,0
QGS,100_2_3_1,20260822,13,414110,294,100,101,2,191,103,100,0,0,1,2,191,100,0,0
QGS,100_2_3_1,20260822,14,446054,297,100,95,3,199,98,95,3,2,0,0,197,95,3,2
QGS,100_2_3_1,20260822,15,478011,296,100,55,5,236,60,55,5,40,0,0,196,55,5,40
QGS,100_2_3_1,20260822,16,500000,264,100,86,4,174,90,86,4,10,0,0,164,86,4,10
QGS,100_2_3_1,20260823,1,31810,300,100,34,0,266,34,34,0,66,0,0,200,34,0,66
QGS,100_2_3_1,20260823,2,63585,300,100,52,6,242,58,52,6,42,0,0,200,52,6,42
QGS,100_2_3_1,20260823,3,95602,300,100,85,2,213,87,85,2,13,0,0,200,85,2,13
QGS,100_2_3_1,20260823,4,127340,300,100,98,0,202,98,98,0,2,0,0,200,98,0,2
QGS,100_2_3_1,20260823,5,159073,300,100,100,9,191,109,100,0,0,0,9,191,99,1,0
QGS,100_2_3_1,20260823,6,190868,300,100,56,0,244,56,56,0,44,0,0,200,56,0,44
QGS,100_2_3_1,20260823,7,222845,300,100,77,3,220,80,77,3,20,0,0,200,77,3,20
QGS,100_2_3_1,20260823,8,254704,300,100,91,0,209,91,91,0,9,0,0,200,91,0,9
QGS,100_2_3_1,20260823,9,286513,300,100,112,4,184,116,100,0,0,12,4,184,99,1,0
QGS,100_2_3_1,20260823,10,318503,300,100,97,6,197,103,97,3,0,0,3,197,97,3,0
QGS,100_2_3_1,20260823,11,350421,300,100,108,8,184,116,100,0,0,8,8,184,98,2,0
QGS,100_2_3_1,20260823,12,382163,300,100,100,2,198,102,100,0,0,0,2,198,99,1,0
QGS,100_2_3_1,20260823,13,414137,300,100,99,5,196,104,99,1,0,0,4,196,98,2,0
QGS,100_2_3_1,20260823,14,446061,300,100,85,4,211,89,85,4,11,0,0,200,85,4,11
QGS,100_2_3_1,20260823,15,477861,300,100,95,2,203,97,95,2,3,0,0,200,95,2,3
QGS,100_2_3_1,20260823,16,500000,264,100,98,7,159,105,98,2,0,0,5,159,98,2,0
QGS,100_2_3_1,20260824,1,31896,300,100,29,0,271,29,29,0,71,0,0,200,29,0,71
QGS,100_2_3_1,20260824,2,63796,300,100,29,0,271,29,29,0,71,0,0,200,29,0,71
QGS,100_2_3_1,20260824,3,95659,300,100,28,0,272,28,28,0,72,0,0,200,28,0,72
QGS,100_2_3_1,20260824,4,127560,300,100,51,1,248,52,51,1,48,0,0,200,51,1,48
QGS,100_2_3_1,20260824,5,159448,300,100,45,2,253,47,45,2,53,0,0,200,45,2,53
QGS,100_2_3_1,20260824,6,191458,300,100,56,2,242,58,56,2,42,0,0,200,56,2,42
QGS,100_2_3_1,20260824,7,223462,300,100,58,0,242,58,58,0,42,0,0,200,58,0,42
QGS,100_2_3_1,20260824,8,255401,299,100,47,0,252,47,47,0,53,0,0,199,47,0,53
QGS,100_2_3_1,20260824,9,287499,300,100,64,0,236,64,64,0,36,0,0,200,64,0,36
QGS,100_2_3_1,20260824,10,319464,299,100,83,2,214,85,83,2,15,0,0,199,83,2,15
QGS,100_2_3_1,20260824,11,351521,300,100,74,3,223,77,74,3,23,0,0,200,74,3,23
QGS,100_2_3_1,20260824,12,383606,300,100,88,0,212,88,88,0,12,0,0,200,88,0,12
QGS,100_2_3_1,20260824,13,415640,300,100,77,6,217,83,77,6,17,0,0,200,77,6,17
QGS,100_2_3_1,20260824,14,447753,300,100,91,6,203,97,91,6,3,0,0,200,91,6,3
QGS,100_2_3_1,20260824,15,479822,300,100,78,11,211,89,78,11,11,0,0,200,78,11,11
QGS,100_2_3_1,20260824,16,500000,257,100,76,2,179,78,76,2,22,0,0,157,76,2,22
QGS,20_2_3_1,20260822,1,29322,300,100,36,0,264,36,36,0,64,0,0,200,36,0,64
QGS,20_2_3_1,20260822,2,57934,299,100,64,2,233,66,64,2,34,0,0,199,64,2,34
QGS,20_2_3_1,20260822,3,86740,300,100,70,0,230,70,70,0,30,0,0,200,70,0,30
QGS,20_2_3_1,20260822,4,115596,300,100,79,0,221,79,79,0,21,0,0,200,79,0,21
QGS,20_2_3_1,20260822,5,144058,300,100,102,0,198,102,100,0,0,2,0,198,100,0,0
QGS,20_2_3_1,20260822,6,171791,300,100,83,0,217,83,83,0,17,0,0,200,83,0,17
QGS,20_2_3_1,20260822,7,199536,300,100,74,0,226,74,74,0,26,0,0,200,74,0,26
QGS,20_2_3_1,20260822,8,227807,300,100,89,0,211,89,89,0,11,0,0,200,89,0,11
QGS,20_2_3_1,20260822,9,256173,300,100,108,0,192,108,100,0,0,8,0,192,100,0,0
QGS,20_2_3_1,20260822,10,283916,300,100,98,1,201,99,98,1,1,0,0,200,98,1,1
QGS,20_2_3_1,20260822,11,311923,300,100,87,0,213,87,87,0,13,0,0,200,87,0,13
QGS,20_2_3_1,20260822,12,339862,300,100,118,2,180,120,100,0,0,18,2,180,100,0,0
QGS,20_2_3_1,20260822,13,367734,300,100,114,0,186,114,100,0,0,14,0,186,100,0,0
QGS,20_2_3_1,20260822,14,395779,300,100,118,3,179,121,100,0,0,18,3,179,99,1,0
QGS,20_2_3_1,20260822,15,423534,299,100,120,0,179,120,100,0,0,20,0,179,100,0,0
QGS,20_2_3_1,20260822,16,451620,300,100,110,0,190,110,100,0,0,10,0,190,100,0,0
QGS,20_2_3_1,20260822,17,479403,300,100,120,5,175,125,100,0,0,20,5,175,99,1,0
QGS,20_2_3_1,20260822,18,500000,270,100,124,6,140,130,100,0,0,24,6,140,98,2,0
QGS,20_2_3_1,20260823,1,29545,300,100,42,0,258,42,42,0,58,0,0,200,42,0,58
QGS,20_2_3_1,20260823,2,59257,300,100,69,0,231,69,69,0,31,0,0,200,69,0,31
QGS,20_2_3_1,20260823,3,88709,300,100,101,0,199,101,100,0,0,1,0,199,100,0,0
QGS,20_2_3_1,20260823,4,117578,300,100,101,0,199,101,100,0,0,1,0,199,100,0,0
QGS,20_2_3_1,20260823,5,146645,300,100,107,0,193,107,100,0,0,7,0,193,100,0,0
QGS,20_2_3_1,20260823,6,175296,299,100,82,0,217,82,82,0,18,0,0,199,82,0,18
QGS,20_2_3_1,20260823,7,203878,300,100,77,2,221,79,77,2,21,0,0,200,77,2,21
QGS,20_2_3_1,20260823,8,231487,300,100,86,0,214,86,86,0,14,0,0,200,86,0,14
QGS,20_2_3_1,20260823,9,260024,300,100,96,0,204,96,96,0,4,0,0,200,96,0,4
QGS,20_2_3_1,20260823,10,288474,298,100,89,1,208,90,89,1,10,0,0,198,89,1,10
QGS,20_2_3_1,20260823,11,316987,299,100,92,2,205,94,92,2,6,0,0,199,92,2,6
QGS,20_2_3_1,20260823,12,345446,297,100,91,0,206,91,91,0,9,0,0,197,91,0,9
QGS,20_2_3_1,20260823,13,373274,300,100,96,0,204,96,96,0,4,0,0,200,96,0,4
QGS,20_2_3_1,20260823,14,402060,300,100,102,2,196,104,100,0,0,2,2,196,100,0,0
QGS,20_2_3_1,20260823,15,430696,300,100,103,0,197,103,100,0,0,3,0,197,100,0,0
QGS,20_2_3_1,20260823,16,458595,300,100,111,0,189,111,100,0,0,11,0,189,100,0,0
QGS,20_2_3_1,20260823,17,486544,300,100,103,0,197,103,100,0,0,3,0,197,100,0,0
QGS,20_2_3_1,20260823,18,500000,237,100,102,0,135,102,100,0,0,2,0,135,100,0,0
QGS,20_2_3_1,20260824,1,28391,300,100,37,0,263,37,37,0,63,0,0,200,37,0,63
QGS,20_2_3_1,20260824,2,56763,300,100,52,0,248,52,52,0,48,0,0,200,52,0,48
QGS,20_2_3_1,20260824,3,84206,300,100,61,0,239,61,61,0,39,0,0,200,61,0,39
QGS,20_2_3_1,20260824,4,112303,300,100,87,0,213,87,87,0,13,0,0,200,87,0,13
QGS,20_2_3_1,20260824,5,140119,300,100,98,0,202,98,98,0,2,0,0,200,98,0,2
QGS,20_2_3_1,20260824,6,168519,300,100,109,0,191,109,100,0,0,9,0,191,100,0,0
QGS,20_2_3_1,20260824,7,196954,300,100,122,0,178,122,100,0,0,22,0,178,100,0,0
QGS,20_2_3_1,20260824,8,225415,300,100,105,0,195,105,100,0,0,5,0,195,100,0,0
QGS,20_2_3_1,20260824,9,254043,299,100,108,0,191,108,100,0,0,8,0,191,100,0,0
QGS,20_2_3_1,20260824,10,282780,300,100,110,0,190,110,100,0,0,10,0,190,100,0,0
QGS,20_2_3_1,20260824,11,310789,300,100,111,0,189,111,100,0,0,11,0,189,100,0,0
QGS,20_2_3_1,20260824,12,338647,300,100,103,0,197,103,100,0,0,3,0,197,100,0,0
QGS,20_2_3_1,20260824,13,366090,300,100,103,0,197,103,100,0,0,3,0,197,100,0,0
QGS,20_2_3_1,20260824,14,394261,300,100,108,0,192,108,100,0,0,8,0,192,100,0,0
QGS,20_2_3_1,20260824,15,422008,300,100,107,0,193,107,100,0,0,7,0,193,100,0,0
QGS,20_2_3_1,20260824,16,449816,299,100,99,0,200,99,99,0,1,0,0,199,99,0,1
QGS,20_2_3_1,20260824,17,476781,300,100,109,0,191,109,100,0,0,9,0,191,100,0,0
QGS,20_2_3_1,20260824,18,500000,283,100,93,0,190,93,93,0,7,0,0,183,93,0,7
