index,G1_CMAX,G4_BALANCED,G2_TEC,G3_TWC,mixtureHash
101,30,35,10,25,0f153c71b1750e20bbb9b4dddad9e833ae9fbbf5b37a6f122015a62abf8f60ee
102,30,35,15,20,d0f5abfa8d8605f5796320a447bc3e05f4ed0fdee7f5d153171b46fff714214c
103,30,35,20,15,a83559c30c85ef1fbba9c86cd02076f5e89dfb0dc9928402358b6154d791d54c
104,30,35,25,10,257283d599731d6b853332e150121192b5fcb373fe4f83f93524714c335c3d8b
105,30,40,10,20,2d125a9c519b07b8043cf493983a69dbac9000f5263559442618c24a8bafe532
106,30,40,15,15,cbb7b9d6cf6431493df1b6eca3c57f1190c430090ba6dac45d68872dbe4bd75e
107,30,40,20,10,da64bcb2b8b7a85102e3aba1b9ad633e23453fdf9046980ce31cbd46a3ba5e13
108,30,45,10,15,48130b6400785587b9f76667957f3f37bdc2897b722f39594b9dddf80255a495
109,30,45,15,10,d0dea537e644b8263c6c384bfbb22896580358ba314130edfb809cd4f7d7be88
110,30,50,10,10,cd45e2fd8903c0c119f0033eac545082642496fedc8f723daec91921f955b87f
