runId,instance,seed,arm,status,actualFE,utilizationRate,frontRawSize,frontNondominatedSize,frontSha256
V35A2FINAL-20_2_5_1-20260914-A2-FINAL_CANDIDATE_CONFIRMATION,20_2_5_1,20260914,A2,ACCEPTED,500000,1.0,186,186,f2d4aeb24f6f08055cb582849d2a52df0d3757897d384f97c6b29039ef4a016f
V35A2FINAL-20_2_5_1-20260915-A0-FINAL_CANDIDATE_CONFIRMATION,20_2_5_1,20260915,A0,ACCEPTED,500000,1.0,265,265,deaba4e0a9470ca2f598f3fdb514263a3c693379099088b2c082afbdb4aa7ab0
V35A2FINAL-20_2_5_1-20260915-A2-FINAL_CANDIDATE_CONFIRMATION,20_2_5_1,20260915,A2,ACCEPTED,500000,1.0,296,296,53235b11c91e243a0f3697b4b9d19a433cd68d6d9f38c0ca0865a5295187e55b
V35A2FINAL-20_8_3_1-20260911-A0-FINAL_CANDIDATE_CONFIRMATION,20_8_3_1,20260911,A0,ACCEPTED,500000,1.0,216,216,6dc65a8ef8f477734064bd7f9e3c86d439a6937a7318748f9edd753237b36c65
V35A2FINAL-20_8_3_1-20260911-A2-FINAL_CANDIDATE_CONFIRMATION,20_8_3_1,20260911,A2,ACCEPTED,500000,1.0,305,305,3e467316eae22914e8518e744b8eb769bb29957c0214a93055bb96c1d0dd55f4
V35A2FINAL-20_8_3_1-20260912-A0-FINAL_CANDIDATE_CONFIRMATION,20_8_3_1,20260912,A0,ACCEPTED,499640,0.99928,246,246,6534785b45f66e5ba80225afc5a2a60c54486461f0b4e3e0b975d5d9451c5a14
V35A2FINAL-20_8_3_1-20260912-A2-FINAL_CANDIDATE_CONFIRMATION,20_8_3_1,20260912,A2,ACCEPTED,500000,1.0,180,180,8e35e8e54ece5b2fa317618697ddf29c04929acd041e18e525433a00c412f116
V35A2FINAL-20_8_3_1-20260913-A0-FINAL_CANDIDATE_CONFIRMATION,20_8_3_1,20260913,A0,ACCEPTED,500000,1.0,212,212,c749abff16e00f39a358ab9476ea273b48d4bf7a80f466b2577f18de923fc8a0
V35A2FINAL-20_8_3_1-20260913-A2-FINAL_CANDIDATE_CONFIRMATION,20_8_3_1,20260913,A2,ACCEPTED,496313,0.992626,196,196,94d19fd33efe1605a3452412b274a34228b690567f4908a683400946000c570d
V35A2FINAL-20_8_3_1-20260914-A0-FINAL_CANDIDATE_CONFIRMATION,20_8_3_1,20260914,A0,ACCEPTED,500000,1.0,230,230,723ce401655bffde01c5e6940144a47246cd408db95eef9473122bf3c01668d8
V35A2FINAL-20_8_3_1-20260914-A2-FINAL_CANDIDATE_CONFIRMATION,20_8_3_1,20260914,A2,ACCEPTED,500000,1.0,270,270,b0e2f35810f8f6daaae9e7d3e5f758901023c3e71b8b5113f79687742367188b
V35A2FINAL-20_8_3_1-20260915-A0-FINAL_CANDIDATE_CONFIRMATION,20_8_3_1,20260915,A0,ACCEPTED,500000,1.0,285,285,e043a87660ef42b73b73a17df8e77bfeb84e69641207696a40f75674002e18f9
V35A2FINAL-20_8_3_1-20260915-A2-FINAL_CANDIDATE_CONFIRMATION,20_8_3_1,20260915,A2,ACCEPTED,500000,1.0,415,415,8d5aaf1329e6677e16e9d82fb911a2bf79cd1992349e18318867966e043cf5ad
V35A2FINAL-50_2_5_1-20260911-A0-FINAL_CANDIDATE_CONFIRMATION,50_2_5_1,20260911,A0,ACCEPTED,500000,1.0,261,261,d77b563af697744f72d3399ae2e784b60ed19044647809c4a9022930cb374e75
V35A2FINAL-50_2_5_1-20260911-A2-FINAL_CANDIDATE_CONFIRMATION,50_2_5_1,20260911,A2,ACCEPTED,500000,1.0,348,348,60a2545d9caba851ee5edb60063145899ac3b3cf23fce4cdb7fe98f5b779b2f0
V35A2FINAL-50_2_5_1-20260912-A0-FINAL_CANDIDATE_CONFIRMATION,50_2_5_1,20260912,A0,ACCEPTED,500000,1.0,415,415,4465c6e294195814e12f55e676d442a3297f07cce951fa9b8f5fd2484de06486
V35A2FINAL-50_2_5_1-20260912-A2-FINAL_CANDIDATE_CONFIRMATION,50_2_5_1,20260912,A2,ACCEPTED,500000,1.0,329,329,cdbb6896d3aa4ef00048635bcf8d11357f04f3f1d19d58b34ea707c0f54c926a
V35A2FINAL-50_2_5_1-20260913-A0-FINAL_CANDIDATE_CONFIRMATION,50_2_5_1,20260913,A0,ACCEPTED,500000,1.0,350,350,9db94e38d109fd58b53de2878814d94df41b1871f7d5ce4accb086fe9c1c1e73
V35A2FINAL-50_2_5_1-20260913-A2-FINAL_CANDIDATE_CONFIRMATION,50_2_5_1,20260913,A2,ACCEPTED,500000,1.0,414,414,303c30adcc852aec2c9fa623e3190fd356ba4aca43fc41f0f1bdfece4751eb85
V35A2FINAL-50_2_5_1-20260914-A0-FINAL_CANDIDATE_CONFIRMATION,50_2_5_1,20260914,A0,ACCEPTED,500000,1.0,403,403,27b8b9ca90ca3a8ef389361ad47217509b1eadcabb49d135f2171c6dbc0b15a4
V35A2FINAL-50_2_5_1-20260914-A2-FINAL_CANDIDATE_CONFIRMATION,50_2_5_1,20260914,A2,ACCEPTED,500000,1.0,294,294,e01358c21087145c8b7e80ed479ae75deec2a8e27d8f2e67a4934cf4ed2fd6aa
V35A2FINAL-50_2_5_1-20260915-A0-FINAL_CANDIDATE_CONFIRMATION,50_2_5_1,20260915,A0,ACCEPTED,500000,1.0,340,340,64bbda28079bdc78a2f4738fd9dcfb7d3afb865bc7d642d8b1e2aebaf491fb0c
V35A2FINAL-50_2_5_1-20260915-A2-FINAL_CANDIDATE_CONFIRMATION,50_2_5_1,20260915,A2,ACCEPTED,500000,1.0,560,560,76296652872cf866edfdb848e2147c315e8004b5333321eb994748b07fbfc6d7
V35A2FINAL-50_8_3_1-20260911-A0-FINAL_CANDIDATE_CONFIRMATION,50_8_3_1,20260911,A0,ACCEPTED,500000,1.0,253,253,ca65931daba00866a28985a06741eb2eee04629bc04fdf0229cb4b2817a65377
V35A2FINAL-50_8_3_1-20260911-A2-FINAL_CANDIDATE_CONFIRMATION,50_8_3_1,20260911,A2,ACCEPTED,500000,1.0,267,267,669a6bd324bd7b69ccb818f7d475db3d8baea958500434fd28a61875bb0554d6
V35A2FINAL-50_8_3_1-20260912-A0-FINAL_CANDIDATE_CONFIRMATION,50_8_3_1,20260912,A0,ACCEPTED,500000,1.0,267,267,eb9dce757362063f219b8be92d008e7cce39e05df42601964d95b64b2cd8d1fe
V35A2FINAL-50_8_3_1-20260912-A2-FINAL_CANDIDATE_CONFIRMATION,50_8_3_1,20260912,A2,ACCEPTED,500000,1.0,308,308,d6463f310b00608e276558944649300b180a9ae5100b9a72add71c062fa77cd8
V35A2FINAL-50_8_3_1-20260913-A0-FINAL_CANDIDATE_CONFIRMATION,50_8_3_1,20260913,A0,ACCEPTED,500000,1.0,204,204,081ad24c7c2b8df9acfb1ac23f61bb6e028a012f1a36972b1a6c81e191f22fe2
V35A2FINAL-50_8_3_1-20260913-A2-FINAL_CANDIDATE_CONFIRMATION,50_8_3_1,20260913,A2,ACCEPTED,500000,1.0,242,242,996af62420d0daab9c41b8a286bba49b25ab1ec669582861ce5cd51e84acd494
V35A2FINAL-50_8_3_1-20260914-A0-FINAL_CANDIDATE_CONFIRMATION,50_8_3_1,20260914,A0,ACCEPTED,500000,1.0,183,183,85bfd2cc4b828f39affb0de43f5be5a3eb7dcb65e06198fdcc899a512d20e37d
V35A2FINAL-50_8_3_1-20260914-A2-FINAL_CANDIDATE_CONFIRMATION,50_8_3_1,20260914,A2,ACCEPTED,500000,1.0,245,245,c2f9a1f566d11c44ee4d864ef3cf8897716757cac0b5dce062cbaf1715b5b24a
V35A2FINAL-50_8_3_1-20260915-A0-FINAL_CANDIDATE_CONFIRMATION,50_8_3_1,20260915,A0,ACCEPTED,500000,1.0,344,344,f61d30245762374e4fd30eab60afc0943a0476919371e4794ac51e85a25800bd
V35A2FINAL-50_8_3_1-20260915-A2-FINAL_CANDIDATE_CONFIRMATION,50_8_3_1,20260915,A2,ACCEPTED,500000,1.0,180,180,449590c8b65ea063aa0cf152586dd433f4faa03e36c4e51d805f6392e3e4b3cd
