instance,scale,seed,arm,HV,IGD,IGDplus,Spacing,frontSize,frontRawSize,Cmax,TEC,TWC,actualFE,utilizationRate,algorithmSeconds,referenceSize,idealCmax,idealTEC,idealTWC,nadirCmax,nadirTEC,nadirTWC
100_8_3_1,100,20260911,A0,0.6017735378014712,0.11846507943932474,0.11049839378049141,0.023824526439722712,235,235,1357.3827114899266,206650.0949014247,428369.3291252468,495884,0.991768,281.461645139,541,1312.158385129966,205718.02957235873,423932.8085423494,1963.0834469218466,217666.59280021378,591066.3168818264
100_8_3_1,100,20260911,A2,0.46745182600540575,0.16614789668243576,0.16207179926383822,0.021559167182749327,217,217,1373.3121609686991,210136.76379704272,423932.8085423494,500000,1.0,371.737574568,541,1312.158385129966,205718.02957235873,423932.8085423494,1963.0834469218466,217666.59280021378,591066.3168818264
100_8_3_1,100,20260912,A0,0.5143528173151218,0.20746498161970492,0.18857205633995408,0.03030699455094981,195,195,1383.7774360443095,206554.87073880533,425823.50261237874,500000,1.0,299.427555769,541,1312.158385129966,205718.02957235873,423932.8085423494,1963.0834469218466,217666.59280021378,591066.3168818264
100_8_3_1,100,20260912,A2,0.4853023118678396,0.16321373023496216,0.15959928538186388,0.025387717112683703,218,218,1376.821099814306,209360.2468338456,424453.77687171166,500000,1.0,364.638875699,541,1312.158385129966,205718.02957235873,423932.8085423494,1963.0834469218466,217666.59280021378,591066.3168818264
100_8_3_1,100,20260913,A0,0.7423655509831942,0.04000342612201396,0.018520941527757618,0.01572604145297638,377,377,1312.158385129966,206507.01445615944,430658.9409394695,500000,1.0,295.61731762,541,1312.158385129966,205718.02957235873,423932.8085423494,1963.0834469218466,217666.59280021378,591066.3168818264
100_8_3_1,100,20260913,A2,0.5394615327730214,0.12464738842584229,0.10680530165016308,0.026270124008878452,194,194,1400.52612614014,209987.80990202457,427455.2100927282,500000,1.0,348.113567379,541,1312.158385129966,205718.02957235873,423932.8085423494,1963.0834469218466,217666.59280021378,591066.3168818264
100_8_3_1,100,20260914,A0,0.749486733164464,0.059389146841434336,0.036922667743197315,0.023202882905344724,243,243,1336.1708393316108,205718.02957235873,432250.33206572826,499471,0.998942,282.254660488,541,1312.158385129966,205718.02957235873,423932.8085423494,1963.0834469218466,217666.59280021378,591066.3168818264
100_8_3_1,100,20260914,A2,0.4259098554147275,0.1942693595208685,0.19079368152483958,0.024727472809465592,243,243,1362.7419470545206,209893.2774131361,435037.9897260029,500000,1.0,361.413077207,541,1312.158385129966,205718.02957235873,423932.8085423494,1963.0834469218466,217666.59280021378,591066.3168818264
100_8_3_1,100,20260915,A0,0.585132858718681,0.08806898869265871,0.07244948251632025,0.019661484672009174,229,229,1312.377640138684,209742.5373165994,427610.6445171813,500000,1.0,284.864837997,541,1312.158385129966,205718.02957235873,423932.8085423494,1963.0834469218466,217666.59280021378,591066.3168818264
100_8_3_1,100,20260915,A2,0.6334401629934013,0.0914213536505587,0.08054468083182484,0.024082629697323082,208,208,1364.571170390472,207360.1262966709,430236.69805181975,500000,1.0,361.249154627,541,1312.158385129966,205718.02957235873,423932.8085423494,1963.0834469218466,217666.59280021378,591066.3168818264
20_2_5_1,20,20260911,A0,0.9768823673231422,0.0897454858073343,0.06677476089028413,0.025906903157227212,211,211,152.72204371989605,8196.930627246269,11185.06877754841,500000,1.0,45.718222377,542,142.3432200409711,7966.8907703509185,11160.144787961079,426.1627500006465,10628.284473047719,13135.513959470056
20_2_5_1,20,20260911,A2,1.020818083404735,0.08197329488457954,0.0687659127311044,0.05600962997469034,305,305,146.4476118378453,7966.8907703509185,11160.144787961079,500000,1.0,69.308675997,542,142.3432200409711,7966.8907703509185,11160.144787961079,426.1627500006465,10628.284473047719,13135.513959470056
20_2_5_1,20,20260912,A0,0.9565947980610443,0.08235166062528881,0.05259706034232624,0.025503672108292342,293,293,152.26944088260348,8207.077016910322,11304.072181954465,500000,1.0,52.1805797,542,142.3432200409711,7966.8907703509185,11160.144787961079,426.1627500006465,10628.284473047719,13135.513959470056
20_2_5_1,20,20260912,A2,0.9916331902736762,0.08685626742237558,0.07356620832311206,0.027961708726225887,218,218,148.61910976564582,7987.9720631037135,11185.563967859978,500000,1.0,67.24349366,542,142.3432200409711,7966.8907703509185,11160.144787961079,426.1627500006465,10628.284473047719,13135.513959470056
20_2_5_1,20,20260913,A0,1.0265439254030735,0.0790228656611843,0.03061349965237954,0.030033090719452524,281,281,146.72896879959822,8131.426152093023,11205.833441875742,500000,1.0,53.891975761,542,142.3432200409711,7966.8907703509185,11160.144787961079,426.1627500006465,10628.284473047719,13135.513959470056
20_2_5_1,20,20260913,A2,0.9948701075144829,0.0952244025116224,0.08318363604594338,0.03276915111727581,229,229,148.54016460129526,7999.775851876496,11178.696845047045,500000,1.0,67.257265002,542,142.3432200409711,7966.8907703509185,11160.144787961079,426.1627500006465,10628.284473047719,13135.513959470056
20_2_5_1,20,20260914,A0,0.9667038855701378,0.09395103997788512,0.05819676690258076,0.027064731141673144,329,329,143.79561461281492,8167.206539026556,11302.393953780886,500000,1.0,47.128001447,542,142.3432200409711,7966.8907703509185,11160.144787961079,426.1627500006465,10628.284473047719,13135.513959470056
20_2_5_1,20,20260914,A2,0.9612340872283538,0.10585095732374611,0.08565829667288609,0.027812333113764062,186,186,148.40227886469523,7980.694021520543,11211.261289881382,500000,1.0,64.293763953,542,142.3432200409711,7966.8907703509185,11160.144787961079,426.1627500006465,10628.284473047719,13135.513959470056
20_2_5_1,20,20260915,A0,1.0362627161330704,0.07161459032454806,0.032680454492587455,0.024673537585124136,265,265,148.96408439227224,8064.523237916131,11177.561023990635,500000,1.0,54.386447383,542,142.3432200409711,7966.8907703509185,11160.144787961079,426.1627500006465,10628.284473047719,13135.513959470056
20_2_5_1,20,20260915,A2,1.0002055669752234,0.08602853076821963,0.07035489944954394,0.027623787227493448,296,296,142.3432200409711,8001.944356933198,11189.557937609892,500000,1.0,73.616822675,542,142.3432200409711,7966.8907703509185,11160.144787961079,426.1627500006465,10628.284473047719,13135.513959470056
20_8_3_1,20,20260911,A0,0.7517986744871705,0.075539073487482,0.06118692589873601,0.024140555516133658,216,216,390.3417483054831,36044.42867084374,74759.19475366845,500000,1.0,115.88282671,601,385.59434568909364,35803.93364194009,71389.80867743774,549.8262255184271,40626.08749845042,91101.44593836326
20_8_3_1,20,20260911,A2,0.7897479337305473,0.057165231295534344,0.04612556312147589,0.02523355407027949,305,305,397.69428047025485,35803.93364194009,72774.03155318557,500000,1.0,145.997472127,601,385.59434568909364,35803.93364194009,71389.80867743774,549.8262255184271,40626.08749845042,91101.44593836326
20_8_3_1,20,20260912,A0,0.7695087122216527,0.05489611025970648,0.03383893131066826,0.03317752845909749,246,246,390.35829349515035,36018.083560921084,74139.6248348059,499640,0.99928,108.484310831,601,385.59434568909364,35803.93364194009,71389.80867743774,549.8262255184271,40626.08749845042,91101.44593836326
20_8_3_1,20,20260912,A2,0.8188872430751462,0.06560624103846549,0.04597702495439399,0.019625980056454474,180,180,390.59047738430263,36032.543738333945,73126.88719952782,500000,1.0,130.927755764,601,385.59434568909364,35803.93364194009,71389.80867743774,549.8262255184271,40626.08749845042,91101.44593836326
20_8_3_1,20,20260913,A0,0.7167177311596225,0.08146089236942719,0.07101028764470327,0.049356837001061506,212,212,389.8082364546159,36294.74776631567,73492.42185591659,500000,1.0,103.513908687,601,385.59434568909364,35803.93364194009,71389.80867743774,549.8262255184271,40626.08749845042,91101.44593836326
20_8_3_1,20,20260913,A2,0.767089086228194,0.07742609599751185,0.060415674382415636,0.023888062493661856,196,196,392.09800604254906,36030.47294715815,74178.6624496689,496313,0.992626,145.770780385,601,385.59434568909364,35803.93364194009,71389.80867743774,549.8262255184271,40626.08749845042,91101.44593836326
20_8_3_1,20,20260914,A0,0.746520867325299,0.06600193512865866,0.05213465404721622,0.029463383665516794,230,230,395.6786388634572,36012.46489049161,74177.30492109698,500000,1.0,99.382574632,601,385.59434568909364,35803.93364194009,71389.80867743774,549.8262255184271,40626.08749845042,91101.44593836326
20_8_3_1,20,20260914,A2,0.8648940061933904,0.04456457767545058,0.030376160572730355,0.026866454673853856,270,270,388.8532447431952,36276.486359664785,71389.80867743774,500000,1.0,156.522419204,601,385.59434568909364,35803.93364194009,71389.80867743774,549.8262255184271,40626.08749845042,91101.44593836326
20_8_3_1,20,20260915,A0,0.8273462014250847,0.0436039682722133,0.028185266652312437,0.025097675406514416,285,285,387.33899436485393,36000.39428829322,73083.8532191701,500000,1.0,112.426841107,601,385.59434568909364,35803.93364194009,71389.80867743774,549.8262255184271,40626.08749845042,91101.44593836326
20_8_3_1,20,20260915,A2,0.7758789582846939,0.04170762688886894,0.03291177374922622,0.01665343837782198,415,415,385.59434568909364,36227.11692482431,72812.81461068742,500000,1.0,171.628357343,601,385.59434568909364,35803.93364194009,71389.80867743774,549.8262255184271,40626.08749845042,91101.44593836326
50_2_5_1,50,20260911,A0,0.7635185016818988,0.11409275557781189,0.08445505405578341,0.022922022181450886,261,261,185.93904537088008,17054.514811111316,34418.48721976574,500000,1.0,78.618852112,1306,168.187418393861,14907.592374416112,33621.67367508243,834.8780240182833,21939.89171627941,48972.96477540004
50_2_5_1,50,20260911,A2,0.9135467778618191,0.07957027148816083,0.07312670775745292,0.021640054216428332,348,348,174.58222123086483,15036.229622833904,34226.05945873984,500000,1.0,131.488969038,1306,168.187418393861,14907.592374416112,33621.67367508243,834.8780240182833,21939.89171627941,48972.96477540004
50_2_5_1,50,20260912,A0,0.5880846143153017,0.2005903100721668,0.14793239128649127,0.01114018317678887,415,415,169.54950040888806,18387.548187244378,35653.70784433377,500000,1.0,96.894375095,1306,168.187418393861,14907.592374416112,33621.67367508243,834.8780240182833,21939.89171627941,48972.96477540004
50_2_5_1,50,20260912,A2,0.852943578963876,0.1113971892686022,0.1051613129340606,0.020400013424804322,329,329,185.65968087286086,15357.27579613125,34175.32239483928,500000,1.0,138.271159735,1306,168.187418393861,14907.592374416112,33621.67367508243,834.8780240182833,21939.89171627941,48972.96477540004
50_2_5_1,50,20260913,A0,0.5810626418494615,0.20819226544040897,0.1531444263227717,0.011695276411887317,350,350,168.187418393861,18048.454551946394,36406.10965793689,500000,1.0,84.180379707,1306,168.187418393861,14907.592374416112,33621.67367508243,834.8780240182833,21939.89171627941,48972.96477540004
50_2_5_1,50,20260913,A2,0.8403349115929403,0.12096606423100034,0.11909666928282908,0.02273189138569698,414,414,180.96348626049138,14907.592374416112,34325.103186078355,500000,1.0,149.88928194,1306,168.187418393861,14907.592374416112,33621.67367508243,834.8780240182833,21939.89171627941,48972.96477540004
50_2_5_1,50,20260914,A0,0.7604995747068719,0.11326743316713633,0.09062542802810925,0.012479790863924662,403,403,171.15585687131352,16750.164240408907,35118.83974317766,500000,1.0,91.962583179,1306,168.187418393861,14907.592374416112,33621.67367508243,834.8780240182833,21939.89171627941,48972.96477540004
50_2_5_1,50,20260914,A2,0.7288181820393602,0.1483752947180462,0.14060969882531693,0.019214184730584234,294,294,176.75770192017555,15697.35384074214,36093.59747733785,500000,1.0,123.381231003,1306,168.187418393861,14907.592374416112,33621.67367508243,834.8780240182833,21939.89171627941,48972.96477540004
50_2_5_1,50,20260915,A0,0.6582648573923467,0.15378279599266698,0.10377257367288126,0.011744930830011815,340,340,181.030420186087,17799.624849873988,35706.187300669284,500000,1.0,84.026145847,1306,168.187418393861,14907.592374416112,33621.67367508243,834.8780240182833,21939.89171627941,48972.96477540004
50_2_5_1,50,20260915,A2,0.9157232667555649,0.07699418775874417,0.06387320927173705,0.013071571464846774,560,560,189.83612017021906,15352.361974960573,33621.67367508243,500000,1.0,151.879351982,1306,168.187418393861,14907.592374416112,33621.67367508243,834.8780240182833,21939.89171627941,48972.96477540004
50_8_3_1,50,20260911,A0,0.7879104238143284,0.07304143070026511,0.03636086905441408,0.021568228991817887,253,253,587.2632191784479,89418.62610344797,228158.77054532236,500000,1.0,180.664467659,530,576.2969135946892,87998.84894394924,222619.09223669145,937.9479741499941,96433.37453308442,274876.6854537979
50_8_3_1,50,20260911,A2,0.8660519301047803,0.041898912619532415,0.02028629864625127,0.01971040935197571,267,267,592.5172920357352,89015.05727908452,222619.09223669145,500000,1.0,210.441864586,530,576.2969135946892,87998.84894394924,222619.09223669145,937.9479741499941,96433.37453308442,274876.6854537979
50_8_3_1,50,20260912,A0,0.7080567472579015,0.10626003707009768,0.10178762516524327,0.020080626735003927,267,267,583.9658340698455,88741.2904183072,227720.81889942198,500000,1.0,182.656494402,530,576.2969135946892,87998.84894394924,222619.09223669145,937.9479741499941,96433.37453308442,274876.6854537979
50_8_3_1,50,20260912,A2,0.634163494153166,0.14187799662252482,0.12356312947346515,0.01602790909456645,308,308,586.887783471835,90717.99563231884,226780.07180040271,500000,1.0,200.592484421,530,576.2969135946892,87998.84894394924,222619.09223669145,937.9479741499941,96433.37453308442,274876.6854537979
50_8_3_1,50,20260913,A0,0.7903703130270586,0.07992196823021502,0.07216709001275698,0.03183604004314614,204,204,589.8080231891449,87998.84894394924,226054.1721192437,500000,1.0,184.391266664,530,576.2969135946892,87998.84894394924,222619.09223669145,937.9479741499941,96433.37453308442,274876.6854537979
50_8_3_1,50,20260913,A2,0.6814124877720108,0.11537957185473294,0.10793514944138662,0.02174403029631429,242,242,596.3022458301784,89266.81361409293,229717.58379672293,500000,1.0,206.945023807,530,576.2969135946892,87998.84894394924,222619.09223669145,937.9479741499941,96433.37453308442,274876.6854537979
50_8_3_1,50,20260914,A0,0.667702608362847,0.1388289559436679,0.13517926014740728,0.02780039580777168,183,183,593.6875975177081,88153.48548764261,228831.30037072883,500000,1.0,183.473656558,530,576.2969135946892,87998.84894394924,222619.09223669145,937.9479741499941,96433.37453308442,274876.6854537979
50_8_3_1,50,20260914,A2,0.7495071496151056,0.08673380567822708,0.07012005507414781,0.029220464391194204,245,245,583.425151318696,89973.2684477297,226182.67232964546,500000,1.0,200.306717627,530,576.2969135946892,87998.84894394924,222619.09223669145,937.9479741499941,96433.37453308442,274876.6854537979
50_8_3_1,50,20260915,A0,0.7723220341709807,0.07453530739263214,0.05695823239044491,0.02087645517477398,344,344,576.2969135946892,89490.0154515445,227351.48794662973,500000,1.0,177.436092397,530,576.2969135946892,87998.84894394924,222619.09223669145,937.9479741499941,96433.37453308442,274876.6854537979
50_8_3_1,50,20260915,A2,0.655370614299775,0.1311768353362329,0.1264096265550406,0.028160230056274237,180,180,587.4302121820571,89899.27863222567,226887.69680621807,500000,1.0,213.820060758,530,576.2969135946892,87998.84894394924,222619.09223669145,937.9479741499941,96433.37453308442,274876.6854537979
