instance,instanceSha256,matrix,label,seed,status,reason,configurationSha256,initialPopulationSha256,fullEvaluations,wallClockMillis,cpuNanos,cfvfRepairs,caTaEvaluations,illegalSolutions,Fmax,Favg,FE,VarFw,highFatigueRatio,longestContinuousWork,totalNaturalRecovery,loadImbalance,frontSize
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B3",20260808,COMPLETED,"MAX_FES_REACHED","ddbfb80380fa4c3381af37e2f923a1bea2be729c916591377f37b7271173af7d","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,254,250000000,0,0,0,0.99998227764306260,0.67285359574444870,45.656747896036290,0.050067096482632900,0.087996386670939000,217.38751085053140,410.50317987277780,0.50052473502996050,70
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B3",20260809,COMPLETED,"MAX_FES_REACHED","25317001abee4eeeea80b29aabe07b2eeffbe2acfc387b7683318b09d24ff127","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,255,250000000,0,0,0,0.99999091071305650,0.67327501810708370,34.230936609175300,0.053769485176353630,0.067723984666891990,192.43044028051008,432.39870649825247,0.52095405505706750,88
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B3",20260810,COMPLETED,"MAX_FES_REACHED","bbed08eafdcbe57024f1c3d1d29e6829c45699f89351ff19fba8a9af27607a02","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,245,250000000,0,0,0,0.99997760499536490,0.66637521631194700,39.790986174896510,0.048423089235953724,0.073562516077206260,212.82264315114963,491.14093731413340,0.52706065653105350,71
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B4",20260808,COMPLETED,"MAX_FES_REACHED","f6656dfbf9ffd04795b305cf13e6a61f9401fc705bec03d87766f9cd9ab3eecc","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,346,343750000,0,0,0,0.99991493920411820,0.69982612862063350,61.288570627958950,0.056514745740693165,0.11227006557013200,235.39957868321620,254.10312435303115,0.55264833403801200,77
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B4",20260809,COMPLETED,"MAX_FES_REACHED","955c7edf39cfdac1071131ee6e3be4294cc309b1977c0ead6f2e8d33845b8f73","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,308,312500000,0,0,0,0.99991848513834690,0.67311348052393520,42.471474755854075,0.055126635434986304,0.085904604281139600,223.88667650477774,403.71968046553420,0.46153860781219636,53
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B4",20260810,COMPLETED,"MAX_FES_REACHED","641d543f37db081056f6a507d0d8198df7280bfe3082ce877d43efe7259e67ce","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,300,296875000,0,0,0,0.99987711210999080,0.69441903858796270,42.431333862065514,0.043974953003467280,0.076544379358899630,219.70561362143974,529.06738459147140,0.55828224650504850,58
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B5",20260808,COMPLETED,"MAX_FES_REACHED","235fecbd6bda6ef2b15f29c2fd2c8d03cb21df8ff5d9c0ee303a814a24ed5bb9","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,299,296875000,0,0,0,0.99995539390047480,0.67992966901422680,47.563193191791140,0.053187478717846120,0.099020232138286380,226.98930505227338,315.72379408049824,0.49669835113042204,54
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B5",20260809,COMPLETED,"MAX_FES_REACHED","8bceb5abfaf271e7afcbf2184cf229c31363a36ad5e730bab1fa494e0fb8eefd","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,305,312500000,0,0,0,0.99996686512978890,0.66457719120414850,38.057077090762820,0.050567565665755690,0.078173157083792200,211.33300673841026,422.88492113374747,0.48180265670101263,85
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B5",20260810,COMPLETED,"MAX_FES_REACHED","8dd3341b347884b656524a167f18eaf51dfffeb76b2c0f926c29500a17386415","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,289,265625000,0,0,0,0.99997264868281290,0.69224806086985700,45.679376980952550,0.053748216752634456,0.087872769506068190,213.11036155053657,316.37734907904400,0.54366998939316260,65
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B6",20260808,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B6",20260809,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B6",20260810,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B7",20260808,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","03225abf5a25316490fbb1229e4791767d5fa6507708b568273b18d0d8d5083e","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",1958,319,265625000,0,158,0,0.99997027851725370,0.66215288069021500,42.492529667410610,0.052180304525624610,0.082187477654234380,213.00410203862256,388.32631877380400,0.53180634633593600,84
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B7",20260809,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","911b2c0bf47da4f7570d21bd27b3fa29a3bedccfaee2f82ae2eb390c473b887f","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",1959,298,250000000,0,159,0,0.99998294950124130,0.65852131472064200,42.786920062138540,0.052754763054739270,0.083225412667130920,213.16849142723080,412.88278258377954,0.52454961129618120,71
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B7",20260810,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","2dfdcbbc13cb95c2e20ff29d420993188e306a2d9470fc8b3adc61cca1a646b0","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",1960,272,265625000,0,160,0,0.99983735767966930,0.65994818674712610,37.191090037289996,0.053413456251420060,0.086879779323715130,181.32351057804502,382.49504766576524,0.49320867014514180,61
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","FULL",20260808,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","f54b38de81471d44c49319804ce239e86110000bff02db96e566621be7f7424f","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",1958,308,312500000,0,158,0,0.99997027851725370,0.66215288069021500,42.492529667410610,0.052180304525624610,0.082187477654234380,213.00410203862256,388.32631877380400,0.53180634633593600,84
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","FULL",20260809,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","763b0c8309c121ea3dd0c07c1a81b3cd75caa83923288857402eec67e58211e1","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",1959,321,296875000,0,159,0,0.99998294950124130,0.65852131472064200,42.786920062138540,0.052754763054739270,0.083225412667130920,213.16849142723080,412.88278258377954,0.52454961129618120,71
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","FULL",20260810,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","5eefc4494d6e13554b7877a70d14db6070035a5639965ed9233c0cbc286b25ec","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",1960,273,281250000,0,160,0,0.99983735767966930,0.65994818674712610,37.191090037289996,0.053413456251420060,0.086879779323715130,181.32351057804502,382.49504766576524,0.49320867014514180,61
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV-Full",20260808,COMPLETED,"MAX_FES_REACHED","3eaf4dd20e3e3e25ba332c0f392c89eb0ffbc661d6d2732c2adb62f42e74c6db","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,1022,953125000,0,0,0,0.99995539390047480,0.67992966901422680,47.563193191791140,0.053187478717846120,0.099020232138286380,226.98930505227338,315.72379408049824,0.49669835113042204,54
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV-Full",20260809,COMPLETED,"MAX_FES_REACHED","601c5933067437272b0be025106cf75a6eb44c0c3e03d35934b39ebc542bd237","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,330,328125000,0,0,0,0.99996686512978890,0.66457719120414850,38.057077090762820,0.050567565665755690,0.078173157083792200,211.33300673841026,422.88492113374747,0.48180265670101263,85
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV-Full",20260810,COMPLETED,"MAX_FES_REACHED","daeae8634d6df17afc8e984798a155c018a8a265894cff05961ed5f86c0a5046","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,318,328125000,0,0,0,0.99997264868281290,0.69224806086985700,45.679376980952550,0.053748216752634456,0.087872769506068190,213.11036155053657,316.37734907904400,0.54366998939316260,65
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV0",20260808,COMPLETED,"MAX_FES_REACHED","77a4218a1fc355bf69c6bdca25bf81d0c8d20187894d12104806748b8b6cd58f","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,365,359375000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,25
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV0",20260809,COMPLETED,"MAX_FES_REACHED","77a4218a1fc355bf69c6bdca25bf81d0c8d20187894d12104806748b8b6cd58f","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,131,140625000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV0",20260810,COMPLETED,"MAX_FES_REACHED","77a4218a1fc355bf69c6bdca25bf81d0c8d20187894d12104806748b8b6cd58f","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,112,93750000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,28
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV1",20260808,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV1",20260809,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV1",20260810,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV2",20260808,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV2",20260809,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV2",20260810,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV3",20260808,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV3",20260809,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV3",20260810,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV4",20260808,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV4",20260809,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FV","FV4",20260810,NOT_EXPOSED,"Current production path does not expose this ablation dimension independently","","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
