instance,arm,seed,cycle,fe,pool,ndTotal,g1Lt1,g1Eq1,g1Total,g2Lt1,g2Eq1,g2Total,g3Lt1,g3Eq1,g3Total,g4Lt1,g4Eq1,g4Total,ovfLt1,ovfEq1,ovfTotal,rejG1,rejG2,rejG3,rejG4,rejOvf,rejTotal,absorbable,absorbRate,ovfRate
100_2_3_1,BASE,20260822,22,149192,260,82,14,1,15,55,0,55,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,23,156214,256,90,13,2,15,55,0,55,15,0,15,5,0,5,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,24,163271,271,92,15,0,15,55,0,55,15,0,15,7,0,7,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,25,170366,257,91,15,0,15,55,0,55,15,0,15,6,0,6,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,26,177500,260,100,14,1,15,55,0,55,15,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,27,184676,255,101,15,0,15,55,0,55,15,0,15,15,0,15,1,0,1,1,0,0,0,0,1,1,1.0,0.009900990099009901
100_2_3_1,BASE,20260822,28,191896,262,98,14,1,15,55,0,55,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,29,199163,267,92,14,1,15,55,0,55,15,0,15,7,0,7,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,30,206480,252,98,14,1,15,55,0,55,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,31,213849,263,98,15,0,15,55,0,55,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,32,221274,254,103,15,0,15,55,0,55,15,0,15,15,0,15,3,0,3,1,0,2,0,0,3,3,1.0,0.02912621359223301
100_2_3_1,BASE,20260822,33,228758,254,102,15,0,15,55,0,55,15,0,15,15,0,15,2,0,2,2,0,0,0,0,2,2,1.0,0.0196078431372549
100_2_3_1,BASE,20260822,34,236304,250,97,15,0,15,55,0,55,15,0,15,12,0,12,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,35,243916,253,98,15,0,15,55,0,55,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,36,251598,254,93,15,0,15,55,0,55,15,0,15,8,0,8,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,37,259354,241,90,14,1,15,55,0,55,15,0,15,5,0,5,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,38,267188,258,92,15,0,15,55,0,55,15,0,15,7,0,7,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,39,275106,266,100,15,0,15,55,0,55,15,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,40,283112,267,105,15,0,15,55,0,55,15,0,15,15,0,15,5,0,5,3,0,1,1,0,5,5,1.0,0.047619047619047616
100_2_3_1,BASE,20260822,41,291213,258,96,15,0,15,55,0,55,15,0,15,11,0,11,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,42,299414,254,104,15,0,15,55,0,55,15,0,15,15,0,15,4,0,4,1,0,0,3,0,4,4,1.0,0.038461538461538464
100_2_3_1,BASE,20260822,43,307723,249,98,15,0,15,55,0,55,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,44,316147,255,90,15,0,15,55,0,55,15,0,15,5,0,5,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,45,324694,259,79,13,2,15,55,0,55,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,46,333373,250,72,15,0,15,55,0,55,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,47,342194,253,74,15,0,15,55,0,55,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,48,351168,261,63,15,0,15,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,49,360308,268,79,15,0,15,55,0,55,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,50,369628,269,84,15,0,15,55,0,55,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,51,379143,268,102,15,0,15,55,0,55,15,0,15,15,0,15,2,0,2,1,0,1,0,0,2,2,1.0,0.0196078431372549
100_2_3_1,BASE,20260822,52,388872,268,107,15,0,15,55,0,55,15,0,15,15,0,15,7,0,7,6,0,1,0,0,7,7,1.0,0.06542056074766354
100_2_3_1,BASE,20260822,53,398836,264,111,15,0,15,55,0,55,15,0,15,15,0,15,11,0,11,0,0,8,0,3,11,8,0.7272727272727273,0.0990990990990991
100_2_3_1,BASE,20260822,54,409059,269,106,15,0,15,55,0,55,15,0,15,15,0,15,6,0,6,1,0,0,5,0,6,6,1.0,0.05660377358490566
100_2_3_1,BASE,20260822,55,419570,277,101,15,0,15,55,0,55,15,0,15,15,0,15,1,0,1,0,0,0,1,0,1,1,1.0,0.009900990099009901
100_2_3_1,BASE,20260822,56,430402,275,109,15,0,15,55,0,55,15,0,15,15,0,15,9,0,9,0,0,2,5,2,9,7,0.7777777777777778,0.08256880733944955
100_2_3_1,BASE,20260822,57,441595,269,115,15,0,15,55,0,55,15,0,15,15,0,15,15,0,15,0,0,3,6,6,15,9,0.6,0.13043478260869565
100_2_3_1,BASE,20260822,58,453199,270,105,15,0,15,55,0,55,15,0,15,15,0,15,5,0,5,0,0,1,1,3,5,2,0.4,0.047619047619047616
100_2_3_1,BASE,20260822,59,465273,269,123,15,0,15,55,0,55,14,1,15,15,0,15,23,0,23,2,0,3,7,11,23,12,0.5217391304347826,0.18699186991869918
100_2_3_1,BASE,20260822,60,477894,280,118,15,0,15,55,0,55,15,0,15,15,0,15,18,0,18,11,0,1,1,5,18,13,0.7222222222222222,0.15254237288135594
100_2_3_1,BASE,20260822,61,491160,271,112,15,0,15,55,0,55,15,0,15,15,0,15,12,0,12,4,0,0,6,2,12,10,0.8333333333333334,0.10714285714285714
100_2_3_1,BASE,20260822,62,500000,264,107,15,0,15,55,0,55,15,0,15,15,0,15,7,0,7,0,0,2,5,0,7,7,1.0,0.06542056074766354
100_2_3_1,BASE,20260823,1,6767,289,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,2,13435,269,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,3,20106,239,15,14,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,4,26781,246,37,15,0,15,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,5,33462,240,19,15,0,15,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,6,40149,238,38,15,0,15,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,7,46844,243,51,15,0,15,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,8,53549,235,80,14,1,15,55,0,55,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
