"File","Extension","ExpectedSha256","ReplaySha256","Same"
"fig06b_fm0_machine_gantt.png",".png","DBE5ADAC59B56AC0355D9602B0841695ED432E0E00B59EE2A7A23EA34B139F6C","DBE5ADAC59B56AC0355D9602B0841695ED432E0E00B59EE2A7A23EA34B139F6C","True"
"fig06b_fm0_machine_gantt.svg",".svg","C1A8EF804A896AD89A3D6E9DFABA99A2DD20EFF58537C5AFFBCE82CE022082AC","C1A8EF804A896AD89A3D6E9DFABA99A2DD20EFF58537C5AFFBCE82CE022082AC","True"
"fig07_qp_qg_leader_selection.pdf",".pdf","381EB657E273A208E1E999744A36CD5402BA489A759722DFE8BAF452C97BA860","381EB657E273A208E1E999744A36CD5402BA489A759722DFE8BAF452C97BA860","True"
"fig07_qp_qg_leader_selection.png",".png","714728D5522FFA0A498B596D0B7D32CE8A47DA94A96F52D6DE9D32BE736FFBBE","714728D5522FFA0A498B596D0B7D32CE8A47DA94A96F52D6DE9D32BE736FFBBE","True"
"fig07_qp_qg_leader_selection.svg",".svg","B5E7FDEF29B433E683E7B1DB9AC40CE66737CD86809C39EB2A2C92B1EB94042B","B5E7FDEF29B433E683E7B1DB9AC40CE66737CD86809C39EB2A2C92B1EB94042B","True"
"fig08_cfvf_before_after_gantt.pdf",".pdf","818918EEE24DCE0664C1B50070FC97743B58BF352E8DD61A851C70B0F2B9543D","818918EEE24DCE0664C1B50070FC97743B58BF352E8DD61A851C70B0F2B9543D","True"
"fig08_cfvf_before_after_gantt.png",".png","F13DB09C152F9A624DFEEE2BD8CE2E99A4C8197132457DCD2DC07AC55AE1888C","F13DB09C152F9A624DFEEE2BD8CE2E99A4C8197132457DCD2DC07AC55AE1888C","True"
"fig08_cfvf_before_after_gantt.svg",".svg","7B22266B17E75F5A2494B019C93225B2D4497A6AF5B687214057139A5DF759ED","7B22266B17E75F5A2494B019C93225B2D4497A6AF5B687214057139A5DF759ED","True"
"fig09_cata_test_apply.pdf",".pdf","DFD8C3AD72F31198FE027A480D00A13FC6B5737EB80FA99F7DE9EF7D4ADA2BE7","DFD8C3AD72F31198FE027A480D00A13FC6B5737EB80FA99F7DE9EF7D4ADA2BE7","True"
"fig09_cata_test_apply.png",".png","4FB7746A23C567B058799874C25A661FF24618D66A1DD0B4AB3293E5AC7A85A9","4FB7746A23C567B058799874C25A661FF24618D66A1DD0B4AB3293E5AC7A85A9","True"
"fig09_cata_test_apply.svg",".svg","D544E8AF7F84951C69C16D9DF8B944CD8847A07B1C3237B53DA25E21C6149279","D544E8AF7F84951C69C16D9DF8B944CD8847A07B1C3237B53DA25E21C6149279","True"
"fig10_local_search_before_after_gantt.pdf",".pdf","400200A3EE71A54B66F8D13FC92715376285F89754C56B6FDA8D4EBC07DFDAE6","400200A3EE71A54B66F8D13FC92715376285F89754C56B6FDA8D4EBC07DFDAE6","True"
"fig10_local_search_before_after_gantt.png",".png","0457D9DED2878B987D5A5D67F877BB9187B55CE9F517C17F3DB82CAF712599A3","0457D9DED2878B987D5A5D67F877BB9187B55CE9F517C17F3DB82CAF712599A3","True"
"fig10_local_search_before_after_gantt.svg",".svg","448A9197CF4F4450F750783BEBAE06E3556F8107AD10BB67C455F94DF8A9F5B9","448A9197CF4F4450F750783BEBAE06E3556F8107AD10BB67C455F94DF8A9F5B9","True"
"fig11_complete_generation_flow.pdf",".pdf","E3D23DC6B3D13A490F7914ECF3312FEA29BAAED1A354F923F3727FCC8FFAD819","E3D23DC6B3D13A490F7914ECF3312FEA29BAAED1A354F923F3727FCC8FFAD819","True"
"fig11_complete_generation_flow.png",".png","9A909BA0635931D6423E6E786623ED308F3D885FA5BE5E8EF5E81CEC5704C561","9A909BA0635931D6423E6E786623ED308F3D885FA5BE5E8EF5E81CEC5704C561","True"
"fig11_complete_generation_flow.svg",".svg","458A427CEEF675B647C0ED4B67B7CD6CDEC61B5954A49A39FB21159C16BC5662","458A427CEEF675B647C0ED4B67B7CD6CDEC61B5954A49A39FB21159C16BC5662","True"
