comparison,artifact,verdict
20k-100_5_3_1 OFFvsON,shadow-probes.csv,IDENTICAL
20k-100_5_3_1 OFFvsON,source-ledger.csv,ON_ONLY
20k-100_5_3_1 OFFvsON,status.properties,IDENTICAL
20k-100_5_3_1 OFFvsON,checkpoints/,ON_ONLY
faith20k-C0 V3OFFvsSTORED,bottleneck-pressure-events.csv,IDENTICAL
faith20k-C0 V3OFFvsSTORED,budget-termination.properties,IDENTICAL
faith20k-C0 V3OFFvsSTORED,ca-ta-lite-events.log,IDENTICAL
faith20k-C0 V3OFFvsSTORED,cmax-audit-curves.csv,IDENTICAL
faith20k-C0 V3OFFvsSTORED,cmax-audit-records.csv,IDENTICAL
faith20k-C0 V3OFFvsSTORED,cmax-audit-summary.txt,IDENTICAL
faith20k-C0 V3OFFvsSTORED,configuration.txt,IDENTICAL
faith20k-C0 V3OFFvsSTORED,diagnosis-summary.properties,IDENTICAL
faith20k-C0 V3OFFvsSTORED,dscr-events.csv,IDENTICAL
faith20k-C0 V3OFFvsSTORED,dscr-summary.properties,IDENTICAL
faith20k-C0 V3OFFvsSTORED,dscr-teacher-uses.csv,IDENTICAL
faith20k-C0 V3OFFvsSTORED,formal-gate.properties,IDENTICAL
faith20k-C0 V3OFFvsSTORED,front.csv,IDENTICAL
faith20k-C0 V3OFFvsSTORED,initial-population.sha256,IDENTICAL
faith20k-C0 V3OFFvsSTORED,passive-archive.csv,IDENTICAL
faith20k-C0 V3OFFvsSTORED,passive-summary.properties,IDENTICAL
faith20k-C0 V3OFFvsSTORED,pddr-observation.properties,IDENTICAL
faith20k-C0 V3OFFvsSTORED,shadow-probes.csv,IDENTICAL
faith20k-C0 V3OFFvsSTORED,status.properties,IDENTICAL
faith50k-C0 V3OFFvsSTORED,bottleneck-pressure-events.csv,IDENTICAL
faith50k-C0 V3OFFvsSTORED,budget-termination.properties,IDENTICAL
faith50k-C0 V3OFFvsSTORED,ca-ta-lite-events.log,IDENTICAL
faith50k-C0 V3OFFvsSTORED,cmax-audit-curves.csv,IDENTICAL
faith50k-C0 V3OFFvsSTORED,cmax-audit-records.csv,IDENTICAL
faith50k-C0 V3OFFvsSTORED,cmax-audit-summary.txt,IDENTICAL
faith50k-C0 V3OFFvsSTORED,configuration.txt,IDENTICAL
faith50k-C0 V3OFFvsSTORED,diagnosis-summary.properties,IDENTICAL
faith50k-C0 V3OFFvsSTORED,dscr-events.csv,IDENTICAL
faith50k-C0 V3OFFvsSTORED,dscr-summary.properties,IDENTICAL
faith50k-C0 V3OFFvsSTORED,dscr-teacher-uses.csv,IDENTICAL
faith50k-C0 V3OFFvsSTORED,formal-gate.properties,IDENTICAL
faith50k-C0 V3OFFvsSTORED,front.csv,IDENTICAL
faith50k-C0 V3OFFvsSTORED,initial-population.sha256,IDENTICAL
faith50k-C0 V3OFFvsSTORED,passive-archive.csv,IDENTICAL
faith50k-C0 V3OFFvsSTORED,passive-summary.properties,IDENTICAL
faith50k-C0 V3OFFvsSTORED,pddr-observation.properties,IDENTICAL
faith50k-C0 V3OFFvsSTORED,shadow-probes.csv,IDENTICAL
faith50k-C0 V3OFFvsSTORED,status.properties,IDENTICAL
faith20k-C2 V3OFFvsSTORED,bottleneck-pressure-events.csv,IDENTICAL
faith20k-C2 V3OFFvsSTORED,budget-termination.properties,IDENTICAL
faith20k-C2 V3OFFvsSTORED,ca-ta-lite-events.log,IDENTICAL
faith20k-C2 V3OFFvsSTORED,cmax-audit-curves.csv,IDENTICAL
faith20k-C2 V3OFFvsSTORED,cmax-audit-records.csv,IDENTICAL
faith20k-C2 V3OFFvsSTORED,cmax-audit-summary.txt,IDENTICAL
faith20k-C2 V3OFFvsSTORED,configuration.txt,IDENTICAL
faith20k-C2 V3OFFvsSTORED,diagnosis-summary.properties,IDENTICAL
faith20k-C2 V3OFFvsSTORED,dscr-events.csv,IDENTICAL
faith20k-C2 V3OFFvsSTORED,dscr-summary.properties,IDENTICAL
faith20k-C2 V3OFFvsSTORED,dscr-teacher-uses.csv,IDENTICAL
faith20k-C2 V3OFFvsSTORED,formal-gate.properties,IDENTICAL
faith20k-C2 V3OFFvsSTORED,front.csv,IDENTICAL
faith20k-C2 V3OFFvsSTORED,initial-population.sha256,IDENTICAL
faith20k-C2 V3OFFvsSTORED,passive-archive.csv,IDENTICAL
faith20k-C2 V3OFFvsSTORED,passive-summary.properties,IDENTICAL
faith20k-C2 V3OFFvsSTORED,pddr-observation.properties,IDENTICAL
faith20k-C2 V3OFFvsSTORED,shadow-probes.csv,IDENTICAL
faith20k-C2 V3OFFvsSTORED,status.properties,IDENTICAL
faith50k-C2 V3OFFvsSTORED,bottleneck-pressure-events.csv,IDENTICAL
faith50k-C2 V3OFFvsSTORED,budget-termination.properties,IDENTICAL
faith50k-C2 V3OFFvsSTORED,ca-ta-lite-events.log,IDENTICAL
faith50k-C2 V3OFFvsSTORED,cmax-audit-curves.csv,IDENTICAL
faith50k-C2 V3OFFvsSTORED,cmax-audit-records.csv,IDENTICAL
faith50k-C2 V3OFFvsSTORED,cmax-audit-summary.txt,IDENTICAL
faith50k-C2 V3OFFvsSTORED,configuration.txt,IDENTICAL
faith50k-C2 V3OFFvsSTORED,diagnosis-summary.properties,IDENTICAL
faith50k-C2 V3OFFvsSTORED,dscr-events.csv,IDENTICAL
faith50k-C2 V3OFFvsSTORED,dscr-summary.properties,IDENTICAL
faith50k-C2 V3OFFvsSTORED,dscr-teacher-uses.csv,IDENTICAL
faith50k-C2 V3OFFvsSTORED,formal-gate.properties,IDENTICAL
faith50k-C2 V3OFFvsSTORED,front.csv,IDENTICAL
faith50k-C2 V3OFFvsSTORED,initial-population.sha256,IDENTICAL
faith50k-C2 V3OFFvsSTORED,passive-archive.csv,IDENTICAL
faith50k-C2 V3OFFvsSTORED,passive-summary.properties,IDENTICAL
faith50k-C2 V3OFFvsSTORED,pddr-observation.properties,IDENTICAL
faith50k-C2 V3OFFvsSTORED,shadow-probes.csv,IDENTICAL
faith50k-C2 V3OFFvsSTORED,status.properties,IDENTICAL
faith20k-C3 V3OFFvsSTORED,bottleneck-pressure-events.csv,IDENTICAL
faith20k-C3 V3OFFvsSTORED,budget-termination.properties,IDENTICAL
faith20k-C3 V3OFFvsSTORED,ca-ta-lite-events.log,IDENTICAL
faith20k-C3 V3OFFvsSTORED,cmax-audit-curves.csv,IDENTICAL
faith20k-C3 V3OFFvsSTORED,cmax-audit-records.csv,IDENTICAL
faith20k-C3 V3OFFvsSTORED,cmax-audit-summary.txt,IDENTICAL
faith20k-C3 V3OFFvsSTORED,configuration.txt,IDENTICAL
faith20k-C3 V3OFFvsSTORED,diagnosis-summary.properties,IDENTICAL
faith20k-C3 V3OFFvsSTORED,dscr-events.csv,IDENTICAL
faith20k-C3 V3OFFvsSTORED,dscr-summary.properties,IDENTICAL
faith20k-C3 V3OFFvsSTORED,dscr-teacher-uses.csv,IDENTICAL
faith20k-C3 V3OFFvsSTORED,formal-gate.properties,IDENTICAL
faith20k-C3 V3OFFvsSTORED,front.csv,IDENTICAL
faith20k-C3 V3OFFvsSTORED,initial-population.sha256,IDENTICAL
faith20k-C3 V3OFFvsSTORED,passive-archive.csv,IDENTICAL
faith20k-C3 V3OFFvsSTORED,passive-summary.properties,IDENTICAL
faith20k-C3 V3OFFvsSTORED,pddr-observation.properties,IDENTICAL
faith20k-C3 V3OFFvsSTORED,shadow-probes.csv,IDENTICAL
faith20k-C3 V3OFFvsSTORED,status.properties,IDENTICAL
faith50k-C3 V3OFFvsSTORED,bottleneck-pressure-events.csv,IDENTICAL
faith50k-C3 V3OFFvsSTORED,budget-termination.properties,IDENTICAL
faith50k-C3 V3OFFvsSTORED,ca-ta-lite-events.log,IDENTICAL
faith50k-C3 V3OFFvsSTORED,cmax-audit-curves.csv,IDENTICAL
faith50k-C3 V3OFFvsSTORED,cmax-audit-records.csv,IDENTICAL
faith50k-C3 V3OFFvsSTORED,cmax-audit-summary.txt,IDENTICAL
faith50k-C3 V3OFFvsSTORED,configuration.txt,IDENTICAL
faith50k-C3 V3OFFvsSTORED,diagnosis-summary.properties,IDENTICAL
faith50k-C3 V3OFFvsSTORED,dscr-events.csv,IDENTICAL
faith50k-C3 V3OFFvsSTORED,dscr-summary.properties,IDENTICAL
faith50k-C3 V3OFFvsSTORED,dscr-teacher-uses.csv,IDENTICAL
faith50k-C3 V3OFFvsSTORED,formal-gate.properties,IDENTICAL
faith50k-C3 V3OFFvsSTORED,front.csv,IDENTICAL
faith50k-C3 V3OFFvsSTORED,initial-population.sha256,IDENTICAL
faith50k-C3 V3OFFvsSTORED,passive-archive.csv,IDENTICAL
faith50k-C3 V3OFFvsSTORED,passive-summary.properties,IDENTICAL
faith50k-C3 V3OFFvsSTORED,pddr-observation.properties,IDENTICAL
faith50k-C3 V3OFFvsSTORED,shadow-probes.csv,IDENTICAL
faith50k-C3 V3OFFvsSTORED,status.properties,IDENTICAL
