instance,seed,arm,windowEndFE,medianCmaxGap,maxCmaxGap,medianTecGap,maxTecGap,medianTwcGap,maxTwcGap,medianArchiveSize
100_2_4_1,20260902,A4,150000,0.0,0.0,100.76392206717719,203.50974011735525,482.3246332508861,811.6257473604492,242.0
100_2_4_1,20260902,A4,200000,0.0,0.0,144.37190755242045,204.42962741509837,467.4165819252812,532.9969935125118,230.0
100_2_4_1,20260902,A4,250000,0.0,2.4848801921295944,464.50393896750757,1214.5574388347013,165.26148242327326,361.5733410478715,290.0
100_2_4_1,20260903,A2,50000,0.0,0.0,0.0,0.0,0.0,0.0,104.0
100_2_4_1,20260903,A2,100000,0.0,0.0,0.0,0.0,56.18885573705484,112.37771147410967,91.0
100_2_4_1,20260903,A2,150000,0.0,0.0,0.0,0.0,0.0,0.0,81.0
100_2_4_1,20260903,A2,200000,0.0,0.0,0.0,0.0,0.0,0.0,118.0
100_2_4_1,20260903,A2,250000,0.0,0.0,0.0,0.0,23.285733779535803,46.57146755907161,148.0
100_2_4_1,20260903,A4,50000,0.0,23.248159090506306,144.64030690835352,379.4341298197469,466.6739202315075,3533.6235045670765,91.0
100_2_4_1,20260903,A4,100000,0.0,5.257953056042538,231.62467023349745,485.6306440460321,168.8247018550028,304.35260758725053,206.0
100_2_4_1,20260903,A4,150000,5.197152591901727,5.257953056042538,300.31732066109544,480.376904112949,113.97848034826166,341.8229002895969,283.0
100_2_4_1,20260903,A4,200000,4.901499174866103,5.184435783633717,101.50909841355315,178.01687305264932,165.44215746833652,211.7713599557028,303.0
100_2_4_1,20260903,A4,250000,1.7718498276129822,1.7718498276129822,102.18607743283064,134.36362045626447,359.1439885177824,455.86476991030213,375.0
100_5_3_1,20260901,A2,50000,0.0,0.0,0.0,0.0,0.0,0.0,79.0
100_5_3_1,20260901,A2,100000,0.0,0.0,380.26865373902547,706.0190766979649,0.0,0.0,147.5
100_5_3_1,20260901,A2,150000,0.0,0.0,0.0,0.0,0.0,0.0,196.0
100_5_3_1,20260901,A2,200000,0.0,0.0,0.0,0.0,0.0,0.0,199.5
100_5_3_1,20260901,A2,250000,2.065370439867081,4.130740879734162,329.27873141222517,353.5249561858509,1399.1730657733278,1399.1730657733278,263.0
100_5_3_1,20260901,A4,50000,0.0,0.0,831.6106262903195,2697.984101158174,2791.403725597076,4662.756729674584,146.0
100_5_3_1,20260901,A4,100000,9.412285180517642,9.412285180517642,385.53764861493255,836.3902041080437,3173.6700752793113,5138.379939642327,289.0
100_5_3_1,20260901,A4,150000,0.0,0.0,526.1797686297796,816.0182581307745,689.4608941056067,2035.242376335489,318.0
100_5_3_1,20260901,A4,200000,0.0,0.0,125.83883029357821,420.89873110728513,1631.4246817235835,1839.6021391985705,307.0
100_5_3_1,20260901,A4,250000,0.0,0.0,510.90479618363315,510.90479618363315,1871.4964724049787,1956.3702554748743,309.0
100_5_3_1,20260902,A2,50000,0.0,0.0,0.0,0.0,0.0,0.0,88.0
100_5_3_1,20260902,A2,100000,0.0,0.0,0.0,0.0,0.0,0.0,147.0
100_5_3_1,20260902,A2,150000,0.0,0.0,0.0,0.0,0.0,0.0,189.0
100_5_3_1,20260902,A2,200000,42.49848253026113,84.99696506052226,106.0346007808912,212.0692015617824,1772.5676260507025,2786.3809506244143,196.5
100_5_3_1,20260902,A2,250000,63.027192449122765,84.99696506052226,220.40945144178113,433.89790081308456,1448.5263897759723,1448.5263897759723,225.5
100_5_3_1,20260902,A4,50000,0.0,0.0,530.8470119891717,899.7967373195715,2638.06142156478,8379.944636644446,89.0
100_5_3_1,20260902,A4,100000,0.0,4.801523636939805,352.1011586724053,636.0614339665626,2275.568320105842,3426.04270933324,213.0
100_5_3_1,20260902,A4,150000,0.9704604732603457,0.9704604732603457,313.5178596918995,538.6484287189523,1850.5243108170107,2654.322262881149,319.0
100_5_3_1,20260902,A4,200000,0.9704604732603457,0.9704604732603457,399.0186629429227,423.3787644843396,1782.2919471409987,3173.1424669452826,350.0
100_5_3_1,20260902,A4,250000,0.9704604732603457,1.680091878285566,199.15279896685388,501.28434904897586,1924.483528794197,2225.2956100637093,395.0
100_5_3_1,20260903,A2,50000,0.0,0.0,0.0,0.0,0.0,0.0,69.0
100_5_3_1,20260903,A2,100000,0.0,0.0,147.80375114886556,295.6075022977311,0.0,0.0,102.5
100_5_3_1,20260903,A2,150000,0.0,0.0,0.0,0.0,0.0,0.0,140.0
100_5_3_1,20260903,A2,200000,3.0517770984246795,6.103554196849359,62.928185047145234,125.85637009429047,0.0,0.0,173.5
100_5_3_1,20260903,A2,250000,6.103554196849359,6.103554196849359,4.691217154140759,9.382434308281518,0.0,0.0,170.0
100_5_3_1,20260903,A4,50000,0.0,0.0,646.6223755639221,1544.752005530885,4388.290366215981,5767.051097523945,152.0
100_5_3_1,20260903,A4,100000,0.0,0.0,503.849343837006,586.1085297245154,663.1889269700041,3306.431832030299,240.0
100_5_3_1,20260903,A4,150000,0.0,0.0,362.9147691602411,485.51566392587847,523.6573509264272,2276.580565159209,336.0
100_5_3_1,20260903,A4,200000,0.0,0.0,208.0993129266717,320.7001484257635,2859.955853576539,3439.002889106516,372.0
100_5_3_1,20260903,A4,250000,0.0,0.0,308.4976703913999,476.808462238012,1869.8368349860539,1994.5395791195915,369.0
