instance,seed,checkpointFE,A2_minCmax,A4_minCmax,deltaCmaxBetter,A2_HV,A4_HV,deltaHVBetter,A2_IGD,A4_IGD,deltaIGDBetter,jointA4Worse
100_2_4_1,20260902,250000,618.4355074031091,595.2081205114579,0.03755830092807259,0.4306809410200716,0.4013432306919035,-0.06811936060760315,0.27340152607814294,0.23873820733195492,0.12678538866780373,false
100_2_4_1,20260903,25000,614.5250684363914,605.4384931986937,0.014786337782472852,0.08246719481784859,0.10193309991894278,0.236044225150255,0.5850331403856298,0.6065655471177159,-0.03680544783820766,false
100_2_4_1,20260903,50000,600.5778129881518,593.4428722062963,0.011880127150145333,0.2614667370372994,0.3345754042100336,0.27960981959362946,0.3347277519573823,0.2725229444615188,0.18583701868790203,false
100_2_4_1,20260903,75000,600.5778129881518,593.4428722062963,0.011880127150145333,0.3321280285572044,0.4244437973235574,0.27795235821373293,0.2618769363699532,0.21291111454386893,0.18698027594499694,false
100_2_4_1,20260903,100000,600.5778129881518,592.9502808536482,0.012700322871657647,0.5116468722578486,0.5114473151381222,-0.0003900290034915583,0.16168920458249653,0.14436486481576044,0.10714592734542719,false
100_2_4_1,20260903,125000,600.5778129881518,592.9502808536482,0.012700322871657647,0.5228603839302945,0.566793241434542,0.08402407000891543,0.15471997189096254,0.10926886618815687,0.29376366313482083,false
100_2_4_1,20260903,150000,600.5778129881518,592.9502808536482,0.012700322871657647,0.554993660403581,0.6186842343626087,0.11475910177552852,0.13893905853676117,0.08308518578389963,0.40200267182668037,false
100_2_4_1,20260903,175000,600.5778129881518,592.9502808536482,0.012700322871657647,0.6120345077325805,0.6557940464586025,0.07149848280310053,0.12457293194502815,0.06685412499192861,0.4633334549641156,false
100_2_4_1,20260903,200000,600.5778129881518,592.9502808536482,0.012700322871657647,0.6368655900852043,0.6933740836447259,0.08872907319731545,0.11694944196388622,0.05291410026531966,0.5475472188943027,false
100_2_4_1,20260903,225000,598.5782982772212,592.9502808536482,0.009402307834699385,0.6560440237589888,0.7230490888331159,0.1021350132727415,0.11443954122044517,0.046390151917914936,0.59463179052288,false
100_2_4_1,20260903,250000,598.5782982772212,592.9502808536482,0.009402307834699385,0.669781444693334,0.745705573349974,0.1133565721448175,0.11701561056816932,0.036833875442577164,0.6852225505321018,false
100_5_3_1,20260901,25000,821.8936726292303,776.8749579141363,0.054774378017876144,0.3870463765148143,0.27499953888053735,-0.2894920206803392,0.31546341074602685,0.44813406768406,-0.42055798681782336,true
100_5_3_1,20260901,50000,802.7420863712446,772.9455536380596,0.037118438461198354,0.538518976929273,0.35779535356101094,-0.3355937879826983,0.1863084886497836,0.31889165468252156,-0.7116324489216554,true
100_5_3_1,20260901,75000,790.0168355867415,772.9455536380596,0.021608757155160155,0.6134413894981522,0.4145585224585327,-0.32420842552264495,0.13532575209428088,0.263146588461911,-0.9445418509743652,true
100_5_3_1,20260901,100000,790.0168355867415,771.3558061981317,0.02362105280294481,0.6497507321614597,0.45716392671706785,-0.29640105953206536,0.10117152033181766,0.22589436699400384,-1.2327861265020628,true
100_5_3_1,20260901,125000,790.0168355867415,771.3558061981317,0.02362105280294481,0.6603747843279,0.5011685923120426,-0.2410846019474992,0.09378328326156317,0.18629443581113736,-0.9864354214552183,true
100_5_3_1,20260901,150000,790.0168355867415,771.3558061981317,0.02362105280294481,0.7287696241368029,0.5467645559889974,-0.24974293949666584,0.054175637959039805,0.15900412342746753,-1.9349746383731496,true
100_5_3_1,20260901,175000,785.8860947070074,761.9763239699076,0.030423964615398535,0.7639843700328002,0.5779776535490111,-0.24346926950325337,0.04082447018261417,0.13475890068250665,-2.30093446601289,true
100_5_3_1,20260901,200000,785.8860947070074,761.9763239699076,0.030423964615398535,0.7846122165294775,0.5865627259134469,-0.2524170366503463,0.03136534586721384,0.1389920088146475,-3.4313877297280397,true
100_5_3_1,20260901,225000,785.8860947070074,761.9763239699076,0.030423964615398535,0.7846122165294775,0.5911404729350827,-0.2465826296334837,0.03136534586721384,0.13818827663836997,-3.40576288313205,true
100_5_3_1,20260901,250000,785.8860947070074,761.3825230832067,0.0311795459785251,0.7894076323043264,0.5977268578035683,-0.24281596308010212,0.03031676216940844,0.13209840201634412,-3.3572727614573528,true
100_5_3_1,20260902,25000,820.3776527123916,769.5531325373788,0.061952589770056674,0.32549086478781714,0.2910186617081635,-0.10590835814125103,0.35108374269364884,0.3811768979251714,-0.08571503482512849,true
100_5_3_1,20260902,50000,785.6732528453233,769.0191270594423,0.021197267089808517,0.4642916039549712,0.4497202232221896,-0.031384114226185374,0.2234277436788075,0.2631290847626028,-0.17769208259502767,true
100_5_3_1,20260902,75000,785.6732528453233,764.2176034225025,0.027308616330158804,0.540401394990522,0.4943171732815095,-0.08527776230078156,0.17261157496259735,0.21659458823305575,-0.25480917649925233,true
100_5_3_1,20260902,100000,783.6097406875377,764.2176034225025,0.024747187609001124,0.5638381407120864,0.516167971694619,-0.08454583962210042,0.16162670274659943,0.1812646319487962,-0.12150176219943912,true
100_5_3_1,20260902,125000,783.6097406875377,764.2176034225025,0.024747187609001124,0.5666951073868665,0.5298300017114084,-0.0650528038709382,0.15873181245464676,0.1647106378991996,-0.03766620787664172,true
100_5_3_1,20260902,150000,783.6097406875377,764.2176034225025,0.024747187609001124,0.5759915573545482,0.5473394786230401,-0.049743921357290805,0.14722714944218473,0.15028251534052134,-0.020752734192795254,true
100_5_3_1,20260902,175000,783.6097406875377,764.2176034225025,0.024747187609001124,0.5941481507768847,0.5633634153179959,-0.0518132311253276,0.1298560697150093,0.1379381987555528,-0.06223913181941422,true
100_5_3_1,20260902,200000,783.6097406875377,764.2176034225025,0.024747187609001124,0.6004997925182418,0.5725919570621658,-0.04647434654230664,0.12147594014158121,0.1348905453332387,-0.11043014094826221,true
100_5_3_1,20260902,225000,783.6097406875377,764.2176034225025,0.024747187609001124,0.6004997925182418,0.5876807747668146,-0.021347247594657295,0.12147594014158121,0.12820241081100803,-0.05537286364350884,true
100_5_3_1,20260902,250000,783.6097406875377,764.2176034225025,0.024747187609001124,0.6102439888862583,0.593816714600053,-0.026919190660421415,0.11466359022055123,0.12032138912542782,-0.049342593354996356,true
100_5_3_1,20260903,25000,823.4556215460819,786.4353927130601,0.04495716328162822,0.32977245594077775,0.3679478401754023,0.11576280416057627,0.3614049968206969,0.32000502495314426,0.11455284855425589,false
100_5_3_1,20260903,50000,791.8843638603888,774.0030984135617,0.02258065225540888,0.5004670819129791,0.47247506053527344,-0.055931793297391855,0.2214436635066224,0.20149246459134423,0.09009604790376632,false
100_5_3_1,20260903,75000,791.8843638603888,772.1814773152729,0.024881014759611523,0.5810764809816547,0.5680093835718982,-0.022487741007313232,0.14578871718987868,0.13338567436550627,0.08507546443541573,false
100_5_3_1,20260903,100000,791.8843638603888,772.1814773152729,0.024881014759611523,0.6312972168968931,0.6112687173310654,-0.03172594307365514,0.12242389198198446,0.10486357857467794,0.14343861417092213,false
100_5_3_1,20260903,125000,791.8843638603888,771.0258767877992,0.02634031940080962,0.6506821495134532,0.6233272685708968,-0.04204031255968973,0.1008185369084718,0.10122383230993655,-0.0040200484344728995,true
100_5_3_1,20260903,150000,791.4040602683089,771.0258767877992,0.025749404764995553,0.7022826307857698,0.6532242660918683,-0.06985558597542281,0.09054688103145103,0.090012112515748,0.005905984939638921,false
100_5_3_1,20260903,175000,785.3005060714595,771.0258767877992,0.018177282674972987,0.729816840919251,0.6641714685643282,-0.08994773575276545,0.07406037389283879,0.0857001563379268,-0.15716613126920104,true
100_5_3_1,20260903,200000,785.3005060714595,765.6810942958559,0.024983317372035758,0.7330010160204941,0.6748949663886513,-0.07927144487098248,0.0697672105948947,0.08127697763893717,-0.1649738744877484,true
100_5_3_1,20260903,225000,785.3005060714595,765.6810942958559,0.024983317372035758,0.7330010160204941,0.6850577543141261,-0.06540681480450708,0.0697672105948947,0.07910629758891269,-0.13386069063654651,true
100_5_3_1,20260903,250000,785.3005060714595,765.6810942958559,0.024983317372035758,0.7493823170279112,0.6872551000279806,-0.08290456765290427,0.06850758307400588,0.0774366796564705,-0.13033734634629987,true
