instance,seed,arm,cycle,FE,windowEndFE,poolSize,uniqueObjectiveCount,strictNdCount,selectedCount
100_2_4_1,20260902,A2,6,188552,200000,300,250,46,100
100_2_4_1,20260902,A2,7,219379,250000,300,254,50,100
100_2_4_1,20260902,A2,8,250000,250000,297,245,52,100
100_2_4_1,20260902,A4,1,6768,50000,268,213,16,100
100_2_4_1,20260902,A4,2,13442,50000,255,208,28,100
100_2_4_1,20260902,A4,3,20128,50000,241,203,41,100
100_2_4_1,20260902,A4,4,26830,50000,245,208,46,100
100_2_4_1,20260902,A4,5,33554,50000,231,192,50,100
100_2_4_1,20260902,A4,6,40306,50000,242,200,54,100
100_2_4_1,20260902,A4,7,47091,50000,235,194,55,100
100_2_4_1,20260902,A4,8,53915,100000,243,195,59,100
100_2_4_1,20260902,A4,9,60785,100000,239,195,52,100
100_2_4_1,20260902,A4,10,67707,100000,247,203,60,100
100_2_4_1,20260902,A4,11,74688,100000,242,201,60,100
100_2_4_1,20260902,A4,12,81736,100000,256,215,62,100
100_2_4_1,20260902,A4,13,88860,100000,254,212,62,100
100_2_4_1,20260902,A4,14,96068,100000,267,231,59,100
100_2_4_1,20260902,A4,15,103371,150000,263,229,63,100
100_2_4_1,20260902,A4,16,110780,150000,256,222,69,100
100_2_4_1,20260902,A4,17,118307,150000,267,231,62,100
100_2_4_1,20260902,A4,18,125967,150000,263,226,65,100
100_2_4_1,20260902,A4,19,133776,150000,258,220,66,100
100_2_4_1,20260902,A4,20,141753,150000,261,226,75,100
100_2_4_1,20260902,A4,21,149920,150000,267,232,59,100
100_2_4_1,20260902,A4,22,158303,200000,257,227,68,100
100_2_4_1,20260902,A4,23,166933,200000,249,217,57,100
100_2_4_1,20260902,A4,24,175848,200000,244,203,56,100
100_2_4_1,20260902,A4,25,185095,200000,246,210,52,100
100_2_4_1,20260902,A4,26,194733,200000,251,213,63,100
100_2_4_1,20260902,A4,27,204840,250000,255,218,62,100
100_2_4_1,20260902,A4,28,215519,250000,257,220,70,100
100_2_4_1,20260902,A4,29,226914,250000,257,224,72,100
100_2_4_1,20260902,A4,30,239235,250000,270,235,78,100
100_2_4_1,20260902,A4,31,250000,250000,268,232,68,100
100_2_4_1,20260903,A2,1,32056,50000,300,245,54,100
100_2_4_1,20260903,A2,2,64050,100000,300,272,46,100
100_2_4_1,20260903,A2,3,95803,100000,300,266,44,100
100_2_4_1,20260903,A2,4,127613,150000,300,259,54,100
100_2_4_1,20260903,A2,5,158967,200000,300,261,46,100
100_2_4_1,20260903,A2,6,190206,200000,300,257,57,100
100_2_4_1,20260903,A2,7,221706,250000,300,256,61,100
100_2_4_1,20260903,A2,8,250000,250000,290,247,64,100
100_2_4_1,20260903,A4,1,6768,50000,265,210,10,100
100_2_4_1,20260903,A4,2,13442,50000,254,202,26,100
100_2_4_1,20260903,A4,3,20128,50000,246,207,25,100
100_2_4_1,20260903,A4,4,26830,50000,262,224,25,100
100_2_4_1,20260903,A4,5,33554,50000,262,225,47,100
100_2_4_1,20260903,A4,6,40306,50000,268,229,45,100
100_2_4_1,20260903,A4,7,47091,50000,266,227,51,100
100_2_4_1,20260903,A4,8,53915,100000,267,211,52,100
100_2_4_1,20260903,A4,9,60785,100000,266,229,67,100
100_2_4_1,20260903,A4,10,67707,100000,260,222,61,100
100_2_4_1,20260903,A4,11,74688,100000,268,225,63,100
100_2_4_1,20260903,A4,12,81736,100000,269,229,70,100
100_2_4_1,20260903,A4,13,88860,100000,249,206,58,100
100_2_4_1,20260903,A4,14,96068,100000,256,205,65,100
100_2_4_1,20260903,A4,15,103371,150000,254,207,63,100
100_2_4_1,20260903,A4,16,110780,150000,258,215,66,100
100_2_4_1,20260903,A4,17,118307,150000,254,210,52,100
100_2_4_1,20260903,A4,18,125967,150000,249,205,54,100
100_2_4_1,20260903,A4,19,133776,150000,253,210,64,100
100_2_4_1,20260903,A4,20,141753,150000,254,213,68,100
100_2_4_1,20260903,A4,21,149920,150000,255,209,61,100
100_2_4_1,20260903,A4,22,158303,200000,261,219,66,100
100_2_4_1,20260903,A4,23,166933,200000,254,209,66,100
100_2_4_1,20260903,A4,24,175848,200000,260,216,70,100
100_2_4_1,20260903,A4,25,185095,200000,259,219,67,100
100_2_4_1,20260903,A4,26,194733,200000,265,228,64,100
100_2_4_1,20260903,A4,27,204840,250000,266,229,73,100
100_2_4_1,20260903,A4,28,215519,250000,265,226,74,100
100_2_4_1,20260903,A4,29,226914,250000,264,224,77,100
100_2_4_1,20260903,A4,30,239235,250000,264,222,65,100
100_2_4_1,20260903,A4,31,250000,250000,258,224,66,100
100_5_3_1,20260901,A2,1,32295,50000,300,244,40,100
100_5_3_1,20260901,A2,2,64495,100000,299,265,42,100
100_5_3_1,20260901,A2,3,96680,100000,299,257,59,100
100_5_3_1,20260901,A2,4,128867,150000,300,260,64,100
100_5_3_1,20260901,A2,5,161067,200000,300,253,67,100
100_5_3_1,20260901,A2,6,193267,200000,299,263,73,100
100_5_3_1,20260901,A2,7,225463,250000,300,259,75,100
100_5_3_1,20260901,A2,8,250000,250000,272,231,68,100
100_5_3_1,20260901,A4,1,6768,50000,263,207,16,100
100_5_3_1,20260901,A4,2,13442,50000,259,213,29,100
100_5_3_1,20260901,A4,3,20128,50000,256,215,44,100
100_5_3_1,20260901,A4,4,26830,50000,248,209,48,100
100_5_3_1,20260901,A4,5,33554,50000,251,210,59,100
100_5_3_1,20260901,A4,6,40306,50000,259,222,68,100
100_5_3_1,20260901,A4,7,47091,50000,260,224,71,100
100_5_3_1,20260901,A4,8,53915,100000,258,220,76,100
100_5_3_1,20260901,A4,9,60785,100000,248,208,81,100
100_5_3_1,20260901,A4,10,67707,100000,250,211,68,100
100_5_3_1,20260901,A4,11,74688,100000,251,206,64,100
100_5_3_1,20260901,A4,12,81736,100000,254,209,60,100
100_5_3_1,20260901,A4,13,88860,100000,253,211,62,100
100_5_3_1,20260901,A4,14,96068,100000,247,205,68,100
100_5_3_1,20260901,A4,15,103371,150000,256,217,71,100
100_5_3_1,20260901,A4,16,110780,150000,245,202,71,100
100_5_3_1,20260901,A4,17,118307,150000,256,215,66,100
100_5_3_1,20260901,A4,18,125967,150000,256,222,72,100
100_5_3_1,20260901,A4,19,133776,150000,263,212,57,100
100_5_3_1,20260901,A4,20,141753,150000,257,206,51,100
100_5_3_1,20260901,A4,21,149920,150000,267,226,51,100
100_5_3_1,20260901,A4,22,158303,200000,263,222,53,100
100_5_3_1,20260901,A4,23,166933,200000,253,211,58,100
100_5_3_1,20260901,A4,24,175848,200000,253,207,49,100
100_5_3_1,20260901,A4,25,185095,200000,256,215,55,100
100_5_3_1,20260901,A4,26,194733,200000,254,208,53,100
100_5_3_1,20260901,A4,27,204840,250000,251,196,59,100
100_5_3_1,20260901,A4,28,215519,250000,250,191,58,100
100_5_3_1,20260901,A4,29,226914,250000,251,199,63,100
100_5_3_1,20260901,A4,30,239235,250000,255,205,59,100
100_5_3_1,20260901,A4,31,250000,250000,251,198,60,100
100_5_3_1,20260902,A2,1,32276,50000,300,244,59,100
100_5_3_1,20260902,A2,2,64472,100000,300,270,64,100
100_5_3_1,20260902,A2,3,96672,100000,300,267,70,100
100_5_3_1,20260902,A2,4,128871,150000,300,266,76,100
100_5_3_1,20260902,A2,5,161070,200000,300,270,79,100
100_5_3_1,20260902,A2,6,193247,200000,300,266,86,100
100_5_3_1,20260902,A2,7,225447,250000,300,267,92,100
100_5_3_1,20260902,A2,8,250000,250000,272,239,79,100
100_5_3_1,20260902,A4,1,6768,50000,275,219,21,100
100_5_3_1,20260902,A4,2,13442,50000,261,222,34,100
100_5_3_1,20260902,A4,3,20128,50000,256,218,43,100
100_5_3_1,20260902,A4,4,26830,50000,257,215,41,100
100_5_3_1,20260902,A4,5,33554,50000,271,230,41,100
100_5_3_1,20260902,A4,6,40306,50000,250,205,40,100
100_5_3_1,20260902,A4,7,47091,50000,260,213,52,100
100_5_3_1,20260902,A4,8,53915,100000,262,215,48,100
100_5_3_1,20260902,A4,9,60785,100000,257,213,62,100
100_5_3_1,20260902,A4,10,67707,100000,265,223,65,100
100_5_3_1,20260902,A4,11,74688,100000,265,224,64,100
100_5_3_1,20260902,A4,12,81736,100000,256,217,68,100
100_5_3_1,20260902,A4,13,88860,100000,263,222,72,100
100_5_3_1,20260902,A4,14,96068,100000,258,222,61,100
100_5_3_1,20260902,A4,15,103371,150000,263,226,71,100
100_5_3_1,20260902,A4,16,110780,150000,262,220,60,100
100_5_3_1,20260902,A4,17,118307,150000,265,227,64,100
100_5_3_1,20260902,A4,18,125967,150000,254,216,63,100
100_5_3_1,20260902,A4,19,133776,150000,256,215,59,100
100_5_3_1,20260902,A4,20,141753,150000,256,218,59,100
100_5_3_1,20260902,A4,21,149920,150000,256,217,65,100
100_5_3_1,20260902,A4,22,158303,200000,259,214,71,100
100_5_3_1,20260902,A4,23,166933,200000,254,215,66,100
100_5_3_1,20260902,A4,24,175848,200000,262,223,61,100
100_5_3_1,20260902,A4,25,185095,200000,255,215,74,100
100_5_3_1,20260902,A4,26,194733,200000,257,216,64,100
100_5_3_1,20260902,A4,27,204840,250000,260,217,73,100
100_5_3_1,20260902,A4,28,215519,250000,260,222,68,100
100_5_3_1,20260902,A4,29,226914,250000,269,235,80,100
100_5_3_1,20260902,A4,30,239235,250000,270,234,77,100
100_5_3_1,20260902,A4,31,250000,250000,267,229,72,100
100_5_3_1,20260903,A2,1,32295,50000,300,242,49,100
100_5_3_1,20260903,A2,2,64493,100000,300,272,53,100
100_5_3_1,20260903,A2,3,96653,100000,300,264,61,100
100_5_3_1,20260903,A2,4,128826,150000,300,263,69,100
100_5_3_1,20260903,A2,5,161019,200000,300,265,73,100
100_5_3_1,20260903,A2,6,193215,200000,300,261,77,100
100_5_3_1,20260903,A2,7,225387,250000,300,267,78,100
100_5_3_1,20260903,A2,8,250000,250000,273,239,66,100
100_5_3_1,20260903,A4,1,6768,50000,262,204,15,100
100_5_3_1,20260903,A4,2,13442,50000,260,216,32,100
100_5_3_1,20260903,A4,3,20128,50000,255,215,48,100
100_5_3_1,20260903,A4,4,26830,50000,246,207,60,100
100_5_3_1,20260903,A4,5,33554,50000,249,202,55,100
100_5_3_1,20260903,A4,6,40306,50000,252,210,58,100
100_5_3_1,20260903,A4,7,47091,50000,247,204,53,100
100_5_3_1,20260903,A4,8,53915,100000,254,205,64,100
100_5_3_1,20260903,A4,9,60785,100000,250,204,55,100
100_5_3_1,20260903,A4,10,67707,100000,249,200,70,100
100_5_3_1,20260903,A4,11,74688,100000,258,208,68,100
100_5_3_1,20260903,A4,12,81736,100000,258,216,71,100
100_5_3_1,20260903,A4,13,88860,100000,249,207,50,100
100_5_3_1,20260903,A4,14,96068,100000,247,209,64,100
100_5_3_1,20260903,A4,15,103371,150000,254,210,61,100
100_5_3_1,20260903,A4,16,110780,150000,257,213,65,100
100_5_3_1,20260903,A4,17,118307,150000,255,207,61,100
100_5_3_1,20260903,A4,18,125967,150000,251,204,66,100
100_5_3_1,20260903,A4,19,133776,150000,255,212,64,100
100_5_3_1,20260903,A4,20,141753,150000,250,197,61,100
100_5_3_1,20260903,A4,21,149920,150000,253,206,72,100
100_5_3_1,20260903,A4,22,158303,200000,248,206,69,100
100_5_3_1,20260903,A4,23,166933,200000,255,214,67,100
100_5_3_1,20260903,A4,24,175848,200000,253,202,67,100
100_5_3_1,20260903,A4,25,185095,200000,253,207,65,100
100_5_3_1,20260903,A4,26,194733,200000,259,211,67,100
100_5_3_1,20260903,A4,27,204840,250000,256,214,67,100
100_5_3_1,20260903,A4,28,215519,250000,252,210,64,100
100_5_3_1,20260903,A4,29,226914,250000,261,214,64,100
100_5_3_1,20260903,A4,30,239235,250000,259,218,78,100
100_5_3_1,20260903,A4,31,250000,250000,257,216,72,100
