artifactKind	artifactName	archivePath	bytes	sha256	sourceFileCount	verificationStatus
remote-campaigns	zhangbo-p86-pair-100k-20260811.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-p86-pair-100k-20260811.tar.gz	45740524	17A7BD9B30B756B2145AE0CBF577F1169D282E8B661162B64DFD5804829D4A77	123	VERIFIED
remote-campaigns	zhangbo-runtime-audit-100k-20260810.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-runtime-audit-100k-20260810.tar.gz	1120042	022F7F8F710CBD6020654A48E8E60F97F9B1E4EB36E72D6C926B1B8693BC4788	24	VERIFIED
remote-campaigns	zhangbo-v35-doe1-20260820.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-doe1-20260820.tar.gz	887844164	BF12E1ED5F8AE5B640FE886C18046BD6E9BAC7F52BD4F8A7F3217BCEE23EC1C8	2056	VERIFIED
remote-campaigns	zhangbo-v35-doe1-heldout-20260822.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-doe1-heldout-20260822.tar.gz	165208082	03DBDF3271E5CED570B59E32AE88C92A0D1DD8048C25FF82EEA5201DB3CBA4C2	1577	VERIFIED
remote-campaigns	zhangbo-v35-p25a-main-variant-20260814.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-p25a-main-variant-20260814.tar.gz	51574795	7F2BA53DD606E7B6FB1E249F42D19BB1F537076B9B67F12839859B93FC402D9C	270	VERIFIED
remote-campaigns	zhangbo-v35-p25d-8alg-50k-20260815.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-p25d-8alg-50k-20260815.tar.gz	46882603	B956E22F3595F5DE6C3678D8CBCA3C481F3FCD1810674920A23EC47649EFAA57	443	VERIFIED
remote-campaigns	zhangbo-v35-p25e-corrected-50k-20260815.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-p25e-corrected-50k-20260815.tar.gz	348679433	34A026A33D8A5B1F38568303D4AFE342C17C8319EF8863854E7CBD8F3733A631	4963	VERIFIED
remote-campaigns	zhangbo-v35-stage2-master-v2-20260823.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-stage2-master-v2-20260823.tar.gz	157558780	0202356F28C7013894FB14B7347EB77A66243AD9312139CD0FE2A62F24CAD5FB	6769	VERIFIED
remote-campaigns	zhangbo-v35-stage2-phasebudget-20260823-r2.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-stage2-phasebudget-20260823-r2.tar.gz	45757238	EB369BE45716D5C5AA4E8285488B1732D7C7C19E68B5DC7F5CA710DD4B61F68C	21	VERIFIED
remote-campaigns	zhangbo-v35-stage2-phasebudget-20260823-r3.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-stage2-phasebudget-20260823-r3.tar.gz	51174630	292512DCFC2532F661D179257C976EEFD61FA8D3A192869BC63EA3A280475A21	1194	VERIFIED
remote-campaigns	zhangbo-v35-stage2-phasebudget-20260823.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-v35-stage2-phasebudget-20260823.tar.gz	45764587	AC00AE98EC3178969A84C81B4BFA6AE7EA65A55A9ACE5FC6B940C5455F2CB609	21	VERIFIED
