actualFE,nominalFE,outerCycle,qRound,eventType,subjectFingerprint,relatedFingerprint,source,action,detail
136,25000,0,0,GENERATED,adc63fa277a06970c3d655e0ce9f9e72850ff8a334990038f527415924c8613d,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
137,25000,0,0,GENERATED,fe6c4f26ed3ef64e8bd8827d243f2cc13e07a3a4b3f1fbf3c4048b105c8ffc4b,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
138,25000,0,0,GENERATED,0f99de9b5aad2da0c5198c2b0f57012b20a72064f3dc03aff575e167859a1bf6,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
139,25000,0,0,GENERATED,40ad69944c5082839d9b2b574e3cde79c044212a36bd7ef6b013c6d9a2b6f1af,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
140,25000,0,0,GENERATED,2d9ce6e5299df5924a6764e5e06655116a66d3c6c8bc570559b2852bac15e6aa,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
141,25000,0,0,GENERATED,6948af85fb91e1a8f09a2cffd435e72af841b5cddf6542f7cbad1999f15b1afa,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
142,25000,0,0,GENERATED,ae4651f381079920cb21852b75debd64f2bd030cfcd5a3eee733e5b2847eb25e,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
143,25000,0,0,GENERATED,d3c18de7e33b3304ef54501b4bfa6982bf0316d5431deba5458b1f4fed78d46f,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
144,25000,0,0,GENERATED,791bdf7e4d9d58a00bb88d41c23484c35c8cec1a8a5242dcdd79d3e7331ce853,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
145,25000,0,0,GENERATED,29d3a20dd18a96213167cbe11eda7aa7e8902543f592c2fe44d51187660b5db6,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
146,25000,0,0,GENERATED,b79a59032c1f24e76da8928f6531b35c650c8e1a5b9c1e131d2c37fa22f8edb1,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
147,25000,0,0,GENERATED,fe73d85a71bf07dc836471f18d7771ab85507fdfdd29320cba9f93f059d997be,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
148,25000,0,0,GENERATED,aec345eacb99b3391d1fb0801a6d9896ea4a53530f22176331345c159137a0ca,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
149,25000,0,0,GENERATED,6b463f4453eec6d375e87e9582e57286a638781d7a6a7725e0231a6cf6857f3a,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
150,25000,0,0,GENERATED,954ff4374ad2353789abcc6a86c587ebdbf5856a827c393e26aa7013f99181ca,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
151,25000,0,0,GENERATED,ecd6f9bb2ef10e3d67d8ec913ef31d411459bb8aa734309ebabb2018227fb360,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
152,25000,0,0,GENERATED,4e3bc14595cd0601b2ec6f22d554be36d4cce9e97d19a3d9a29fb588408e700c,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
