tag,instance,arm,seed,budget,fullEvaluations,frontSize,HV,IGD,SP,minCmax,minTEC,minTWC,outerCycles,localFraction,localFE,qgTdUpdates,qpTransitions,caTaLiteTest,caTaLiteApply,cfvfOffspring,fm3Previews,proxyPreviews,runNanos,runSeconds
fc2-500k-remote,20_2_3_1,legacy,20260824,500000,500000,398,0.865338,0.052295,76.289497,191.57,8479.66,12416.74,18,0.811628,405814,2000,40000,2917,1169,90000,3275,0,246833243636,246.833243636
fc2-500k-remote,20_2_3_1,pacing,20260822,500000,500000,622,0.893837,0.041077,51.633924,188.39,8303.47,12737.04,62,0.354932,177466,6960,136000,7894,4540,310000,11893,0,2130189823504,2130.189823504
fc2-500k-remote,20_2_3_1,pacing,20260823,500000,500000,613,0.929646,0.024501,62.951474,175.7,8339.28,12457.12,62,0.35081,175405,6960,136000,10608,3887,310000,10942,0,2075822402761,2075.822402761
fc2-500k-remote,20_2_3_1,pacing,20260824,500000,500000,601,0.868768,0.049083,63.271264,195.7,8355.0,12421.85,62,0.353168,176584,6960,136000,9048,4268,310000,11620,0,2285598131736,2285.598131736
fc2-500k-remote,50_2_3_1,legacy,20260822,500000,496495,344,0.779542,0.09844,97.448933,323.63,21140.25,32632.22,19,0.798449128390014,396426,2200,40000,3945,1024,95000,3107,0,491612524434,491.612524434
fc2-500k-remote,50_2_3_1,legacy,20260823,500000,500000,321,0.860567,0.073427,88.278527,319.36,20537.1,32879.58,20,0.790592,395296,2280,43000,3326,1278,100000,3623,0,595879268535,595.879268535
fc2-500k-remote,50_2_3_1,legacy,20260824,500000,500000,347,0.871588,0.083614,107.279517,334.78,20548.26,32230.05,19,0.8008,400400,2200,40000,3328,1172,95000,3321,0,667354913825,667.354913825
fc2-500k-remote,50_2_3_1,pacing,20260822,500000,500000,701,0.965406,0.028362,65.789495,316.62,20609.57,32109.3,62,0.346994,173497,6960,136000,13091,3312,310000,10214,0,6247189876140,6247.18987614
fc2-500k-remote,50_2_3_1,pacing,20260823,500000,500000,568,0.901708,0.056067,78.374776,318.04,20846.48,32192.28,62,0.346984,173492,6960,136000,13131,3277,310000,9869,0,4238742557422,4238.742557422
fc2-500k-remote,50_2_3_1,pacing,20260824,500000,500000,733,0.881207,0.053793,67.789078,317.6,20499.67,33352.88,62,0.346368,173184,6960,136000,13532,3184,310000,10037,0,5718612284015,5718.612284015
fc2-500k-remote,100_2_3_1,legacy,20260822,500000,500000,131,0.535081,0.295401,629.882065,789.67,46146.66,97818.13,17,0.8238,411900,1900,37500,1629,1371,85000,3383,0,325173911294,325.173911294
