runId,instance,seed,arm,status,actualFE,decoderCalls,remainingFE,utilizationRate,frontRawCount,frontNondominatedCount,algorithmRunSeconds,frontSha256
V35A2A4-100_5_3_1-20260901-A4,100_5_3_1,20260901,A4,ACCEPTED,500000,500000,0,1.0,387,387,989.444694933,f3755d83a2acb4280ff8dd566025340c8b64edc71050e05bbd6a3ff4b1239bdd
V35A2A4-100_5_3_1-20260902-A2,100_5_3_1,20260902,A2,ACCEPTED,500000,500000,0,1.0,274,274,335.927106328,acb9aaaba026e93fd4cd06b0c2cbf81f29dac1a9bfc2a0ccb2e262974c26a936
V35A2A4-100_5_3_1-20260902-A4,100_5_3_1,20260902,A4,ACCEPTED,500000,500000,0,1.0,399,399,969.614459493,0ae1eabe238ef68b9d8d608f0e3364c434be548aa47c3da0fd0209738ea97d39
V35A2A4-100_5_3_1-20260903-A2,100_5_3_1,20260903,A2,ACCEPTED,500000,500000,0,1.0,203,203,324.18229631,5aff0ca5c40fb478d2ba4fb8f68bd169d697c12f8f317cf22bd0cf91afa15a9b
V35A2A4-100_5_3_1-20260903-A4,100_5_3_1,20260903,A4,ACCEPTED,500000,500000,0,1.0,369,369,963.786886594,ecbd64013733be4c0c732e55919580129b51c3cfcd4b76824e5e850a1155edc2
V35A2A4-100_5_3_1-20260904-A2,100_5_3_1,20260904,A2,ACCEPTED,500000,500000,0,1.0,296,296,337.174462947,77991db9725e8962808abf9986222ac7563a1e5ca11b69446b8a83adb17eb432
V35A2A4-100_5_3_1-20260904-A4,100_5_3_1,20260904,A4,ACCEPTED,500000,500000,0,1.0,332,332,873.190371528,e2e9d0bf3bea7bfe0530ac832d08831892807665d18ba302661831ebbd6d4013
V35A2A4-100_5_3_1-20260905-A2,100_5_3_1,20260905,A2,ACCEPTED,500000,500000,0,1.0,307,307,317.238999368,53c8795d9eee7eb42d66e2887954b235604a70abbd2da91ceb921611906aad07
V35A2A4-100_5_3_1-20260905-A4,100_5_3_1,20260905,A4,ACCEPTED,500000,500000,0,1.0,383,383,814.255690289,152b22e89cb0fa78df423673007947c8a75aef0f7db09bb0dc30f8c53b85a3f6
V35A2A4-20_2_4_1-20260901-A2,20_2_4_1,20260901,A2,ACCEPTED,500000,500000,0,1.0,258,258,61.228199327,49fd3f180b569b2cd7362763ec30e35262f5bdc660e03deb08a1c1313303659c
V35A2A4-20_2_4_1-20260901-A4,20_2_4_1,20260901,A4,ACCEPTED,500000,500000,0,1.0,281,281,256.964916751,0a733a15138c9fead5429d6621cf6646d2cef2590ba2b09b2c4507094d37850b
V35A2A4-20_2_4_1-20260902-A2,20_2_4_1,20260902,A2,ACCEPTED,500000,500000,0,1.0,231,231,101.534008023,08e4eb4d1f2169639afcc5600e1bfbb773d22f819c62b8f1b803eaccc0e8b6eb
V35A2A4-20_2_4_1-20260902-A4,20_2_4_1,20260902,A4,ACCEPTED,500000,500000,0,1.0,461,461,368.296520516,50cf92c884c2c51802d892f9b6872365663aa959034ce45dfd3d252a8e8825b9
V35A2A4-20_2_4_1-20260903-A2,20_2_4_1,20260903,A2,ACCEPTED,500000,500000,0,1.0,194,194,83.570215269,ac653ace577618e5ef53b0a91f23895e1395481a9dca3e4a1a7d55000f56b2f0
V35A2A4-20_2_4_1-20260903-A4,20_2_4_1,20260903,A4,ACCEPTED,500000,500000,0,1.0,483,483,337.315368572,f38edac51a4bab14164b76a90a6f3d6d659fc0f5a7eedf8a09fb3dc2cda26261
V35A2A4-20_2_4_1-20260904-A2,20_2_4_1,20260904,A2,ACCEPTED,500000,500000,0,1.0,326,326,99.665629187,82c092d406a99db65c84b12425a38186156b4ae67a11483d9d6d224c55e0120e
V35A2A4-20_2_4_1-20260904-A4,20_2_4_1,20260904,A4,ACCEPTED,500000,500000,0,1.0,458,458,304.943753045,2e94c40b4a46a1f7307b2b97ec58fe5e1121bfebb3749ebcfd9399edc4496e99
V35A2A4-20_2_4_1-20260905-A2,20_2_4_1,20260905,A2,ACCEPTED,498241,498241,1759,0.996482,137,137,70.582050009,4056f54f27d247530f2bad1e739ffc3d8e9f025583d9cfd96f3b88194a2a1026
V35A2A4-20_2_4_1-20260905-A4,20_2_4_1,20260905,A4,ACCEPTED,500000,500000,0,1.0,574,574,407.385315175,281e5e47d85ba5136d82583569cc5ff0e52dd5e995bb3f8d20811ec63ec5e334
V35A2A4-20_5_3_1-20260901-A2,20_5_3_1,20260901,A2,ACCEPTED,495113,495113,4887,0.990226,273,273,107.527376691,e15979841a58e115715c7c538e1385602f221c4e52804c3a69f9e940d6847ecc
V35A2A4-20_5_3_1-20260901-A4,20_5_3_1,20260901,A4,ACCEPTED,500000,500000,0,1.0,328,328,323.039104951,88936044741bebcb86e952aad227ed9f8ad954da59f94662b646bbbf5acbeacd
