instance,seed,arm,cycle,fe,Nmerge,Nunique,Nnd,Roverflow
100_2_5_1,20260913,A2_CFVF,1,30445,300,245,35,0.35
100_2_5_1,20260913,A2_CFVF,2,50000,257,230,34,0.34
100_5_3_1,20260901,A2_CFVF,1,32295,300,244,40,0.4
100_5_3_1,20260901,A2_CFVF,2,50000,247,213,41,0.41
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,1,6803,260,204,10,0.1
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,2,13673,259,206,30,0.3
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,3,20875,248,203,47,0.47
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,4,28652,256,216,52,0.52
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,5,37442,258,215,69,0.69
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,6,48269,272,236,77,0.77
100_5_3_1,20260902,A2_CFVF,1,32276,300,244,59,0.59
100_5_3_1,20260902,A2_CFVF,2,50000,247,217,58,0.58
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,1,6803,270,214,14,0.14
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,2,13673,268,218,27,0.27
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,3,20875,272,234,34,0.34
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,4,28652,256,217,43,0.43
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,5,37442,260,219,43,0.43
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,6,48269,281,239,52,0.52
100_5_3_1,20260903,A2_CFVF,1,32295,300,242,49,0.49
100_5_3_1,20260903,A2_CFVF,2,50000,247,219,50,0.5
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,1,6803,257,199,15,0.15
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,2,13673,272,226,33,0.33
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,3,20875,273,233,54,0.54
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,4,28652,260,220,51,0.51
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,5,37442,280,237,59,0.59
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,6,48269,273,230,61,0.61
100_8_3_1,20260911,A0_BASELINE,1,31363,300,247,42,0.42
100_8_3_1,20260911,A0_BASELINE,2,50000,253,225,35,0.35
100_8_3_1,20260911,A2_CFVF,1,31896,300,247,53,0.53
100_8_3_1,20260911,A2_CFVF,2,50000,249,225,59,0.59
100_8_3_1,20260912,A0_BASELINE,1,31680,300,248,27,0.27
100_8_3_1,20260912,A0_BASELINE,2,50000,256,235,35,0.35
100_8_3_1,20260912,A2_CFVF,1,31901,300,248,38,0.38
100_8_3_1,20260912,A2_CFVF,2,50000,250,216,36,0.36
100_8_3_1,20260913,A0_BASELINE,1,30933,300,243,53,0.53
100_8_3_1,20260913,A0_BASELINE,2,50000,254,229,41,0.41
100_8_3_1,20260913,A2_CFVF,1,31287,300,243,39,0.39
100_8_3_1,20260913,A2_CFVF,2,50000,252,224,51,0.51
