instance,seed,arm,cycle,fe,cmaxGap,tecGap,twcGap,workingBestCmax,archiveBestCmax,workingSize,archiveSize
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,6,48269,0.0,524.1081698000198,0.0,764.5310417008361,764.5310417008361,100,173
100_8_3_1,20260911,A0_BASELINE,1,31363,0.0,0.0,0.0,1416.5770335739558,1416.5770335739558,100,77
100_8_3_1,20260911,A0_BASELINE,2,50000,0.0,257.0834886355151,0.0,1382.292388263837,1382.292388263837,100,107
100_8_3_1,20260911,A2_CFVF,1,31896,0.0,0.0,0.0,1453.4706179981476,1453.4706179981476,100,112
100_8_3_1,20260911,A2_CFVF,2,50000,4.2052737738567885,0.0,0.0,1416.2344931565472,1412.0292193826904,100,125
100_8_3_1,20260912,A0_BASELINE,1,31680,0.0,0.0,0.0,1442.881036777297,1442.881036777297,100,42
100_8_3_1,20260912,A0_BASELINE,2,50000,0.0,0.0,0.0,1442.881036777297,1442.881036777297,100,71
100_8_3_1,20260912,A2_CFVF,1,31901,0.0,0.0,0.0,1401.8714308361316,1401.8714308361316,100,78
100_8_3_1,20260912,A2_CFVF,2,50000,0.0,222.1851402091852,6366.37266193761,1376.821099814306,1376.821099814306,100,115
100_8_3_1,20260913,A0_BASELINE,1,30933,0.0,0.0,0.0,1427.1407620776165,1427.1407620776165,100,96
100_8_3_1,20260913,A0_BASELINE,2,50000,0.0,0.0,0.0,1427.1407620776165,1427.1407620776165,100,73
100_8_3_1,20260913,A2_CFVF,1,31287,0.0,0.0,0.0,1400.52612614014,1400.52612614014,100,72
100_8_3_1,20260913,A2_CFVF,2,50000,0.0,0.0,3818.7429355870117,1400.52612614014,1400.52612614014,100,108
