fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived
87000,195.244158024146,195.244158024146,241.878613030674,195.244158024146,195.244158024146,195.244158024146,,
88000,195.244158024146,195.244158024146,265.416108743114,195.244158024146,195.244158024146,195.244158024146,,
89000,195.244158024146,195.244158024146,241.147391769338,195.244158024146,195.244158024146,195.244158024146,,
90000,195.244158024146,195.244158024146,250.375240257136,195.244158024146,195.244158024146,195.244158024146,231.644382914740,
91000,195.244158024146,195.244158024146,250.375240257136,195.244158024146,195.244158024146,195.244158024146,249.160967717481,
92000,195.244158024146,195.244158024146,250.375240257136,195.244158024146,195.244158024146,195.244158024146,208.219713621181,
93000,195.244158024146,195.244158024146,250.375240257136,195.244158024146,195.244158024146,195.244158024146,251.472561629704,
94000,195.244158024146,195.244158024146,250.375240257136,195.244158024146,195.244158024146,195.244158024146,218.432072330530,
95000,195.244158024146,195.244158024146,250.375240257136,195.244158024146,195.244158024146,195.244158024146,230.639720447498,
96000,195.244158024146,195.244158024146,250.375240257136,195.244158024146,195.244158024146,195.244158024146,228.888692663099,
97000,195.244158024146,195.244158024146,250.375240257136,195.244158024146,195.244158024146,195.244158024146,254.162729072454,
98000,195.244158024146,195.244158024146,250.375240257136,195.244158024146,195.244158024146,195.244158024146,219.476222772930,
99000,195.244158024146,195.244158024146,250.375240257136,195.244158024146,195.244158024146,195.244158024146,233.207909960289,
100000,195.244158024146,195.244158024146,250.375240257136,195.244158024146,195.244158024146,195.244158024146,256.635175686096,
