vector,position,oldValue,newValue,evaluationIndex
MA,18,3,1,1385
WA,6,2,0,1393
WA,15,2,0,1395
WA,11,2,0,1396
MA,19,3,1,1399
WA,12,2,0,1601
WA,17,2,0,1601
WA,10,2,0,1603
MA,4,2,0,1604
MA,18,3,1,1604
WA,8,2,0,1605
MA,5,3,1,1607
WA,18,2,0,1611
WA,5,2,0,1614
WA,11,2,0,1619
WA,13,2,0,1619
WA,0,2,0,1620
WA,1,2,0,1621
MA,4,3,1,1623
MA,19,3,1,1624
WA,6,2,0,1626
WA,15,2,0,1627
MA,19,3,1,1627
MA,4,3,1,1632
MA,4,2,0,1637
MA,18,3,1,1638
WA,17,2,0,1641
WA,17,2,0,1647
MA,6,3,1,1650
MA,5,3,1,1651
WA,17,2,0,1651
WA,17,2,0,1656
WA,9,2,0,1657
MA,18,3,1,1657
WA,14,2,0,1658
WA,16,2,0,1658
WA,3,2,0,1659
WA,13,2,0,1664
MA,0,3,1,1667
MA,1,3,1,1667
MA,5,3,1,1667
WA,9,2,0,1668
MA,18,3,1,1668
WA,14,2,0,1670
WA,5,2,0,1671
WA,16,2,0,1673
MA,5,3,1,1674
WA,17,2,0,1674
WA,0,2,0,1675
WA,15,2,0,1675
MA,19,3,1,1675
MA,18,3,1,1680
WA,9,2,0,1681
MA,4,2,0,1682
WA,11,2,0,1682
MA,18,3,1,1687
WA,17,2,0,1688
MA,5,3,1,1689
MA,12,3,1,1689
MA,19,3,1,1689
MA,5,3,1,1690
WA,16,2,0,1690
WA,12,2,0,1691
MA,12,2,0,1693
WA,15,2,0,1693
MA,12,2,0,1695
WA,15,2,0,1695
MA,19,3,1,1695
MA,4,2,0,1905
WA,16,2,0,1908
MA,19,3,1,1909
MA,10,2,0,1910
MA,11,2,0,1910
WA,14,2,0,1910
WA,15,2,0,1912
MA,14,2,0,1914
WA,14,2,0,1914
MA,16,2,0,1914
WA,16,2,0,1914
MA,18,3,1,1914
WA,1,2,0,1915
WA,16,2,0,1916
WA,4,2,0,1925
MA,6,3,1,1932
MA,9,3,1,1934
WA,1,2,0,1935
WA,11,2,0,1936
MA,14,2,0,1936
MA,16,2,0,1936
MA,18,3,1,1936
WA,5,2,0,1937
WA,2,2,0,1938
WA,3,2,0,1938
WA,11,2,0,1938
MA,13,3,1,1938
WA,16,2,0,1938
MA,17,2,0,1938
MA,0,2,0,1939
MA,7,2,0,1939
WA,7,2,0,1939
MA,8,3,1,1939
WA,3,2,0,1941
MA,12,2,0,1941
WA,15,2,0,1941
MA,14,2,0,1944
WA,14,2,0,1944
MA,16,2,0,1944
WA,16,2,0,1944
MA,18,3,1,1944
WA,14,2,0,1947
WA,17,2,0,1947
WA,17,2,0,1948
MA,9,3,1,1950
WA,2,2,0,1951
MA,10,3,1,1951
WA,17,2,0,1954
WA,17,2,0,1956
MA,13,3,1,1958
WA,16,2,0,1958
WA,0,2,0,1959
WA,1,2,0,1959
WA,2,2,0,1959
WA,17,2,0,1960
WA,16,2,0,1964
MA,9,3,1,1966
WA,9,2,0,1966
WA,17,2,0,1970
WA,14,2,0,1973
WA,17,2,0,1973
WA,8,2,0,1975
MA,9,3,1,1978
WA,9,2,0,1978
MA,18,3,1,1979
MA,4,2,0,1981
MA,16,2,0,1983
WA,16,2,0,1983
MA,18,3,1,1983
MA,14,3,1,1987
MA,15,3,1,1987
WA,18,2,0,1987
MA,19,2,0,1987
WA,8,2,0,1991
MA,8,2,0,1994
MA,4,3,1,1995
WA,10,2,0,1997
WA,0,2,0,1998
