slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
10,150,"7,4,0,2,9,5,3,1,6,8","1,0,0,1,0,0,0,1,1,1","0,1,0,0,0,1,0,0,1,1","1,0,1,1,1,0,0,1,0,0",56.737730817959985,2003.7484922408390,3014.2990350884897,"[7, 4, 0, 2, 9, 5, 3, 1, 6, 8]|[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]|null|[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
11,140,"6,1,3,0,2,4,9,7,5,8","1,0,0,1,0,0,0,0,0,1","1,2,1,0,2,1,0,1,0,1","0,1,0,1,1,0,1,0,0,0",65.769119539734820,2192.7503823972130,2691.7675263306837,"[6, 1, 3, 0, 2, 4, 9, 7, 5, 8]|[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]|null|[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
12,153,"6,1,3,5,2,4,9,7,0,8","1,1,0,1,0,0,0,0,0,1","1,0,1,0,2,1,0,1,0,1","0,1,0,1,1,0,1,0,0,0",50.124184979245896,2083.6271443070320,2848.4875064141443,"[6, 1, 3, 5, 2, 4, 9, 7, 0, 8]|[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]|null|[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
13,165,"7,2,4,0,9,5,3,1,6,8","1,0,0,1,0,0,0,1,1,1","0,1,0,0,0,1,0,0,1,1","1,0,1,1,1,0,0,1,0,0",53.065355237012064,2015.7864209244958,2954.2078739127330,"[7, 2, 4, 0, 9, 5, 3, 1, 6, 8]|[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]|null|[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
14,171,"8,7,6,0,9,5,3,1,4,2","1,0,0,1,0,0,0,1,1,1","0,1,0,0,0,1,0,0,1,1","1,0,1,1,1,0,0,1,0,0",54.297920206435250,2005.8192940360093,3005.9670253406310,"[8, 7, 6, 0, 9, 5, 3, 1, 4, 2]|[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]|null|[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
15,168,"6,4,3,0,8,9,7,1,5,2","0,0,0,1,0,0,0,0,0,1","1,1,1,0,2,2,2,1,0,1","0,0,0,1,1,1,1,0,0,0",76.341697339060370,2313.5296191308908,2681.0679395550487,"[6, 4, 3, 0, 8, 9, 7, 1, 5, 2]|[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]|null|[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
16,180,"6,4,7,0,9,5,3,1,2,8","1,0,0,1,0,0,0,1,1,1","0,1,0,0,2,1,1,0,1,1","1,0,1,1,1,0,0,1,0,0",50.047060596184280,2068.4326387723620,2895.5107228747565,"[6, 4, 7, 0, 9, 5, 3, 1, 2, 8]|[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]|null|[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
17,183,"6,4,7,9,5,3,1,0,2,8","1,0,0,0,0,0,1,1,1,1","0,1,0,2,1,1,0,0,1,1","1,0,1,1,0,0,1,1,0,0",48.985466216058240,2071.8502279594422,2901.8831838286305,"[6, 4, 7, 9, 5, 3, 1, 0, 2, 8]|[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]|null|[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
18,235,"7,4,0,5,6,1,9,3,8,2","1,0,0,0,1,1,0,1,1,1","0,1,0,1,1,0,0,1,1,0","1,0,1,0,0,1,1,0,0,1",58.900755829166900,2015.3946525692968,2990.2680695620315,"[7, 4, 0, 5, 6, 1, 9, 3, 8, 2]|[1, 0, 0, 0, 1, 1, 0, 1, 1, 1]|null|[1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
19,280,"7,2,0,5,6,1,9,3,8,4","1,1,0,0,1,1,0,1,1,0","0,0,0,1,1,0,0,1,1,1","1,1,1,0,0,1,1,0,0,0",57.063321949094520,2011.7969812494914,2993.0290609545577,"[7, 2, 0, 5, 6, 1, 9, 3, 8, 4]|[1, 1, 0, 0, 1, 1, 0, 1, 1, 0]|null|[1, 1, 1, 0, 0, 1, 1, 0, 0, 0]"
20,277,"2,6,7,4,5,3,0,9,1,8","1,1,0,0,0,0,0,1,1,1","1,0,2,1,1,1,0,0,0,1","0,1,1,0,0,0,1,1,1,0",50.144910370742370,2074.1983584155887,2887.9446421579587,"[2, 6, 7, 4, 5, 3, 0, 9, 1, 8]|[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]|null|[0, 1, 1, 0, 0, 0, 1, 1, 1, 0]"
21,278,"2,6,7,4,5,3,0,1,9,8","1,1,0,0,0,0,0,1,1,1","1,0,2,1,1,1,0,0,0,1","0,1,1,0,0,0,1,1,1,0",47.818112276040210,2077.0548452048965,2890.3923137995307,"[2, 6, 7, 4, 5, 3, 0, 1, 9, 8]|[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]|null|[0, 1, 1, 0, 0, 0, 1, 1, 1, 0]"
22,297,"6,4,3,8,2,7,0,5,1,9","1,0,0,1,1,0,0,0,1,0","0,1,1,1,1,1,0,0,0,1","1,0,0,0,0,0,1,1,1,0",51.032492053731170,2056.6502749439580,2774.8197186835378,"[6, 4, 3, 8, 2, 7, 0, 5, 1, 9]|[1, 0, 0, 1, 1, 0, 0, 0, 1, 0]|null|[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
23,292,"3,6,7,4,5,2,0,1,9,8","1,1,0,0,0,1,0,1,0,1","1,0,2,1,1,1,0,0,0,1","0,1,1,0,0,0,1,1,1,0",48.009577104098824,2068.9313312625460,2930.6988624876420,"[3, 6, 7, 4, 5, 2, 0, 1, 9, 8]|[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]|null|[0, 1, 1, 0, 0, 0, 1, 1, 1, 0]"
24,302,"6,4,7,8,2,3,0,1,5,9","1,0,0,1,1,0,0,1,0,0","0,1,0,1,1,1,0,0,1,2","1,0,1,0,0,0,1,1,0,1",55.868097805682510,2079.2113455188633,2770.6474385738180,"[6, 4, 7, 8, 2, 3, 0, 1, 5, 9]|[1, 0, 0, 1, 1, 0, 0, 1, 0, 0]|null|[1, 0, 1, 0, 0, 0, 1, 1, 0, 1]"
25,328,"6,1,9,8,2,3,0,5,4,7","1,1,0,1,0,0,0,0,1,0","1,0,2,1,2,1,0,1,0,1","0,1,1,0,1,0,1,0,1,0",48.998243350454100,2113.1386281197650,2753.3216474724640,"[6, 1, 9, 8, 2, 3, 0, 5, 4, 7]|[1, 1, 0, 1, 0, 0, 0, 0, 1, 0]|null|[0, 1, 1, 0, 1, 0, 1, 0, 1, 0]"
26,340,"2,9,7,8,6,0,4,5,1,3","1,1,1,1,0,1,0,0,1,0","1,0,1,0,0,1,0,1,0,0","0,1,0,1,0,0,1,0,1,0",57.320130304505860,1999.9119497039396,3110.1617662794300,"[2, 9, 7, 8, 6, 0, 4, 5, 1, 3]|[1, 1, 1, 1, 0, 1, 0, 0, 1, 0]|null|[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]"
27,345,"2,6,8,5,3,7,9,0,1,4","1,1,1,1,0,0,0,0,1,1","1,0,1,0,0,1,0,0,0,0","1,0,0,1,0,0,1,0,1,1",72.778194154927500,1973.9053748008275,3257.1809739170770,"[2, 6, 8, 5, 3, 7, 9, 0, 1, 4]|[1, 1, 1, 1, 0, 0, 0, 0, 1, 1]|null|[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]"
28,356,"6,4,8,2,5,7,9,0,1,3","1,1,1,0,0,0,0,1,1,1","1,0,1,0,1,0,0,0,0,0","0,1,0,1,0,0,1,1,1,1",66.267444080416080,1976.8174485121633,3315.3032333519280,"[6, 4, 8, 2, 5, 7, 9, 0, 1, 3]|[1, 1, 1, 0, 0, 0, 0, 1, 1, 1]|null|[0, 1, 0, 1, 0, 0, 1, 1, 1, 1]"
29,366,"6,4,0,8,9,2,1,5,7,3","1,0,0,1,0,0,1,0,1,0","0,1,2,1,2,1,0,1,1,1","1,0,1,0,1,0,1,0,0,0",52.301546699431330,2119.0438935231828,2736.3241022519680,"[6, 4, 0, 8, 9, 2, 1, 5, 7, 3]|[1, 0, 0, 1, 0, 0, 1, 0, 1, 0]|null|[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]"
30,361,"6,3,1,7,4,2,5,8,0,9","1,0,1,0,0,1,0,0,0,0","0,1,1,1,1,0,1,0,1,0","1,0,0,0,0,1,0,1,0,1",61.094787705483280,2083.0029008511410,2769.8312563402965,"[6, 3, 1, 7, 4, 2, 5, 8, 0, 9]|[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]|null|[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
31,365,"6,0,8,2,7,5,9,4,1,3","1,1,1,0,0,0,0,1,1,0","1,0,1,0,0,1,0,0,0,0","0,1,0,1,0,0,1,1,1,0",66.858507439617200,1997.5466310992565,3126.1855440787426,"[6, 0, 8, 2, 7, 5, 9, 4, 1, 3]|[1, 1, 1, 0, 0, 0, 0, 1, 1, 0]|null|[0, 1, 0, 1, 0, 0, 1, 1, 1, 0]"
32,376,"2,1,6,5,4,3,0,9,7,8","1,1,0,0,1,0,0,1,1,1","0,0,0,1,0,0,0,0,1,1","1,1,0,0,1,1,1,1,0,0",63.318231135416575,1993.2033956791445,3128.1817077373444,"[2, 1, 6, 5, 4, 3, 0, 9, 7, 8]|[1, 1, 0, 0, 1, 0, 0, 1, 1, 1]|null|[1, 1, 0, 0, 1, 1, 1, 1, 0, 0]"
33,377,"1,2,8,6,5,4,3,0,9,7","1,1,1,0,0,1,0,0,1,1","0,0,1,0,1,0,0,0,0,1","1,1,0,0,0,1,1,1,1,0",63.280189927125260,1991.4002657276935,3132.7631762547580,"[1, 2, 8, 6, 5, 4, 3, 0, 9, 7]|[1, 1, 1, 0, 0, 1, 0, 0, 1, 1]|null|[1, 1, 0, 0, 0, 1, 1, 1, 1, 0]"
34,375,"2,1,8,6,5,9,3,0,4,7","1,1,1,0,0,1,0,0,1,1","0,0,1,0,1,0,0,0,0,1","1,1,0,0,0,1,1,1,1,0",70.779673443881650,1977.1599497437026,3200.4487581875974,"[2, 1, 8, 6, 5, 9, 3, 0, 4, 7]|[1, 1, 1, 0, 0, 1, 0, 0, 1, 1]|null|[1, 1, 0, 0, 0, 1, 1, 1, 1, 0]"
35,375,"6,1,4,2,5,8,3,0,7,9","1,1,1,0,0,1,0,0,1,1","1,0,0,0,1,0,1,0,1,1","0,1,1,0,0,1,0,1,0,0",57.365682596453810,1999.4149814253783,3001.0777866545945,"[6, 1, 4, 2, 5, 8, 3, 0, 7, 9]|[1, 1, 1, 0, 0, 1, 0, 0, 1, 1]|null|[0, 1, 1, 0, 0, 1, 0, 1, 0, 0]"
36,382,"2,4,6,5,1,3,0,9,7,8","1,1,0,0,1,1,0,1,1,1","0,0,0,1,0,1,0,0,1,1","1,1,0,0,1,0,1,1,0,0",63.371034739313880,1985.6830358370344,3229.9766768607933,"[2, 4, 6, 5, 1, 3, 0, 9, 7, 8]|[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]|null|[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]"
37,362,"6,1,2,3,7,4,5,8,0,9","1,1,1,0,0,0,0,0,0,0","0,0,1,1,1,1,1,0,1,0","1,1,0,0,0,0,0,1,0,1",61.094787705483280,2084.4817478012130,2754.0668124402460,"[6, 1, 2, 3, 7, 4, 5, 8, 0, 9]|[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]|null|[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]"
38,388,"6,4,8,1,7,9,5,2,0,3","1,1,0,1,0,1,0,0,1,0","1,0,2,0,2,1,1,1,0,1","0,1,1,1,1,0,0,0,1,0",46.212198425739885,2133.1038535135190,2814.5846092190495,"[6, 4, 8, 1, 7, 9, 5, 2, 0, 3]|[1, 1, 0, 1, 0, 1, 0, 0, 1, 0]|null|[0, 1, 1, 1, 1, 0, 0, 0, 1, 0]"
39,390,"6,4,7,1,8,9,5,2,0,3","1,1,0,1,0,1,0,0,1,0","1,0,2,0,2,1,1,1,0,1","0,1,1,1,1,0,0,0,1,0",45.999008915716260,2135.0395787647494,2814.1130731665567,"[6, 4, 7, 1, 8, 9, 5, 2, 0, 3]|[1, 1, 0, 1, 0, 1, 0, 0, 1, 0]|null|[0, 1, 1, 1, 1, 0, 0, 0, 1, 0]"
40,429,"6,8,0,3,5,1,9,4,7,2","1,1,1,1,0,1,1,0,1,1","1,0,0,0,0,0,0,0,1,1","0,1,1,1,0,1,1,1,0,0",76.129014726689530,1968.4464817298220,3370.8445812870660,"[6, 8, 0, 3, 5, 1, 9, 4, 7, 2]|[1, 1, 1, 1, 0, 1, 1, 0, 1, 1]|null|[0, 1, 1, 1, 0, 1, 1, 1, 0, 0]"
41,418,"6,4,3,0,1,8,5,2,9,7","0,0,0,1,0,1,0,0,1,0","1,1,1,0,2,1,1,1,0,2","0,0,0,1,1,0,0,0,1,1",69.111898901170290,2230.5265137873720,2687.4257760634537,"[6, 4, 3, 0, 1, 8, 5, 2, 9, 7]|[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]|null|[0, 0, 0, 1, 1, 0, 0, 0, 1, 1]"
42,431,"6,8,0,3,5,7,9,4,1,2","1,1,1,1,0,1,1,0,1,1","1,0,0,0,0,1,0,0,0,1","0,1,1,1,0,0,1,1,1,0",77.277969828215700,1965.6658625723155,3352.2975713850200,"[6, 8, 0, 3, 5, 7, 9, 4, 1, 2]|[1, 1, 1, 1, 0, 1, 1, 0, 1, 1]|null|[0, 1, 1, 1, 0, 0, 1, 1, 1, 0]"
43,431,"6,8,4,3,5,7,2,9,0,1","1,1,0,0,0,1,1,1,1,1","1,0,0,1,0,1,1,0,0,0","0,1,1,0,0,0,0,1,1,1",64.701985416467720,1982.6810325596953,3139.3618668861895,"[6, 8, 4, 3, 5, 7, 2, 9, 0, 1]|[1, 1, 0, 0, 0, 1, 1, 1, 1, 1]|null|[0, 1, 1, 0, 0, 0, 0, 1, 1, 1]"
44,442,"1,0,5,3,9,8,2,4,6,7","1,1,0,0,0,1,0,0,1,0","0,0,1,1,0,1,1,2,1,1","1,1,0,0,1,0,0,1,0,0",57.945097668170090,2126.8842640838660,2729.2845235886098,"[1, 0, 5, 3, 9, 8, 2, 4, 6, 7]|[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]|null|[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
45,491,"6,4,8,1,7,3,2,9,5,0","1,1,1,1,0,0,0,0,0,1","0,0,0,1,0,1,1,2,0,1","1,1,1,0,1,0,0,1,0,0",51.990655074874940,2049.9240867198687,2910.5070825588573,"[6, 4, 8, 1, 7, 3, 2, 9, 5, 0]|[1, 1, 1, 1, 0, 0, 0, 0, 0, 1]|null|[1, 1, 1, 0, 1, 0, 0, 1, 0, 0]"
46,506,"1,5,3,8,6,9,2,4,7,0","1,0,1,1,1,1,1,0,1,1","0,0,0,0,1,0,1,0,1,0","1,0,1,1,0,1,0,1,0,1",71.498583114582430,1977.1420670681384,3301.6335222953694,"[1, 5, 3, 8, 6, 9, 2, 4, 7, 0]|[1, 0, 1, 1, 1, 1, 1, 0, 1, 1]|null|[1, 0, 1, 1, 0, 1, 0, 1, 0, 1]"
47,502,"6,3,5,4,1,8,2,9,0,7","1,0,0,0,0,1,1,0,1,0","0,1,1,1,2,1,0,0,1,1","1,0,0,0,1,0,1,1,0,0",59.167968238948006,2116.2043384427357,2718.2184182217340,"[6, 3, 5, 4, 1, 8, 2, 9, 0, 7]|[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]|null|[1, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
48,507,"2,7,6,5,4,9,8,0,1,3","1,0,1,0,0,0,0,0,1,0","0,1,0,1,0,0,1,0,0,0","1,0,1,0,1,1,0,1,1,0",62.527450187794390,2046.3881479391262,2834.5444958873240,"[2, 7, 6, 5, 4, 9, 8, 0, 1, 3]|[1, 0, 1, 0, 0, 0, 0, 0, 1, 0]|null|[1, 0, 1, 0, 1, 1, 0, 1, 1, 0]"
49,520,"6,1,7,3,4,9,8,0,2,5","1,1,1,0,0,0,0,0,1,0","0,1,0,1,0,0,1,0,1,0","1,0,1,0,1,1,0,1,0,0",60.706789248262396,2037.8386173224330,2901.3044974748930,"[6, 1, 7, 3, 4, 9, 8, 0, 2, 5]|[1, 1, 1, 0, 0, 0, 0, 0, 1, 0]|null|[1, 0, 1, 0, 1, 1, 0, 1, 0, 0]"
50,526,"6,1,7,8,0,5,3,4,9,2","1,0,1,1,1,1,1,0,1,1","1,0,0,0,0,0,1,0,1,1","1,0,1,1,1,1,0,1,0,0",79.283494366772260,1954.6557474972400,3315.3811775364175,"[6, 1, 7, 8, 0, 5, 3, 4, 9, 2]|[1, 0, 1, 1, 1, 1, 1, 0, 1, 1]|null|[1, 0, 1, 1, 1, 1, 0, 1, 0, 0]"
51,540,"2,4,0,6,1,9,8,3,5,7","0,1,0,0,1,0,1,1,0,1","1,0,0,0,0,0,1,1,0,1","0,1,1,0,1,1,0,0,0,0",61.771642013108575,1998.2113486867825,3247.4704638480216,"[2, 4, 0, 6, 1, 9, 8, 3, 5, 7]|[0, 1, 0, 0, 1, 0, 1, 1, 0, 1]|null|[0, 1, 1, 0, 1, 1, 0, 0, 0, 0]"
52,547,"6,8,0,2,7,5,4,3,9,1","1,1,1,0,1,0,1,0,1,1","1,0,0,0,1,0,1,0,0,1","1,1,1,0,0,0,0,1,1,0",69.733300717106190,1979.6187692394620,3296.0701505779010,"[6, 8, 0, 2, 7, 5, 4, 3, 9, 1]|[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]|null|[1, 1, 1, 0, 0, 0, 0, 1, 1, 0]"
53,552,"6,4,7,2,9,1,8,0,3,5","0,0,0,0,0,1,1,1,1,0","1,1,2,1,1,0,1,0,1,2","0,0,1,0,0,1,0,1,0,1",57.147749908345740,2143.2066983902430,2695.5547168378416,"[6, 4, 7, 2, 9, 1, 8, 0, 3, 5]|[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]|null|[0, 0, 1, 0, 0, 1, 0, 1, 0, 1]"
